//////////////////////////////////////////////////////////////////////////////////////							
// [AllMonsterBag(Red원본)]		삭제 X					
// [ Start  ] 	2015-03-20						
// [ Latest ]	2015-03-20 17:26						
// [ Author ]	박혜진						
// [ Version ]	0.0.0.1						
// [ Text ]							
// [ Desc ]	설정하는 레벨 구간의 몬스터가 드롭하는 아이템 리스트를 작성하는 스크립트						
//////////////////////////////////////////////////////////////////////////////////////							
							
//몬스터레벨 최소	몬스터레벨 최대	아이템 타입	아이템 인덱스	아이템 레벨	확률 (1/1000000)		확률
//							1000000%
//다크호스의 영혼							
102	300	13	31	0	4500	//	0.45
//다크스피릿의 영혼							
96	300	13	31	1	18000	//	1.8
//렉스밀론 문장							
86	300	13	14	1	36000	//	3.6
//정령 지도 조각							
60	300	13	145	0	4500	//	0.45
//의문의 종이쪽지							
31	300	14	101	0	45000	//	4.5
//성주의 표식							
1	300	14	21	3	45000	//	4.5
//차원의 표식							
31	300	14	110	0	22500	//	2.25
//4차 시드 재료 아이템							
//테트라 결정체(하급)							
//51	300	14	247	0	18000	//	1.8
//테트라 결정체(중급)							
//51	300	14	246	0	4500	//	0.45
//칼리마 맵 입장 재료 아이템							
//쿤둔의표식+1							
25	46	14	29	1	180000	//	18
//쿤둔의표식+2							
47	65	14	29	2	180000	//	18
//쿤둔의표식+3							
66	79	14	29	3	180000	//	18
//쿤둔의표식+4							
80	85	14	29	4	180000	//	18
//쿤둔의표식+5							
86	95	14	29	5	180000	//	18
//쿤둔의표식+6							
92	114	14	29	6	180000	//	18
//쿤둔의표식+7							
115	300	14	29	7	180000	//	18
//블러드 캐슬 입장 재료 아이템							
//대천사의 서+1							
1	60	13	16	1	22500	//	2.25
//대천사의 서+2							
61	74	13	16	2	22500	//	2.25
//대천사의 서+3							
75	84	13	16	3	22500	//	2.25
//대천사의 서+4							
85	94	13	16	4	22500	//	2.25
//대천사의 서+5							
95	102	13	16	5	22500	//	2.25
//대천사의 서+6							
103	117	13	16	6	22500	//	2.25
//대천사의 서+7							
118	300	13	16	7	22500	//	2.25
//블러드본+1							
1	60	13	17	1	22500	//	2.25
//블러드본+2							
61	74	13	17	2	22500	//	2.25
//블러드본+3							
75	84	13	17	3	22500	//	2.25
//블러드본+4							
85	94	13	17	4	22500	//	2.25
//블러드본+5							
95	102	13	17	5	22500	//	2.25
//블러드본+6							
103	117	13	17	6	22500	//	2.25
//블러드본+7							
118	300	13	17	7	22500	//	2.25
//악마의 광장 입장 재료 아이템							
//악마의 눈+1							
1	60	14	17	1	22500	//	2.25
//악마의 눈+2							
61	74	14	17	2	22500	//	2.25
//악마의 눈+3							
75	84	14	17	3	22500	//	2.25
//악마의 눈+4							
85	94	14	17	4	22500	//	2.25
//악마의 눈+5							
95	102	14	17	5	22500	//	2.25
//악마의 눈+6							
103	117	14	17	6	22500	//	2.25
//악마의 눈+7							
118	300	14	17	7	22500	//	2.25
//악마의 열쇠+1							
1	60	14	18	1	22500	//	2.25
//악마의 열쇠+2							
61	74	14	18	2	22500	//	2.25
//악마의 열쇠+3							
75	84	14	18	3	22500	//	2.25
//악마의 열쇠+4							
85	94	14	18	4	22500	//	2.25
//악마의 열쇠+5							
95	102	14	18	5	22500	//	2.25
//악마의 열쇠+6							
103	117	14	18	6	22500	//	2.25
//악마의 열쇠+7							
118	300	14	18	7	22500	//	2.25
//보석류 아이템							
//혼석							확률
13	13	12	15	0	8215	//	0.8215
14	14	12	15	0	7753	//	0.7753
15	15	12	15	0	6584	//	0.6584
16	16	12	15	0	6125	//	0.6125
17	17	12	15	0	6139	//	0.6139
18	18	12	15	0	5576	//	0.5576
19	19	12	15	0	5419	//	0.5419
20	20	12	15	0	4994	//	0.4994
