////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
//	[Script]	ArcaBattleScript.txt
//	[ Text  Version ]	1.0.0.4
//	[ 최종 작업자 ]	홍승욱
//	[ 최종 작업일 ]	2012-03-21 12:12
//	[ 작 업 내 용 ]	인덱스 4번 내용 수정 (점령시점까지 ==> 종료시점까지)
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
// 아르카쟁내 진행 UI 메시지		
//Index는 서버에서 전달 받는 진행 공지(메시지) 고유 번호이다.		
//Type 은 공지의 성격에 따라 공지의 색을 달리한다. (0 :노란색(일반공지), 1:파란색(우리길드점령), 2: 빨간색(다른길드점령), 3:노란색(시간정보를 받아오는 메시지 %d가 있는 메시지))		
//Text는 공지의 내용이다.		
//아르카쟁 진행 UI 메시지와 관련해서 변경사항(메시지 추가/삭제)이 발생할 경우 서버와 먼저 상의한다.		
		
//INDEX	Type	Text
0	0	"사냥터에 오벨리스크가 생성되었습니다. 오벨리스크를 점령해야만 아르카쟁에서 승리할 수 있습니다."
1	2	"다른 길드가 오벨리스크를 점령하려 합니다. 어서 막아야 합니다."
2	1	"결계가 풀렸습니다. 어서 오벨리스크를 점령하십시요."
3	2	"다른길드에 의해 오벨리스크가 점령되었습니다. 탈환을 서둘러야 합니다."
4	1	"축하합니다. 오벨리스크를 점령하였습니다. 아르카쟁 종료시점까지 오벨리스크를 사수 하십시요."
5	2	"점령하고 있던 오벨리스크를 빼앗겼습니다. 다시 탈환을 서두르십시오."
6	3	"아르카쟁 종료까지 %d분 남았습니다. "
7	3	"아르카쟁 종료까지 %d초 남았습니다. "
8	3	"아르카쟁이 종료되었습니다. %d초 후 마을로 강제 이동합니다."
9	3	"아르카쟁 채널 종료까지 %d분 남았습니다. 다른 채널로 이동해 주십시오."
10	3	"아르카쟁 채널 종료까지 %d초 남았습니다. 다른 채널로 이동해 주십시오."
11	3	"아르카쟁 시작까지 %d분 남았습니다. 아르카쟁 내에서 파티를 맺을 수 있습니다." 
12	3	"아르카쟁 시작까지 %d초 남았습니다. 아르카쟁 내에서 파티를 맺을 수 있습니다."
