////////////////////////////////////////////////////////////////////////////////											
//	[ Text  Version ]	0.0.7.8									
//	[ 최종 작업자 ]	사재일									
//	[ 최종 작업일 ]	2015-08-11-04:53 PM									
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가									
////////////////////////////////////////////////////////////////////////////////											
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가											
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며											
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것											
											
											
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명			
0	//버프 효과										
1	1	255	255	"공격력향상"	0	1	1	"공격력이 향상됩니다"	//공격력향상		
2	2	255	255	"방어력향상"	0	1	1	"방어력이 향상됩니다"	//방어력향상		
3	3	255	255	"쉐도우팬텀 효과"	0	1	1	"공격력과 방어력이 향상됩니다"	//공방증가		
4	4	255	255	"소울바리어"	0	1	1	"마나로 데미지를 흡수합니다"	//물리공격방어		
5	5	255	255	"크리티컬데미지증가"	0	1	1	"크리티컬 데미지가 증가합니다"	//크리티컬데미지		
6	6	255	255	"인피니티애로우"	0	0	1	"화살이 소모되지 않습니다"	//인피니티애로우		
7	7	255	255	"AG회복 속도 증가"	0	0	1	""	//AG회복 속도 증가		
8	8	255	255	"스웰라이프"	0	1	1	"최대 체력 수치가 증가됩니다"	//체력증가		
9	9	255	255	"스웰마나"	0	0	1	"최대 마나 수치가 증가됩니다"	//마나증가		
10	10	255	255	"축복의물약"	0	0	1	"공격력 +20%증가합니다"	//축복의물약		
11	11	255	255	"영혼의물약"	0	0	1	"AG회복속도증가+8/번개,얼음 저항력 향상/공격속도+20증가합니다"	//영혼의물약		
12	12	255	255	"마법해제"	0	0	1	""	//마법해제		
13	13	255	255	"성문 개/패 상태"	0	1	1	""	//성물 개/패 상태		
14	14	255	255	"수성"	0	1	1	"성을 수비하는 중입니다"	//수성마크		
15	14	255	255	"공성길드1"	0	1	1	"성을 공격하는 중입니다"	//공성마크		
16	14	255	255	"공성길드2"	0	1	1	"성을 공격하는 중입니다"	//공성마크2		
17	14	255	255	"공성길드3"	0	1	1	"성을 공격하는 중입니다"	//공성마크3		
18	15	255	255	"투명"	0	1	1	"투명상태입니다"	//투명		
19	16	255	255	"다크로드 공성스킬"	0	0	1	""	//다크로드 공성스킬		
20	17	255	255	"왕관 등록 상태"	0	1	1	""	//왕관 등록 상태		
21	18	255	255	"늑대의 제단 계약가능"	0	1	1	""	//늑대의 제단 계약가능		
22	18	255	255	"늑대의 제단 계약불능"	0	1	1	""	//늑대의 제단 계약불능		
23	18	255	255	"늑대의 제단 계약상태"	0	1	1	""	//늑대의 제단 계약상태		
24	18	255	255	"늑대의 제단 계약시도"	0	1	1	""	//늑대의 제단 계약시도		
25	18	255	255	"늑대의 제단 점령상태"	0	1	1	""	//늑대의 제단 점령상태		
26	18	255	255	"늑대의 제단 영웅 계약상태"	0	1	1	""	//늑대의 제단 영웅 계약상태		
27	19	255	255	"크라이울프 NPC투명"	0	1	1	""	//크라이울프 NPC투명		
28	20	255	255	"GM"	0	1	1	""	//GM마크		
29	60	13	43	"상승의인장"	0	0	1	"기본 경험치의 50% 추가 획득"	//PC방 포인트인장1		
30	61	13	44	"풍요의인장"	0	0	1	"기본 경험치의 50% 추가 획득/아이템 획득량 200%로 상승"	//PC방 포인트인장2		
31	62	13	45	"유지의인장"	0	0	1	"경험치 획득 불가"	//PC방 포인트인장3		
32	22	255	255	"사원 - 신속의 주문"	0	0	1	""	//사원 - 신속의 주문		
33	22	255	255	"사원 - 승화의주문"	0	0	1	""	//사원 - 승화의주문		
34	22	255	255	"보호의 주문"	0	1	1	"데미지를 100%흡수합니다"	//사원 - 보호의 주문		
35	23	14	46	"잭오랜턴의축복"	0	0	1	"공격속도 상승 +10"	//잭오랜턴의축복		
36	23	14	47	"잭오랜턴의분노"	0	0	1	"공격력, 마력 상승 +25"	//잭오랜턴의분노		
37	23	14	48	"잭오랜턴의외침"	0	0	1	"방어력 상승 +100"	//잭오랜턴의외침		
38	23	14	49	"잭오랜턴의음식"	0	0	1	"최대 생명력 증가 +500"	//잭오랜턴의음식		
39	23	14	50	"잭오랜턴의음료"	0	0	1	"최대 마나 증가 +500"	//잭오랜턴의음료		
40	60	13	43	"상승의인장"	0	1	1	"기본 경험치의 50% 추가 획득"	//인장1		
41	61	13	44	"풍요의인장"	0	1	1	"기본 경험치의 100% 추가 획득/아이템 획득량 150%로 상승"	//인장2		
42	65	13	45	"유지의인장"	0	1	1	"경험치 획득 불가"	//인장3		
43	57	13	59	"이동의인장"	0	1	1	"이동명령창을 자유롭게 사용할 수 있습니다."	//인장4		
44	67	14	72	"신속의스크롤"	0	1	1	"공격속도 상승 +15"	//신속의스크롤		
45	68	14	73	"방어의스크롤"	0	1	1	"방어력 증가 +60"	//방어의스크롤		
46	69	14	74	"분노의스크롤"	0	1	1	"공격력 상승 +30"	//분노의스크롤		
47	70	14	75	"마력의스크롤"	0	1	1	"마력 상승 +30"	//마력의스크롤		
48	71	14	76	"체력의스크롤"	0	1	1	"HP상승 +200"	//체력의스크롤		
49	72	14	77	"마나의스크롤"	0	1	1	"마나 상승 +300"	//마나의스크롤		
50	26	14	78	"힘의비약"	0	1	1	"힘이 증가됩니다"	//힘의비약		
51	26	14	79	"민첩의비약"	0	1	1	"민첩이 증가됩니다"	//민첩의비약		
52	26	14	80	"체력의비약"	0	1	1	"체력이 증가됩니다"	//체력의비약		
53	26	14	81	"에너지의비약"	0	1	1	"에너지가 증가됩니다"	//에너지의비약		
54	26	14	82	"통솔의비약"	0	1	1	"통솔이 증가됩니다"	//통솔의비약		
