// 로랜협곡의 습격 이벤트 데이터

// 이벤트 시작 스케쥴 (24시 제)
// 시	분
0
21	30
end

// 이벤트 습격타입 종류
// 습격타입	확률
//-----------------------------------------------
1
1		100	// 일반습격
2		0	// 특별습격 (C그룹 추가)
end

// 이벤트 진행 시 습격타입, 그룹별 시간 진행순서
//
// 습격타입 : 1-기본습격 / 2-특별습격
// 그룹 : 각 습격타입 마다 시간맞춰 나올 몬스터 집단
// 습격타입	그룹	출현분
//-----------------------------------------------
2
1	1	0
1	2	10

2	1	0
2	2	10
2	3	20
end

// 각 습격타입, 그룹별 몬스터 종류와 개수
//
// 습격타입	그룹	몬스터종류	마리수	시작X	시작Y	종료X	종료Y
//-----------------------------------------------
3
1	1	39	30	60	28	132	73
1	1	34	30	60	28	132	73
1	1	41	30	60	28	132	73
1	1	37	30	60	28	132	73
1	1	40	30	60	28	132	73
1	1	35	30	60	28	132	73
1	1	51	30	60	28	132	73
1	1	52	30	60	28	132	73
1	1	48	30	60	28	132	73
1	1	62	30	60	28	132	73

1	2	69	30	60	58	132	101
1	2	60	30	60	58	132	101
1	2	71	30	60	58	132	101
1	2	57	30	60	58	132	101
1	2	70	30	60	58	132	101
1	2	58	30	60	58	132	101
1	2	61	30	60	58	132	101
1	2	73	30	60	58	132	101
1	2	74	30	60	58	132	101
1	2	72	30	60	58	132	101

2	1	39	30	60	28	132	73
2	1	34	30	60	28	132	73
2	1	41	30	60	28	132	73
2	1	37	30	60	28	132	73
2	1	40	30	60	28	132	73
2	1	35	30	60	28	132	73
2	1	51	30	60	28	132	73
2	1	52	30	60	28	132	73
2	1	48	30	60	28	132	73
2	1	62	30	60	28	132	73

2	2	294	30	60	58	132	101
2	2	290	30	60	58	132	101
2	2	193	30	60	58	132	101
2	2	194	30	60	58	132	101
2	2	192	30	60	58	132	101
2	2	190	30	60	58	132	101
2	2	195	30	60	58	132	101
2	2	61	30	60	58	132	101
2	2	73	30	60	58	132	101
2	2	127	30	60	58	132	101

2	3	49	20	60	58	132	101
2	3	139	20	60	58	132	101
2	3	123	20	60	58	132	101
2	3	59	20	60	58	132	101
2	3	74	20	60	58	132	101
2	3	62	20	60	58	132	101
2	3	293	20	60	58	132	101
2	3	292	20	60	58	132	101
2	3	291	20	60	58	132	101
2	3	295	1	60	58	132	101
end

