//Script 이름: ChosCardProbability													
//Ver: 0.0.0.2													
//작업자: 김정민													
//작업일시: 2012-03-08 11:40 AM													
//작업내용: 세트 및 소켓 컬럼 추가													
//확률지정 컬럼													
0													
	// Type	DropPro	SkillPro	LuckPro	AddPro	ExPro							
	3	20000	500000	100000	100000	200000							
	4	200000	500000	300000	300000	0							
	5	45000	500000	100000	100000	300000							
	6	100400	500000	400000	400000	400000							
	7	20000	0	100000	100000	200000							
	8	200000	0	300000	300000	0							
	9	100000	0	0	0	25000							
	10	15000	0	0	0	0							
	11	20000	0	0	0	0							
	12	0	0	0	0	0							
	13	180000	0	0	0	0							
	14	0	0	0	0	0							
	15	0	0	0	0	0							
	16	0	0	0	0	0							
	17	0	0	0	0	0							
	18	0	0	0	0	0							
	19	0	0	0	0	0							
	20	0	0	0	0	0							
	21	0	0	0	0	0							
	22	0	0	0	0	0							
end													
1													
	// Type	Value											
	1	500000											
	2	300000											
	3	200000											
end													
2													
	// Type	Value											
	0	250000											
	1	150000											
	2	150000											
	3	150000											
	4	150000											
	5	150000											
end													
//아이템 리스트													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount		
3	// 무기류 1 (엑설런트)												
	5	14	0	0	1	1	1	1	0	0	0	//미스터리스틱	
	5	15	0	0	1	1	1	1	0	0	0	//바이올렌윈드스틱	
	5	16	0	0	1	1	1	1	0	0	0	//레드윙스틱	
	0	0	0	0	1	1	1	1	0	0	0	//크리스	
	0	2	0	0	1	1	1	1	0	0	0	//레이피어	
	0	4	0	0	1	1	1	1	0	0	0	//자객검	
	0	3	0	0	1	1	1	1	0	0	0	//카타치	
	0	6	0	0	1	1	1	1	0	0	0	//그라디우스	
	0	7	0	0	1	1	1	1	0	0	0	//펄션	
	0	8	0	0	1	1	1	1	0	0	0	//서펜트볼그	
	0	5	0	0	1	1	1	1	0	0	0	//블레이드	
	0	13	0	0	1	1	1	1	0	0	0	//더블블레이드	
	0	14	0	0	1	1	1	1	0	0	0	//번개검	
	0	9	0	0	1	1	1	1	0	0	0	//셀러맨더검	
	0	10	0	0	1	1	1	1	0	0	0	//빛의검	
	0	11	0	0	1	1	1	1	0	0	0	//전설의검	
	0	15	0	0	1	1	1	1	0	0	0	//거대한검	
	0	12	0	0	1	1	1	1	0	0	0	//태양검	
	1	1	0	0	1	1	1	1	0	0	0	//손도끼	
	1	2	0	0	1	1	1	1	0	0	0	//양날도끼	
	1	3	0	0	1	1	1	1	0	0	0	//토마호크	
	1	4	0	0	1	1	1	1	0	0	0	//요정도끼	
	1	5	0	0	1	1	1	1	0	0	0	//전투도끼	
	1	6	0	0	1	1	1	1	0	0	0	//니케아도끼	
	1	7	0	0	1	1	1	1	0	0	0	//라르칸도끼	
	1	8	0	0	1	1	1	1	0	0	0	//반월도끼	
	// 무기류 1 (엑설런트)												
	2	1	0	0	1	1	1	1	0	0	0	//모닝스타	
	2	2	0	0	1	1	1	1	0	0	0	//철퇴	
	2	3	0	0	1	1	1	1	0	0	0	//그레이트해머	
	2	4	0	0	1	1	1	1	0	0	0	//크리스탈모닝스타	
	3	5	0	0	1	1	1	1	0	0	0	//양날도끼창	
	3	2	0	0	1	1	1	1	0	0	0	//드래건랜스	
	3	6	0	0	1	1	1	1	0	0	0	//도끼창	
	3	1	0	0	1	1	1	1	0	0	0	//창	
	3	9	0	0	1	1	1	1	0	0	0	//큰삼지창	
	3	3	0	0	1	1	1	1	0	0	0	//버디슈	
	3	0	0	0	1	1	1	1	0	0	0	//광선봉	
	3	4	0	0	1	1	1	1	0	0	0	//서펜트스피어	
	3	8	0	0	1	1	1	1	0	0	0	//그레이트사이드	
	4	0	0	0	1	1	1	1	0	0	0	//단활	
	4	2	0	0	1	1	1	1	0	0	0	//요정활	
	4	3	0	0	1	1	1	1	0	0	0	//전투활	
	4	4	0	0	1	1	1	1	0	0	0	//타이거보우	
	4	5	0	0	1	1	1	1	0	0	0	//실버보우	
	4	9	0	0	1	1	1	1	0	0	0	//황금석궁	
	4	10	0	0	1	1	1	1	0	0	0	//아큐버스	
	4	11	0	0	1	1	1	1	0	0	0	//빛의석궁	
	5	2	0	0	1	1	1	1	0	0	0	//독사지팡이	
	5	3	0	0	1	1	1	1	0	0	0	//번개지팡이	
	5	4	0	0	1	1	1	1	0	0	0	//고르곤지팡이	
	5	5	0	0	1	1	1	1	0	0	0	//전설의지팡이	
	2	8	0	0	1	1	1	1	0	0	0	//배틀셉터	
	2	9	0	0	1	1	1	1	0	0	0	//마스터셉터	
