//Script 이름: ChosCardProbability														
//Ver: 0.0.0.2														
//작업자: 김승태														
//작업일시: 2012-04-20 7:01 PM														
//작업내용: 잘못 입력된 아이템 삭제 및 확률 조정														
//확률지정 컬럼														
0														
	// Type	DropPro	SkillPro	LuckPro	AddPro	ExPro								
	3	120000	500000	100000	100000	200000								
	4	120000	500000	300000	300000	0								
	5	30000	500000	100000	100000	300000								
	6	0	500000	400000	400000	0								
	7	120000	0	100000	100000	200000								
	8	120000	0	300000	300000	0								
	9	110000	0	0	0	25000								
	10	110000	0	0	0	0								
	11	70000	0	0	0	0								
	12	48000	0	0	0	0								
	13	0	0	0	0	0								
	14	2000	0	0	0	0								
	15	0	0	0	0	0								
	16	0	0	0	0	0								
	17	0	0	0	0	0								
	18	0	0	0	0	0								
	19	0	0	0	0	0								
	20	0	0	0	0	0								
	21	100000	500000	100000	100000	200000								
	22	50000	500000	300000	300000	0								
end														
1														
	// Type	Value												
	1	500000												
	2	300000												
	3	200000												
end														
2														
	// Type	Value												
	0	250000												
	1	150000												
	2	150000												
	3	150000												
	4	150000												
	5	150000												
end														
//아이템 리스트														
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount			
3	// 무기류 1 (엑설런트)													
	0	16	0	0	1	1	1	1	0	0	0	//파괴의검		
	0	17	0	0	1	1	1	1	0	0	0	//다크브레이커		
	0	18	0	0	1	1	1	1	0	0	0	//선더블레이드		
	0	31	0	0	1	1	1	1	0	0	0	//데스브로드		
	2	10	0	0	1	1	1	1	0	0	0	//그레이트셉터		
	2	11	0	0	1	1	1	1	0	0	0	//로드셉터		
	4	16	0	0	1	1	1	1	0	0	0	//세인트크로스석궁		
	4	17	0	0	1	1	1	1	0	0	0	//홀리사이트보우		
	4	19	0	0	1	1	1	1	0	0	0	//그레이트레인석궁		
	5	7	0	0	1	1	1	1	0	0	0	//카오스번개지팡이		
	5	8	0	0	1	1	1	1	0	0	0	//파멸의지팡이		
	5	9	0	0	1	1	1	1	0	0	0	//드래곤소울지팡이		
	4	6	0	0	1	1	1	1	0	0	0	//카오스네이쳐보우		
	2	6	0	0	1	1	1	1	0	0	0	//카오스드라곤도끼		
	5	17	0	0	1	1	1	1	0	0	0	//에이션트스틱		
end														
4	// 무기류 2 (일반)													
	0	16	7	9	1	1	1	0	0	0	0	//파괴의검		
	0	17	7	9	1	1	1	0	0	0	0	//다크브레이커		
	0	18	7	9	1	1	1	0	0	0	0	//선더블레이드		
	0	31	7	9	1	1	1	0	0	0	0	//데스브로드		
	2	10	7	9	1	1	1	0	0	0	0	//그레이트셉터		
	2	11	7	9	1	1	1	0	0	0	0	//로드셉터		
	4	16	7	9	1	1	1	0	0	0	0	//세인트크로스석궁		
	4	17	7	9	1	1	1	0	0	0	0	//홀리사이트보우		
	4	19	7	9	1	1	1	0	0	0	0	//그레이트레인석궁		
	5	7	7	9	1	1	1	0	0	0	0	//카오스번개지팡이		
	5	8	7	9	1	1	1	0	0	0	0	//파멸의지팡이		
	5	9	7	9	1	1	1	0	0	0	0	//드래곤소울지팡이		
	4	6	7	9	1	1	1	0	0	0	0	//카오스네이쳐보우		
	2	6	7	9	1	1	1	0	0	0	0	//카오스드라곤도끼		
end														
5	// 방패류 (엑설런트)													
	6	12	0	0	1	1	1	1	0	0	0	//브론즈방패		
	6	13	0	0	1	1	1	1	0	0	0	//드라곤방패		
	6	14	0	0	1	1	1	1	0	0	0	//전설의방패		
	6	15	0	0	1	1	1	1	0	0	0	//그랜드소울방패		
	6	16	0	0	1	1	1	1	0	0	0	//엘리멘탈방패		
end														
6	// 방패류 (일반)													
end														
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount			
7	// 방어구류 1 (엑설런트)													
	8	15	0	0	1	1	1	1	0	0	0	//아틀란스갑옷		
	9	15	0	0	1	1	1	1	0	0	0	//아틀란스바지		
	10	15	0	0	1	1	1	1	0	0	0	//아틀란스장갑		
	11	15	0	0	1	1	1	1	0	0	0	//아틀란스부츠		
	7	16	0	0	1	1	1	1	0	0	0	//블랙드라곤투구		
	8	16	0	0	1	1	1	1	0	0	0	//블랙드라곤갑옷		
	9	16	0	0	1	1	1	1	0	0	0	//블랙드라곤바지		
	10	16	0	0	1	1	1	1	0	0	0	//블랙드라곤장갑		
	11	16	0	0	1	1	1	1	0	0	0	//블랙드라곤부츠		
	7	17	0	0	1	1	1	1	0	0	0	//다크피닉스투구		
	8	17	0	0	1	1	1	1	0	0	0	//다크피닉스갑옷		
	9	17	0	0	1	1	1	1	0	0	0	//다크피닉스바지		
	10	17	0	0	1	1	1	1	0	0	0	//다크피닉스장갑		
	11	17	0	0	1	1	1	1	0	0	0	//다크피닉스부츠		
	7	18	0	0	1	1	1	1	0	0	0	//그랜드소울헬멧		
	8	18	0	0	1	1	1	1	0	0	0	//그랜드소울갑옷		
	9	18	0	0	1	1	1	1	0	0	0	//그랜드소울바지		
	10	18	0	0	1	1	1	1	0	0	0	//그랜드소울장갑		
	11	18	0	0	1	1	1	1	0	0	0	//그랜드소울부츠		
	7	19	0	0	1	1	1	1	0	0	0	//홀리스프릿헬멧		
	8	19	0	0	1	1	1	1	0	0	0	//홀리스프릿갑옷		
	9	19	0	0	1	1	1	1	0	0	0	//홀리스프릿바지		
	10	19	0	0	1	1	1	1	0	0	0	//홀리스프릿장갑		
	11	19	0	0	1	1	1	1	0	0	0	//홀리스프릿부츠		
	8	20	0	0	1	1	1	1	0	0	0	//선더호크갑옷		
	9	20	0	0	1	1	1	1	0	0	0	//선더호크바지		
	10	20	0	0	1	1	1	1	0	0	0	//선더호크장갑		
	11	20	0	0	1	1	1	1	0	0	0	//선더호크부츠		
	7	27	0	0	1	1	1	1	0	0	0	//다크브리즌마스크		
	8	27	0	0	1	1	1	1	0	0	0	//다크브리즌갑옷		
	9	27	0	0	1	1	1	1	0	0	0	//다크브리즌바지		
	10	27	0	0	1	1	1	1	0	0	0	//다크브리즌장갑		
	11	27	0	0	1	1	1	1	0	0	0	//다크브리즌부츠		
	7	28	0	0	1	1	1	1	0	0	0	//다크마스터마스크		
	8	28	0	0	1	1	1	1	0	0	0	//다크마스터갑옷		
	9	28	0	0	1	1	1	1	0	0	0	//다크마스터바지		
	10	28	0	0	1	1	1	1	0	0	0	//다크마스터장갑		
	11	28	0	0	1	1	1	1	0	0	0	//다크마스터부츠		
	7	34	0	0	1	1	1	1	0	0	0	//애쉬크로우헬멧		
	8	34	0	0	1	1	1	1	0	0	0	//애쉬크로우갑옷		
	9	34	0	0	1	1	1	1	0	0	0	//애쉬크로우바지		
	10	34	0	0	1	1	1	1	0	0	0	//애쉬크로우장갑		
	11	34	0	0	1	1	1	1	0	0	0	//애쉬크로우부츠		
	7	35	0	0	1	1	1	1	0	0	0	//이클립스헬멧		
	8	35	0	0	1	1	1	1	0	0	0	//이클립스갑옷		
	9	35	0	0	1	1	1	1	0	0	0	//이클립스바지		
	10	35	0	0	1	1	1	1	0	0	0	//이클립스장갑		
	11	35	0	0	1	1	1	1	0	0	0	//이클립스부츠		
	7	36	0	0	1	1	1	1	0	0	0	//아이리스헬멧		
	8	36	0	0	1	1	1	1	0	0	0	//아이리스갑옷		
	9	36	0	0	1	1	1	1	0	0	0	//아이리스바지		
	10	36	0	0	1	1	1	1	0	0	0	//아이리스장갑		
	11	36	0	0	1	1	1	1	0	0	0	//아이리스부츠		
	8	37	0	0	1	1	1	1	0	0	0	//발리언트갑옷		
	9	37	0	0	1	1	1	1	0	0	0	//발리언트바지		
	10	37	0	0	1	1	1	1	0	0	0	//발리언트장갑		
	11	37	0	0	1	1	1	1	0	0	0	//발리언트부츠		
	7	38	0	0	1	1	1	1	0	0	0	//글로리어스마스크		
	8	38	0	0	1	1	1	1	0	0	0	//글로리어스갑옷		
	9	38	0	0	1	1	1	1	0	0	0	//글로리어스바지		
	10	38	0	0	1	1	1	1	0	0	0	//글로리어스장갑		
	11	38	0	0	1	1	1	1	0	0	0	//글로리어스부츠		
	7	21	0	0	1	1	1	1	0	0	0	//그레이트드라곤투구		
	8	21	0	0	1	1	1	1	0	0	0	//그레이트드라곤갑옷		
	9	21	0	0	1	1	1	1	0	0	0	//그레이트드라곤바지		
	10	21	0	0	1	1	1	1	0	0	0	//그레이트드라곤장갑		
	11	21	0	0	1	1	1	1	0	0	0	//그레이트드라곤부츠		
	7	22	0	0	1	1	1	1	0	0	0	//블랙소울헬멧		
	8	22	0	0	1	1	1	1	0	0	0	//블랙소울갑옷		
	9	22	0	0	1	1	1	1	0	0	0	//블랙소울바지		
	10	22	0	0	1	1	1	1	0	0	0	//블랙소울장갑		
	11	22	0	0	1	1	1	1	0	0	0	//블랙소울부츠		
	8	23	0	0	1	1	1	1	0	0	0	//아스릴갑옷		
	9	23	0	0	1	1	1	1	0	0	0	//아스릴바지		
	10	23	0	0	1	1	1	1	0	0	0	//아스릴장갑		
	11	23	0	0	1	1	1	1	0	0	0	//아스릴부츠		
	7	24	0	0	1	1	1	1	0	0	0	//레드스피릿헬멧		
	8	24	0	0	1	1	1	1	0	0	0	//레드스피릿갑옷		
	9	24	0	0	1	1	1	1	0	0	0	//레드스피릿바지		
	10	24	0	0	1	1	1	1	0	0	0	//레드스피릿장갑		
	11	24	0	0	1	1	1	1	0	0	0	//레드스피릿부츠		
	7	25	0	0	1	1	1	1	0	0	0	//에이션트헬멧		
	8	25	0	0	1	1	1	1	0	0	0	//에이션트갑옷		
	9	25	0	0	1	1	1	1	0	0	0	//에이션트바지		
	10	25	0	0	1	1	1	1	0	0	0	//에이션트장갑		
	11	25	0	0	1	1	1	1	0	0	0	//에이션트부츠		
	7	26	0	0	1	1	1	1	0	0	0	//다크소울마스크		
	8	26	0	0	1	1	1	1	0	0	0	//다크소울갑옷		
	9	26	0	0	1	1	1	1	0	0	0	//다크소울바지		
	10	26	0	0	1	1	1	1	0	0	0	//다크소울장갑		
	11	26	0	0	1	1	1	1	0	0	0	//다크소울부츠		
end														
8	// 방어구류 1 (일반)													
	7	28	7	9	1	1	1	0	0	0	0	//다크마스터마스크		
	8	28	7	9	1	1	1	0	0	0	0	//다크마스터갑옷		
	9	28	7	9	1	1	1	0	0	0	0	//다크마스터바지		
	10	28	7	9	1	1	1	0	0	0	0	//다크마스터장갑		
	11	28	7	9	1	1	1	0	0	0	0	//다크마스터부츠		
	7	21	7	9	1	1	1	0	0	0	0	//그레이트드라곤투구		
	8	21	7	9	1	1	1	0	0	0	0	//그레이트드라곤갑옷		
	9	21	7	9	1	1	1	0	0	0	0	//그레이트드라곤바지		
	10	21	7	9	1	1	1	0	0	0	0	//그레이트드라곤장갑		
	11	21	7	9	1	1	1	0	0	0	0	//그레이트드라곤부츠		
	7	22	7	9	1	1	1	0	0	0	0	//블랙소울헬멧		
	8	22	7	9	1	1	1	0	0	0	0	//블랙소울갑옷		
	9	22	7	9	1	1	1	0	0	0	0	//블랙소울바지		
	10	22	7	9	1	1	1	0	0	0	0	//블랙소울장갑		
	11	22	7	9	1	1	1	0	0	0	0	//블랙소울부츠		
	8	23	7	9	1	1	1	0	0	0	0	//아스릴갑옷		
	9	23	7	9	1	1	1	0	0	0	0	//아스릴바지		
	10	23	7	9	1	1	1	0	0	0	0	//아스릴장갑		
	11	23	7	9	1	1	1	0	0	0	0	//아스릴부츠		
	7	24	7	9	1	1	1	0	0	0	0	//레드스피릿헬멧		
	8	24	7	9	1	1	1	0	0	0	0	//레드스피릿갑옷		
	9	24	7	9	1	1	1	0	0	0	0	//레드스피릿바지		
	10	24	7	9	1	1	1	0	0	0	0	//레드스피릿장갑		
	11	24	7	9	1	1	1	0	0	0	0	//레드스피릿부츠		
end														
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount			
9	// 액세서리류													
	13	8	0	0	0	0	0	2	0	0	0	//얼음의반지		
	13	9	0	0	0	0	0	2	0	0	0	//독의반지		
	13	21	0	0	0	0	0	2	0	0	0	//불의반지		
	13	22	0	0	0	0	0	2	0	0	0	//땅의반지		
	13	23	0	0	0	0	0	2	0	0	0	//바람의반지		
	13	24	0	0	0	0	0	2	0	0	0	//마법의반지		
	13	12	0	0	0	0	0	2	0	0	0	//번개의목걸이		
	13	13	0	0	0	0	0	2	0	0	0	//불의목걸이		
	13	25	0	0	0	0	0	2	0	0	0	//얼음의목걸이		
	13	26	0	0	0	0	0	2	0	0	0	//바람의목걸이		
	13	27	0	0	0	0	0	2	0	0	0	//물의목걸이		
	13	28	0	0	0	0	0	2	0	0	0	//기술의목걸이		
end														
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount			
10	// 보석류 1													
	14	13	0	0	0	0	0	0	0	0	0	//축복의보석		
	14	16	0	0	0	0	0	0	0	0	0	//생명의보석		
	14	42	0	0	0	0	0	0	0	0	0	//조화의보석		
end														
11	// 보석류 2													
	12	15	0	0	0	0	0	0	0	0	0	//혼돈의보석		
	14	14	0	0	0	0	0	0	0	0	0	//영혼의보석		
	14	22	0	0	0	0	0	0	0	0	0	//창조의보석		
	14	41	0	0	0	0	0	0	0	0	0	//보석원석		
	14	44	0	0	0	0	0	0	0	0	0	//상급 제련석		
end														
12	// 보석류 세트													
	12	30	0	0	0	0	0	0	0	0	0	//축복의보석묶음		
	12	31	0	0	0	0	0	0	0	0	0	//영혼의보석묶음		
end														
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount			
13	// 기타 1													
end														
14	// 기타 2													
	13	4	0	0	0	0	0	0	0	0	0	//다크호스의뿔		
	13	5	0	0	0	0	0	0	0	0	0	//다크스피릿의발톱		
	13	37	0	0	0	0	0	0	0	0	0	//펜릴의뿔피리		
end														
15	// 희귀아이템티켓 1													
end														
16	// 희귀아이템티켓 2													
end														
17	// 희귀아이템티켓 3													
end														
18	// 희귀아이템티켓 4													
end														
19	// 희귀아이템티켓 5													
end														
20	// 희귀아이템티켓 6													
end														
21	// 무기류 3 (엑설런트)													
	2	5	0	0	1	1	1	1	0	0	0	//크리스탈검		
	2	7	0	0	1	1	1	1	0	0	0	//엘리멘탈메이스		
	3	9	0	0	1	1	1	1	0	0	0	//발록의낫		
	4	13	0	0	1	1	1	1	0	0	0	//블루윙석궁		
	4	14	0	0	1	1	1	1	0	0	0	//아쿠아골드석궁		
	5	6	0	0	1	1	1	1	0	0	0	//부활의지팡이		
end														
22	// 무기류 4 (일반)													
	0	24	7	9	1	1	1	0	0	0	0	//데이브레이크		
	0	25	7	9	1	1	1	0	0	0	0	//소드댄서		
	2	15	7	9	1	1	1	0	0	0	0	//샤이닝셉터		
	4	22	7	9	1	1	1	0	0	0	0	//알바트로스보우		
	5	13	7	9	1	1	1	0	0	0	0	//플라티나윙스태프		
end														
														
