																									
//abattleinfo																									
																									
//					중간보상							최종보상													
//구분	몬스터Lv(5명)	hp(5명)	공격력(5명)	방어력(5명)	루팅	아이템1	확률	아이템2	확률	아이템3	확률	루팅	아이템1	확률	아이템2	확률	아이템3	확률	아이템4	확률	아이템5	확률	아이템6	확률	최종경험치
//INDEX																									
0																									
0	0.3	0.5	0.3	0.3	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	120000
1	0.5	1.2	0.4	0.4	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	150000
2	0.6	1.9	0.5	0.5	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	250000
3	0.7	2.7	0.6	0.7	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	280000
4	0.85	3.2	0.7	0.9	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	300000
5	0.9	5.7	0.8	1.1	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	13	600000	14	300000	320000
6	1	7.5	0.9	1.6	1	12	500000	13	700000	14	10000	5	4	500000	8	500000	13	600000	14	300000	15	7	16	2	340000
end																									
																									
// 레벨별 입장등급																									
1																									
0	50	179	50	179																					
1	180	269	180	269																					
2	270	349	270	349																					
3	350	399	350	399																					
4	400	500	400	500																					
5	501	650	501	650																					
6	651	820	651	820																					
end																									
2																									
// 공지         입장대기         도플시작																									
20	25	20	27	20	30																				
end																									
end
