//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 114																	
//	[ Start  ] 	2013.10.21															
//	[ Latest ]	2013-10-25 05:28 PM															
//	[ Author ]	김의건															
//	[ Version ]	0.0.0.2															
//	[ Text ]	로드실베스터 드롭 아이템															
//	[ Desc ]	아이템 백 변경(4차스피어,400소켓,펜타그램 추가)															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	0	0	0	1000	//로랜시아												
	1	0	0	1000	//던전												
	2	0	0	1000	//데비아스												
	3	0	0	1000	//노리아												
	4	0	0	1000	//로스트타워												
	5	0	0	1000	//빈공간												
	6	0	0	1000	//경기장(배틀사커)												
	7	0	0	1000	//아틀란스												
	8	0	0	1000	//타르칸												
	9	0	0	1000	//악마의광장												
	10	0	0	1000	//이카루스												
end																	
																	
//드롭젠 및 아이템드롭 확률																	
//이벤트아이템 드롭 확률은 EventItemDropRate/1000																	
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000																	
1																	
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate									
	"Lord Silvester_Drop"	0	0	0	0	0	100	1									
end																	
																	
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 																	
// 확률값 내부에 확률 지정 카테고리 개수가 20개를 초과하면 안됨.																	
// 젠 드롭 확률 : 1-(n/10000) 의 확률																	
// 2-3 카테고리 내 확률이 총합 n/10000이 되어야함. (초과하면 안됨)																	
2																	
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag									
//2013년 10월 21일 ~																	
//획득확률 : 1500/10000																	
1500																	
//380소켓 아이템류																	
	0	26	3	5	1	1	1	0	//플랑베루주								
	0	27	3	5	1	1	1	0	//소드브레이커								
	0	28	3	5	1	1	1	0	//룬바스타드								
	2	16	3	5	1	1	1	0	//프로스트메이스								
	2	17	3	5	1	1	1	0	//앱솔루트셉터								
	4	23	3	5	1	1	1	0	//다크스팅거								
	5	30	3	5	0	1	1	0	//데들리스태프								
	5	31	3	5	0	1	1	0	//인베리알스태프								
	6	17	3	5	1	1	1	0	//크림슨글로리								
	6	18	3	5	1	1	1	0	//샐러맨더실드								
	6	19	3	5	1	1	1	0	//프로스트배리어								
	6	20	3	5	1	1	1	0	//가디안방패								
end																	
//획득확률 : 4000/10000																	
4000																	
//400소켓 아이템류																	
	6	22	3	5	0	1	1	0	//레이지윈드방패								
