//////////////////////////////////////////////////////////////////////////////////////										
// EventItemBag 133										
//	[ Start  ] 	2014-07-28								
//	[ Latest ]	2014-11-18 04:20 PM								
//	[ Author ]	김의건								
//	[ Version ]	0.0.0.2								
//	[ Text ]	그로우랜서 2차 세트 아이템 추가								
//	[ Desc ]	카오스캐슬 1등 보상 세트 아이템 드롭 설정								
//////////////////////////////////////////////////////////////////////////////////////										
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임										
//드롭가능맵 설정										
0										
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel						
	91	0	0	1000	//카오스캐슬 1등 보상					
end										
										
//드롭젠 및 아이템드롭 확률										
//이벤트아이템 드롭 확률은 EventItemDropRate/1000										
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000										
1										
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate		
	"Chaos Castle Winner"	10000	0	0	0	0	100	1		
end										
										
//세트 아이템 드롭 설정 카테고리 : 세트 이외의 인덱스 입력 불가										
// Type. Index 만 입력하면 해당 아이템에 대한 세트아이템 랜덤 드롭 (모든 옵션은 랜덤이며 세트 아이템 2종류 중 1개가 드롭)										
3										
//	type	index								
//획득확률 : 600000/1000000										
600000										
//세트아이템류 60EA										
	11	5							//가죽부츠	무도가의, 무명의
	10	5							//가죽장갑	무도가의
	7	5							//가죽헬멧	무도가의, 무명의
	9	5							//가죽바지	무도가의, 무명의
	8	5							//가죽갑옷	무도가의
	2	1							//모닝스타	무도가의
	13	8							//얼음의반지	무도가의, 아키르의
	6	0							//원형방패	무명의
	11	0							//청동부츠	하이페리온의
	9	0							//청동바지	하이페리온의. 미스트의
	8	0							//청동갑옷	하이페리온의
	7	0							//청동투구	미스트의
	10	0							//청동장갑	미스트의
	6	9							//철판방패	이플리트의
	9	6							//비늘바지	이플리트의,버서커의
	7	6							//비늘헬멧	이플리트의,버서커의
	8	6							//비늘갑옷	이플리트의,버서커의
	13	12							//번개의목걸이	이플리트의
	10	6							//비늘장갑	버서커의
	11	6							//비늘부츠	버서커의
	11	8							//황동부츠	가루다의
