//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 21- 빨간리본상자(12/32)_크리스마스이벤트					기본	젠	총합계				
//	[ Start  ] 	2016-12-16			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	우클릭하여 여는 상자_이벤트인벤토리 1칸 체크 함									
//	[ Desc ]	몬스터 30~ 74사이 드랍아이템									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	0	0	0	0							
end											
											
//드롭젠 및 아이템드롭 확률											
//이벤트아이템 드롭 확률은 EventItemDropRate/											
//아이템드롭 확률은 ItemDropRate/1000000											
1											
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate			
	"xmas1"	0 	0	0	0	0	100	1			
end											
											
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 											
5											
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag	DropCnt	Attribute	
30000											
//산타마을초대장											
	13	66	0	0	0	0	0	0	0	0	//산타마을초대장
end											
50000											
//일반무기류(높은레벨) 3-5											
	0	16	3	5	1	1	1	0	0	0	//파괴의검
	0	31	3	5	1	1	1	0	0	0	//데스브로드
	0	17	3	5	1	1	1	0	0	0	//다크브레이커
	0	33	3	5	1	1	1	0	0	0	//홀리스톰클로
	0	34	3	5	1	1	1	0	0	0	//피어싱블레이드글러브
	2	10	3	5	1	1	1	0	0	0	//그레이트셉터
	2	11	3	5	1	1	1	0	0	0	//로드셉터
	2	1	3	5	1	1	1	0	0	0	//모닝스타
	3	10	3	5	1	1	1	0	0	0	//드라곤스피어
	4	17	3	5	1	1	1	0	0	0	//홀리사이트보우
	4	22	3	5	1	1	1	0	0	0	//알바트로스보우
	5	8	3	5	1	1	1	0	0	0	//파멸의지팡이
	5	9	3	5	1	1	1	0	0	0	//드레곤소울지팡이
	5	17	3	5	1	1	1	0	0	0	//에이션트스틱
	5	18	3	5	1	1	1	0	0	0	//데모닉스틱
end											
103000											
//일반장비류(높은레벨) 3-5											
	8	15	3	5	0	1	1	0	0	0	//아틀란스갑옷
	9	15	3	5	0	1	1	0	0	0	//아틀란스바지
	10	15	3	5	0	1	1	0	0	0	//아틀란스장갑
	11	15	3	5	0	1	1	0	0	0	//아틀란스부츠
	7	16	3	5	0	1	1	0	0	0	//블랙드라곤투구
	8	16	3	5	0	1	1	0	0	0	//블랙드라곤갑옷
	9	16	3	5	0	1	1	0	0	0	//블랙드라곤바지
	10	16	3	5	0	1	1	0	0	0	//블랙드라곤장갑
	11	16	3	5	0	1	1	0	0	0	//블랙드라곤부츠
