//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 51																	
//	[ Start  ] 	2008.04.07															
//	[ Latest ]	2013-04-01 03:52 PM															
//	[ Author ]	사재일															
//	[ Version ]	0.0.0.6															
//	[ Text ]	벚꽃 이벤트 : 황금 벚꽃가지															
//	[ Desc ]	세트 아이템 추가 및 확률 조정															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	0	0	0	1000	//로랜시아												
	1	0	0	1000	//던전												
	2	0	0	1000	//데비아스												
	3	0	0	1000	//노리아												
	4	0	0	1000	//로스트타워												
	5	0	0	1000	//빈공간												
	6	0	0	1000	//경기장(배틀사커)												
	7	0	0	1000	//아틀란스												
	8	0	0	1000	//타르칸												
	9	0	0	1000	//악마의광장												
	10	0	0	1000	//이카루스												
end																	
																	
//드롭젠 및 아이템드롭 확률																	
//이벤트아이템 드롭 확률은 EventItemDropRate/1000																	
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000																	
1																	
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate									
	"cherry_blossom4"	0	0	0	0	0	100	1									
end																	
																	
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 																	
// 확률값 내부에 확률 지정 카테고리 개수가 20개를 초과하면 안됨.																	
// 젠 드롭 확률 : 1-(n/10000) 의 확률																	
// 2-3 카테고리 내 확률이 총합 n/10000이 되어야함. (초과하면 안됨)																	
2																	
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag									
//2008년 4월 8일 ~																	
//획득확률 : 2000/10000																	
2000																	
	0	16	5	7	1	1	1	0	//파괴의검								
	0	17	5	7	1	1	1	0	//다크브레이커								
	0	18	5	7	1	1	1	0	//선더블레이드								
	0	31	5	7	1	1	1	0	//데스브로드								
	2	11	5	7	1	1	1	0	//로드셉터								
	3	10	5	7	1	1	1	0	//드라곤스피어								
	4	17	5	7	1	1	1	0	//홀리사이트보우								
	5	8	5	7	0	1	1	0	//파멸의지팡이								
	5	9	5	7	0	1	1	0	//드래곤소울지팡이								
	5	17	5	7	0	1	1	0	//에이션트스틱								
	5	22	5	7	1	1	1	0	//닐의서								
	7	16	5	7	0	1	1	0	//블랙드라곤투구								
	8	16	5	7	0	1	1	0	//블랙드라곤갑옷								
	9	16	5	7	0	1	1	0	//블랙드라곤바지								
	10	16	5	7	0	1	1	0	//블랙드라곤장갑								
