// Text Ver. 0.0.0.6										
// 겜블링 시스템										
// 최종 작업자 - 김의건										
// 최종 작업일 - 2014-04-21 3:49 PM										
// 내용: 비약 확률 변경, 아이템 추가(Type 8,13,18,13), 67,80,84 아이템 주석처리										
//확률지정 컬럼										
0										
	// SkillRate	LuckRate	AddRate	ExRate	Category					
	100000	50000	120000	6000	570000					
	100000	50000	100000	4000	365000					
	50000	50000	50000	2500	49900					
	30000	10000	10000	1000	15000					
	0	0	0	0	100					
	100000	50000	120000	6000	570000					
	100000	50000	100000	4000	365000					
	50000	50000	50000	2500	49900					
	30000	10000	10000	1000	15000					
	0	0	0	0	100					
	100000	50000	120000	6000	570000					
	100000	50000	100000	4000	365000					
	50000	50000	50000	2500	49900					
	30000	10000	10000	1000	15000					
	0	0	0	0	100					
	100000	50000	120000	6000	570000					
	100000	50000	100000	4000	365000					
	50000	50000	50000	2500	49900					
	30000	10000	10000	1000	15000					
	0	0	0	0	100					
	100000	50000	120000	6000	100					
	100000	50000	100000	4000	365000					
	50000	50000	50000	2500	49900					
	30000	10000	10000	1000	15000					
	0	0	0	0	570000					
end										
1	// 각 추가 옵션이 붙을 확률 ( 총합은 1000000이 되야함)									
	850000		// +4/+5							
	100000		// +8/+10							
	50000		// +12/+15							
	0		// +16/+20							
end										
2	// 각 타입별 겜블링 아이템 나올 확률									
	15		// 겜블러의 낫							
	15		// 겜블러의 활							
	15		// 겜블러의 지팡이							
	15		// 겜블러의 셉터							
	15		// 겜블러의 스틱							
end										
3	// 겜블링 아이템에 옵션이 갯수마다 붙을 확률 ( 총합은 1000000이 되야함)									
	0		// 1개 붙을 확률							
	950000		// 2개 붙을 확률							
	50000		// 3개 붙을 확률							
	0		// 4개 붙을 확률							
end										
4	// 겜블링 아이템에 각 엑설런트 옵션이 붙을 확률 ( 총합은 1000000이 되야함)									
	100000	100000	// 1번 옵션 - 겜블템 / 일반							
	200000	200000	// 2번 옵션 - 겜블템 / 일반							
	200000	200000	// 3번 옵션 - 겜블템 / 일반							
	200000	200000	// 4번 옵션 - 겜블템 / 일반							
	200000	200000	// 5번 옵션 - 겜블템 / 일반							
	100000	100000	// 6번 옵션 - 겜블템 / 일반							
end										
//아이템 리스트										
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption		
	// 검류									
5	0	1	0	3	1	1	1	1	//짧은검	
	0	4	0	3	1	1	1	1	//자객검	
//	0	6	0	3	1	1	1	1	//그라디우스	
	0	7	0	3	1	1	1	1	//펄션	
	0	8	0	3	1	1	1	1	//서펜트볼그	
	0	9	0	3	1	1	1	1	//셀러멘더검	
	0	0	0	3	1	1	1	1	//크리스	
	0	2	0	3	1	1	1	1	//레이피어	
	0	3	0	3	1	1	1	1	//카타치	
	0	5	0	3	1	1	1	1	//블레이드	
	0	10	0	3	1	1	1	1	//빛의검	
	0	11	0	3	1	1	1	1	//전설의검	
	0	12	0	3	1	1	1	1	//태양검	
	0	13	0	3	1	1	1	1	//더블블레이드	
	0	14	0	3	1	1	1	1	//번개검	
//	0	15	0	3	1	1	1	1	//거대한검	
	2	3	0	3	1	1	1	1	//그레이트해머	
	2	4	0	3	1	1	1	1	//크리스탈모닝스타	
	2	5	0	3	1	1	1	1	//크리스탈검	
//	3	7	0	3	1	1	1	1	//버디슈	
	3	8	0	3	1	1	1	1	//그레이트사이드	
	3	9	0	3	1	1	1	1	//발록의낫	
end										
6	3	10	0	3	1	1	1	1	//드라곤스피어	
	0	16	0	3	1	1	1	1	//파괴의검	
	0	17	0	3	1	1	1	1	//다크브레이커	
	0	18	0	3	1	1	1	1	//선더블레이드	
end										
7	0	20	0	3	1	1	1	1	//나이트블레이드	
	0	21	0	3	1	1	1	1	//데쓰블레이드	
	0	31	0	3	1	1	1	1	//데쓰브로드	
	0	24	0	3	1	1	1	1	//데이브레이크	
	0	25	0	3	1	1	1	1	//소드댄서	
end										
8	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	119	0	0	0	0	0	0	//중급활력의비약	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	113	0	0	0	0	0	0	//골드키	
	14	113	0	0	0	0	0	0	//골드키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
end										
9	14	96	0	0	0	0	0	0	//카오스조합부적	
	14	53	0	0	0	0	0	0	//행운의부적	
end										
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption		
	// 지팡이류									
10	5	0	0	3	1	1	1	1	//해골지팡이	
	5	1	0	3	1	1	1	1	//천사지팡이	
	5	2	0	3	1	1	1	1	//독사지팡이	
	5	3	0	3	1	1	1	1	//번개지팡이	
	5	4	0	3	1	1	1	1	//고르곤지팡이	
end										
11	5	5	0	3	1	1	1	1	//전설의지팡이	
	5	6	0	3	1	1	1	1	//부활의지팡이	
	5	8	0	3	1	1	1	1	//파멸의지팡이	
end										
12	5	9	0	3	1	1	1	1	//드래곤소울지팡이	
	5	11	0	3	1	1	1	1	//쿤둔의지팡이	
	5	13	0	3	1	1	1	1	//플라타나윙스태프	
end										
13	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	119	0	0	0	0	0	0	//중급활력의비약	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	113	0	0	0	0	0	0	//골드키	
	14	113	0	0	0	0	0	0	//골드키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
end										
14	14	96	0	0	0	0	0	0	//카오스조합부적	
	14	53	0	0	0	0	0	0	//행운의부적	
end										
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption		
	// 활류									
15	4	0	0	3	1	1	1	1	//단활	
	4	1	0	3	1	1	1	1	//활	
	4	2	0	3	1	1	1	1	//요정활	
	4	3	0	3	1	1	1	1	//전투활	
	4	4	0	3	1	1	1	1	//타이거보우	
	4	5	0	3	1	1	1	1	//실버보우	
	4	9	0	3	1	1	1	1	//황금석궁	
	4	10	0	3	1	1	1	1	//서팬트석궁	
end										
16	4	11	0	3	1	1	1	1	//블루윙석궁	
	4	14	0	3	1	1	1	1	//아쿠아골드석궁	
	4	16	0	3	1	1	1	1	//세인트크로스석궁	
	4	17	0	3	1	1	1	1	//홀리사이트보우	
	4	19	0	3	1	1	1	1	//그레이트레인석궁	
	4	20	0	3	1	1	1	1	//에로우바이퍼보우	
end										
17	4	22	0	3	1	1	1	1	//알바트로스보우	
end										
18	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	119	0	0	0	0	0	0	//중급활력의비약	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	113	0	0	0	0	0	0	//골드키	
	14	113	0	0	0	0	0	0	//골드키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
end										
19	14	96	0	0	0	0	0	0	//카오스조합부적	
	14	53	0	0	0	0	0	0	//행운의부적	
end										
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption		
	// 셉터류									
20	2	8	0	3	1	1	1	1	//베틀셉터	
	2	9	0	3	1	1	1	1	//마스터셉터	
	2	10	0	3	1	1	1	1	//그레이트셉터	
	2	11	0	3	1	1	1	1	//로드셉터	
end										
21	2	12	0	3	1	1	1	1	//그레이트셉터	
end										
22	2	15	0	3	1	1	1	1	//샤이닝셉터	
end										
23	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	117	0	0	0	0	0	0	//최하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	118	0	0	0	0	0	0	//하급활력의비약	
	13	119	0	0	0	0	0	0	//중급활력의비약	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	160	0	0	0	0	0	0	//연장의보석	
	14	113	0	0	0	0	0	0	//골드키	
	14	113	0	0	0	0	0	0	//골드키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
	14	112	0	0	0	0	0	0	//실버키	
end										
24	14	96	0	0	0	0	0	0	//카오스조합부적	
	14	53	0	0	0	0	0	0	//행운의부적	
end										
