//////////////////////////////////////////////////////////////////////////////////////										
// EventItemBag 60										
//	[ Start  ] 	2008.04.07								
//	[ Latest ]	2014-11-18 04:20 PM								
//	[ Author ]	김의건								
//	[ Version ]	0.0.0.5								
//	[ Text ]	그로우랜서 2차 세트 아이템 추가								
//	[ Desc ]	불카누스 : 변종 몬스터 드롭 리스트 리스트 수정(총 110개)								
//////////////////////////////////////////////////////////////////////////////////////										
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임										
//드롭가능맵 설정										
0										
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel						
	63	0	0	1000	//불카누스					
end										
										
//드롭젠 및 아이템드롭 확률										
//이벤트아이템 드롭 확률은 EventItemDropRate/1000										
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000										
1										
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate		
	"vulcanus_mutant_drop"	10000	0	0	0	0	100	1		
end										
										
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 										
// 확률값 내부에 확률 지정 카테고리 개수가 20개를 초과하면 안됨.										
// 젠 드롭 확률 : 1-(n/1000000) 의 확률										
// 2-3 카테고리 내 확률이 총합 n/1000000이 되어야함. (초과하면 안됨)										
2										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
//2009년 3월 12일 ~										
//획득확률 : 1/1000000										
1										
//엑설런트 무기류 22EA										
//	0	17	0	0	1	1	1	1	//다크브레이커	
//	0	18	0	0	1	1	1	1	//선더블레이드	
//	0	31	0	0	1	1	1	1	//데스브로드	
//	0	20	0	0	1	1	1	1	//나이트블레이드	
//	0	21	0	0	1	1	1	1	//데스블레이드	
//	0	22	0	0	1	1	1	1	//본블레이드	380
//	0	23	0	0	1	1	1	1	//익스플로전블레이드	380
//	0	24	0	0	1	1	1	1	//데이브레이크	380
//	0	25	0	0	1	1	1	1	//소드댄서	
//	2	12	0	0	1	1	1	1	//그레이트로드셉터	
//	2	14	0	0	1	1	1	1	//솔레이유셉터	380
//	2	15	0	0	1	1	1	1	//샤이닝셉터	
//	4	19	0	0	1	1	1	1	//그레이트레인석궁	
//	4	20	0	0	1	1	1	1	//에로우바이퍼보우	
//	4	21	0	0	1	1	1	1	//실프윈드보우	380
//	4	22	0	0	1	1	1	1	//알바트로스보우	
//	5	9	0	0	1	1	1	1	//드래곤소울지팡이	
//	5	11	0	0	1	1	1	1	//쿤둔의지팡이	
//	5	12	0	0	1	1	1	1	//그랜드바이퍼지팡이	380
//	5	13	0	0	1	1	1	1	//플라티나윙스태프	
//	5	18	0	0	1	1	1	1	//데모닉스틱	
//	5	19	0	0	1	1	1	1	//스톰블리츠스틱	380
end										
//획득확률 : 1/1000000										
1										
//엑설런트 방어구류 44EA										
	7	21	0	0	0	1	1	1	//그레이트드라곤투구	
	8	21	0	0	0	1	1	1	//그레이트드라곤갑옷	
	9	21	0	0	0	1	1	1	//그레이트드라곤바지	
	10	21	0	0	0	1	1	1	//그레이트드라곤장갑	
	11	21	0	0	0	1	1	1	//그레이트드라곤부츠	
	7	22	0	0	0	1	1	1	//블랙소울헬멧	
	8	22	0	0	0	1	1	1	//블랙소울갑옷	
	9	22	0	0	0	1	1	1	//블랙소울바지	
	10	22	0	0	0	1	1	1	//블랙소울장갑	
	11	22	0	0	0	1	1	1	//블랙소울부츠	
	7	28	0	0	0	1	1	1	//다크마스터마스크	
	8	28	0	0	0	1	1	1	//다크마스터갑옷	
	9	28	0	0	0	1	1	1	//다크마스터바지	
	10	28	0	0	0	1	1	1	//다크마스터장갑	
	11	28	0	0	0	1	1	1	//다크마스터부츠	
//	7	29	0	0	0	1	1	1	//드래곤나이트투구	380
//	8	29	0	0	0	1	1	1	//드래곤나이트갑옷	380
//	9	29	0	0	0	1	1	1	//드래곤나이트바지	380
//	10	29	0	0	0	1	1	1	//드래곤나이트장갑	380
//	11	29	0	0	0	1	1	1	//드래곤나이트부츠	380
//	7	30	0	0	0	1	1	1	//베놈미스트헬멧	380
//	8	30	0	0	0	1	1	1	//베놈미스트갑옷	380
//	9	30	0	0	0	1	1	1	//베놈미스트바지	380
//	10	30	0	0	0	1	1	1	//베놈미스트장갑	380
//	11	30	0	0	0	1	1	1	//베놈미스트부츠	380
//	7	31	0	0	0	1	1	1	//실피드레이헬멧	380
//	8	31	0	0	0	1	1	1	//실피드레이갑옷	380
//	9	31	0	0	0	1	1	1	//실피드레이바지	380
//	10	31	0	0	0	1	1	1	//실피드레이장갑	380
//	11	31	0	0	0	1	1	1	//실피드레이부츠	380
//	7	33	0	0	0	1	1	1	//썬라이트마스크	380
//	8	33	0	0	0	1	1	1	//썬라이트갑옷	380
//	9	33	0	0	0	1	1	1	//썬라이트바지	380
//	10	33	0	0	0	1	1	1	//썬라이트장갑	380
//	11	33	0	0	0	1	1	1	//썬라이트부츠	380
//	7	43	0	0	0	1	1	1	//스톰블리츠헬멧	380
//	8	43	0	0	0	1	1	1	//스톰블리츠갑옷	380
//	9	43	0	0	0	1	1	1	//스톰블리츠바지	380
//	10	43	0	0	0	1	1	1	//스톰블리츠장갑	380
//	11	43	0	0	0	1	1	1	//스톰블리츠부츠	380
//	8	32	0	0	0	1	1	1	//볼케이노갑옷	380
//	9	32	0	0	0	1	1	1	//볼케이노바지	380
//	10	32	0	0	0	1	1	1	//볼케이노장갑	380
//	11	32	0	0	0	1	1	1	//볼케이노부츠	380
end										
//획득확률 : 5/1000000										
5										
//보석류 5EA										
	14	13	0	0	0	0	0	0	//축복의보석	
	14	14	0	0	0	0	0	0	//영혼의보석	
	14	16	0	0	0	0	0	0	//생명의보석	
	14	22	0	0	0	0	0	0	//창조의보석	
