//////////////////////////////////////////////////////////////////////////////////////							
// [스크립트 명]	EventMaterialBag						
// [ Start  ] 	2015-03-20						
// [ Latest ]	2015-12-10 11:41						
// [ Author ]	박혜진						
// [ Version ]	0.0.0.2						
// [ Text ]							
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트						
//////////////////////////////////////////////////////////////////////////////////////							
//							
//							
//이벤트 인덱스	몬스터 인덱스	몬스터레벨 최소	몬스터레벨 최대	아이템 타입	아이템 번호	아이템 레벨	확률 (1/1000000)
0	-1	30	74	12	32	0	10000
0	-1	75	99	12	33	0	6000
0	-1	100	200	12	34	0	2000
0	-1	-1	-1	13	41	0	10000
1	-1	12	69	14	32	0	1000
1	-1	70	100	14	33	0	1000
1	-1	101	137	14	34	0	1000
2	-1	12	69	14	32	1	12000
2	-1	70	100	14	33	1	12000
2	-1	101	148	14	34	1	12000
3	-1	-1	-1	14	51	0	2000
4	-1	-1	-1	14	63	0	10000
5	-1	-1	-1	14	12	1	10000
6	-1	-1	-1	14	11	6	500000
6	-1	-1	-1	14	11	5	500000
7	-1	-1	-1	14	45	0	50000
8	-1	-1	-1	14	84	0	80000
9	-1	-1	-1	14	100	0	0
11	-1	-1	-1	14	121	0	3000
11	-1	-1	-1	14	122	0	5000
12	-1	-1	-1	14	215	0	50000
12	-1	-1	-1	14	277	0	0
13	-1	-1	-1	14	210	0	20000
14	-1	-1	-1	14	278	0	70000
15	-1	-1	-1	14	20	1	0
16	-1	-1	-1	12	26	0	0
//17	-1	-1	-1	14	362	0	40000
//18	730	-1	-1	14	346	0	3000
//18	731	-1	-1	14	346	0	3000
//18	732	-1	-1	14	346	0	3000
//18	736	-1	-1	14	346	0	3000
//18	737	-1	-1	14	346	0	3000
//18	738	-1	-1	14	346	0	3000
18	743	-1	-1	14	346	0	3000
18	744	-1	-1	14	346	0	3000
18	745	-1	-1	14	346	0	3000
end							
							
							
							
							
							
