//////////////////////////////////////////////////////////////////////////////////////										
// Eventitembag72										
//	[ Start  ] 	2010.03.17								
//	[ Latest ]	2010-05-10 12:43 PM								
//	[ Author ]	이준희								
//	[ Version ]	0.0.0.6								
//	[ Text ]	레드 뮤 사냥터 확장 시 리뉴얼 몬스터 아이템 드랍_칸투르								
//	[ Desc ]	드랍 확률 조정								
//////////////////////////////////////////////////////////////////////////////////////										
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임										
//드롭가능맵 설정										
0										
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel						
	37	0	0	1000	//칸투르 폐허					
end										
										
//드롭젠 및 아이템드롭 확률										
//이벤트아이템 드롭 확률은 EventItemDropRate/1000										
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000										
1										
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate		
	"Kanturu_mutant_drop"	1200	0	0	0	0	100	1		
end										
										
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 										
// 확률값 내부에 확률 지정 카테고리 개수가 20개를 초과하면 안됨.										
// 젠 드롭 확률 : 1-(n/1000000) 의 확률										
// 2-3 카테고리 내 확률이 총합 n/1000000이 되어야함. (초과하면 안됨)										
2										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
//2009년 3월 12일 ~										
//획득확률 :2850/1000000										
2850										
//일반장비류										
	7	21	0	3	0	0	1	0	//	"그레이트드라곤투구"
	10	21	0	0	0	1	1	0	//	"그레이트드라곤장갑"
	10	22	0	0	0	1	1	0	//	"블랙소울장갑"
	10	24	0	0	0	1	1	0	//	"레드스피릿장갑"
	10	28	0	0	0	1	1	0	//	"다크마스터장갑"
	11	21	0	0	0	1	1	0	//	"그레이트드라곤부츠"
	11	22	0	0	0	1	1	0	//	"블랙소울부츠"
	11	24	0	0	0	1	1	0	//	"레드스피릿부츠"
	11	28	0	0	0	1	1	0	//	"다크마스터부츠"
end										
//획득확률 :850/1000000										
850										
//일반장비류										
	7	22	0	3	0	0	1	0	//	"블랙소울헬멧"
	7	24	0	3	0	0	1	0	//	"레드스피릿투구"
	7	28	0	3	0	0	1	0	//	"다크마스터마스크"
	9	21	0	3	0	0	1	0	//	"그레이트드라곤바지"
	9	22	0	3	0	0	1	0	//	"블랙소울바지"
	9	24	0	0	0	1	1	0	//	"레드스피릿바지"
	9	28	0	3	0	0	1	0	//	"다크마스터바지"
	8	21	0	3	0	0	1	0	//	"그레이트드라곤갑옷"
	8	22	0	3	0	0	1	0	//	"블랙소울갑옷"
	8	24	0	3	0	0	1	0	//	"레드스피릿갑옷"
	8	28	0	3	0	0	1	0	//	"다크마스터갑옷"
end										
//획득확률 :200/1000000										
200										
//일반장비류										
	4	19	0	3	1	1	1	0	//	"그레이트레인석궁"
	5	9	0	3	1	1	1	0	//	"드래곤소울지팡이"
	8	23	0	3	0	0	1	0	//	"아스릴갑옷"
	9	23	0	3	0	0	1	0	//	"아스릴바지"
	10	23	0	0	0	1	1	0	//	"아스릴장갑"
	11	23	0	0	0	1	1	0	//	"아스릴부츠"
end										
//획득확률 :1/1000000										
1										
//일반장비류										
	0	17	0	3	1	1	1	0	//	"다크브레이커"
	0	18	0	3	1	1	1	0	//	"선더블레이드"
	0	31	0	3	1	1	1	0	//	"데스브로드"
	0	20	0	3	1	1	1	0	//	"나이트블레이드"
	0	21	0	3	1	1	1	0	//	"데스블레이드"
	3	12	0	3	1	1	1	0	//	"그레이트로드셉터"
