/////////////////////////////////////////////////////////////////////////////////////////						
//						
//[Text Version]	0.0.0.0					
//[최종작업자]	사재일					
//[최종작업일]	2013-07-01 14:24					
//[작업 내용]	최초작성					
/////////////////////////////////////////////////////////////////////////////////////////						
						
// 환영의사원 NPCSetBase						
						
						
// 타입	맵번호	이동범위	시작X	시작Y	방향	
// 환영의사원 최강자전 #1						
658	45	0	169	85	0	// 저주받은 석상
659	45	0	136	101	0	// 점령석상(1)
660	45	0	151	119	0	// 점령석상(2)
661	45	0	150	88	0	// 점령석상(3)
662	45	0	165	102	0	// 점령석상(4)
663	45	0	173	67	0	// 점령석상(5)
664	45	0	187	81	0	// 점령석상(6)
665	45	0	187	51	0	// 점령석상(7)
666	45	0	203	67	0	// 점령석상(8)
667	45	0	133	121	0	// 점령석상(9)
668	45	0	206	48	0	// 점령석상(10)
						
658	46	0	169	85	0	// 저주받은 석상
659	46	0	136	101	0	// 점령석상(1)
660	46	0	151	119	0	// 점령석상(2)
661	46	0	150	88	0	// 점령석상(3)
662	46	0	165	102	0	// 점령석상(4)
663	46	0	173	67	0	// 점령석상(5)
664	46	0	187	81	0	// 점령석상(6)
665	46	0	187	51	0	// 점령석상(7)
666	46	0	203	67	0	// 점령석상(8)
667	46	0	133	121	0	// 점령석상(9)
668	46	0	206	48	0	// 점령석상(10)
						
658	47	0	169	85	0	// 저주받은 석상
659	47	0	136	101	0	// 점령석상(1)
660	47	0	151	119	0	// 점령석상(2)
661	47	0	150	88	0	// 점령석상(3)
662	47	0	165	102	0	// 점령석상(4)
663	47	0	173	67	0	// 점령석상(5)
664	47	0	187	81	0	// 점령석상(6)
665	47	0	187	51	0	// 점령석상(7)
666	47	0	203	67	0	// 점령석상(8)
667	47	0	133	121	0	// 점령석상(9)
668	47	0	206	48	0	// 점령석상(10)
						
658	48	0	169	85	0	// 저주받은 석상
659	48	0	136	101	0	// 점령석상(1)
660	48	0	151	119	0	// 점령석상(2)
661	48	0	150	88	0	// 점령석상(3)
662	48	0	165	102	0	// 점령석상(4)
663	48	0	173	67	0	// 점령석상(5)
664	48	0	187	81	0	// 점령석상(6)
665	48	0	187	51	0	// 점령석상(7)
666	48	0	203	67	0	// 점령석상(8)
667	48	0	133	121	0	// 점령석상(9)
668	48	0	206	48	0	// 점령석상(10)
						
658	49	0	169	85	0	// 저주받은 석상
659	49	0	136	101	0	// 점령석상(1)
660	49	0	151	119	0	// 점령석상(2)
661	49	0	150	88	0	// 점령석상(3)
662	49	0	165	102	0	// 점령석상(4)
663	49	0	173	67	0	// 점령석상(5)
664	49	0	187	81	0	// 점령석상(6)
665	49	0	187	51	0	// 점령석상(7)
666	49	0	203	67	0	// 점령석상(8)
667	49	0	133	121	0	// 점령석상(9)
668	49	0	206	48	0	// 점령석상(10)
end						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
