//////////////////////////////////////////////////////////////////////////////////////												
// [로랜시아]	EachMonsterBag0											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//거미												
3	-1	1	0	0	0	0	2	2	0	0	0	205740
3	-1	4	0	0	0	0	2	2	0	0	0	205740
3	-1	14	0	0	0	0	0	0	0	0	0	3145
3	-1	14	0	0	0	2	0	0	0	0	0	3145
//버지드래곤												
2	-1	1	0	0	0	0	2	2	0	0	0	41259
2	-1	4	0	0	0	0	2	2	0	0	0	41259
2	-1	4	8	0	0	0	2	2	0	0	0	41259
2	-1	0	1	0	0	0	2	2	0	0	0	41259
2	-1	1	1	0	0	0	2	2	0	0	0	41259
2	-1	6	0	0	0	0	2	2	0	0	0	41259
2	-1	10	2	0	0	0	0	2	0	0	0	41259
2	-1	11	2	0	0	0	0	2	0	0	0	41259
2	-1	10	5	0	0	0	0	2	0	0	0	41259
2	-1	10	10	0	0	0	0	2	0	0	0	41259
2	-1	14	0	0	0	0	0	0	0	0	0	2330
2	-1	14	0	0	0	2	0	0	0	0	0	2330
2	-1	14	10	0	0	0	0	0	0	0	0	20000
//소뿔전사 대장			6322									
4	-1	1	0	0	0	0	2	2	0	0	0	10523
4	-1	1	1	0	0	0	2	2	0	0	0	10523
4	-1	2	0	0	0	0	2	2	0	0	0	10523
4	-1	4	0	0	0	0	2	2	0	0	0	10523
4	-1	4	8	0	0	0	2	2	0	0	0	10523
4	-1	4	1	0	0	0	2	2	0	0	0	10523
4	-1	4	9	0	0	0	2	2	0	0	0	10523
4	-1	0	1	0	0	0	2	2	0	0	0	10523
4	-1	0	0	0	0	0	2	2	0	0	0	10523
4	-1	0	2	0	0	0	2	2	0	0	0	10523
4	-1	0	4	0	0	0	2	2	0	0	0	10523
4	-1	5	0	0	0	0	2	2	0	0	0	10523
4	-1	6	0	0	0	0	2	2	0	0	0	10523
4	-1	6	4	0	0	0	2	2	0	0	0	10523
4	-1	6	1	0	0	0	2	2	0	0	0	10523
4	-1	6	2	0	0	0	2	2	0	0	0	10523
4	-1	7	2	0	0	0	0	2	0	0	0	10523
4	-1	8	2	0	0	0	0	2	0	0	0	10523
4	-1	10	2	0	0	0	0	2	0	0	0	10523
4	-1	9	2	0	0	0	0	2	0	0	0	10523
4	-1	11	2	0	0	0	0	2	0	0	0	10523
4	-1	7	5	0	0	0	0	2	0	0	0	10523
4	-1	8	5	0	0	0	0	2	0	0	0	10523
4	-1	10	5	0	0	0	0	2	0	0	0	10523
4	-1	9	5	0	0	0	0	2	0	0	0	10523
4	-1	11	5	0	0	0	0	2	0	0	0	10523
4	-1	7	10	0	0	0	0	2	0	0	0	10523
4	-1	8	10	0	0	0	0	2	0	0	0	10523
4	-1	10	10	0	0	0	0	2	0	0	0	10523
4	-1	9	10	0	0	0	0	2	0	0	0	10523
4	-1	11	10	0	0	0	0	2	0	0	0	10523
4	-1	11	0	0	0	0	0	2	0	0	0	10523
4	-1	10	91	0	0	0	0	2	0	0	0	10523
4	-1	15	3	0	0	0	0	0	0	0	0	20000
4	-1	15	10	0	0	0	0	0	0	0	0	20000
4	-1	15	2	0	0	0	0	0	0	0	0	20000
4	-1	12	21	0	0	0	0	0	0	0	0	20000
4	-1	15	5	0	0	0	0	0	0	0	0	20000
4	-1	15	1	0	0	0	0	0	0	0	0	20000
4	-1	12	274	0	0	0	0	0	0	0	0	20000
4	-1	12	271	0	0	0	0	0	0	0	0	20000
4	-1	15	6	0	0	0	0	0	0	0	0	20000
4	-1	14	1	0	0	0	0	0	0	0	0	20000
4	-1	14	4	0	0	0	0	0	0	0	0	20000
4	-1	14	8	0	0	0	0	0	0	0	0	20000
4	-1	14	10	0	0	0	0	0	0	0	0	20000
//소뿔전사 대장 엑설런트												
4	-1	3	7	0	0	0	0	2	0	1	0	400
//하운드												
1	-1	1	0	0	0	0	2	2	0	0	0	15173
1	-1	1	1	0	0	0	2	2	0	0	0	15173
1	-1	2	0	0	0	0	2	2	0	0	0	15173
1	-1	4	0	0	0	0	2	2	0	0	0	15173
1	-1	4	8	0	0	0	2	2	0	0	0	15173
1	-1	4	1	0	0	0	2	2	0	0	0	15173
1	-1	0	1	0	0	0	2	2	0	0	0	15173
1	-1	0	0	0	0	0	2	2	0	0	0	15173
1	-1	0	2	0	0	0	2	2	0	0	0	15173
1	-1	5	0	0	0	0	2	2	0	0	0	15173
1	-1	6	0	0	0	0	2	2	0	0	0	15173
1	-1	6	4	0	0	0	2	2	0	0	0	15173
1	-1	6	1	0	0	0	2	2	0	0	0	15173
1	-1	7	2	0	0	0	0	2	0	0	0	15173
1	-1	10	2	0	0	0	0	2	0	0	0	15173
1	-1	9	2	0	0	0	0	2	0	0	0	15173
1	-1	11	2	0	0	0	0	2	0	0	0	15173
1	-1	7	5	0	0	0	0	2	0	0	0	15173
1	-1	10	5	0	0	0	0	2	0	0	0	15173
1	-1	9	5	0	0	0	0	2	0	0	0	15173
1	-1	11	5	0	0	0	0	2	0	0	0	15173
1	-1	7	10	0	0	0	0	2	0	0	0	15173
1	-1	10	10	0	0	0	0	2	0	0	0	15173
1	-1	9	10	0	0	0	0	2	0	0	0	15173
1	-1	11	10	0	0	0	0	2	0	0	0	15173
1	-1	15	3	0	0	0	0	0	0	0	0	20000
1	-1	15	10	0	0	0	0	0	0	0	0	20000
1	-1	15	2	0	0	0	0	0	0	0	0	20000
1	-1	12	21	0	0	0	0	0	0	0	0	20000
1	-1	15	5	0	0	0	0	0	0	0	0	20000
1	-1	15	1	0	0	0	0	0	0	0	0	20000
1	-1	12	274	0	0	0	0	0	0	0	0	20000
1	-1	12	271	0	0	0	0	0	0	0	0	20000
1	-1	15	6	0	0	0	0	0	0	0	0	20000
1	-1	14	1	0	0	0	0	0	0	0	0	20000
1	-1	14	4	0	0	0	0	0	0	0	0	20000
1	-1	14	8	0	0	0	0	0	0	0	0	20000
1	-1	14	10	0	0	0	0	0	0	0	0	20000
//하운드 엑설런트												
1	-1	0	4	0	0	0	0	2	0	1	0	400
//리치												
6	-1	1	0	0	0	0	2	2	0	0	0	7748
6	-1	1	1	0	0	0	2	2	0	0	0	7748
6	-1	1	2	0	0	0	2	2	0	0	0	7748
6	-1	2	0	0	0	0	2	2	0	0	0	7748
6	-1	2	1	0	0	0	2	2	0	0	0	7748
6	-1	4	0	0	0	0	2	2	0	0	0	7748
6	-1	4	8	0	0	0	2	2	0	0	0	7748
6	-1	4	1	0	0	0	2	2	0	0	0	7748
6	-1	4	9	0	0	0	2	2	0	0	0	7748
6	-1	0	1	0	0	0	2	2	0	0	0	7748
6	-1	0	0	0	0	0	2	2	0	0	0	7748
6	-1	0	2	0	0	0	2	2	0	0	0	7748
6	-1	0	4	0	0	0	2	2	0	0	0	7748
6	-1	3	5	0	0	0	2	2	0	0	0	7748
6	-1	5	0	0	0	0	2	2	0	0	0	7748
6	-1	6	0	0	0	0	2	2	0	0	0	7748
6	-1	6	4	0	0	0	2	2	0	0	0	7748
6	-1	6	1	0	0	0	2	2	0	0	0	7748
6	-1	6	2	0	0	0	2	2	0	0	0	7748
6	-1	6	29	0	0	0	2	2	0	0	0	7748
6	-1	7	2	0	0	0	0	2	0	0	0	7748
6	-1	8	2	0	0	0	0	2	0	0	0	7748
6	-1	10	2	0	0	0	0	2	0	0	0	7748
6	-1	9	2	0	0	0	0	2	0	0	0	7748
6	-1	11	2	0	0	0	0	2	0	0	0	7748
6	-1	7	5	0	0	0	0	2	0	0	0	7748
6	-1	8	5	0	0	0	0	2	0	0	0	7748
6	-1	10	5	0	0	0	0	2	0	0	0	7748
6	-1	9	5	0	0	0	0	2	0	0	0	7748
6	-1	11	5	0	0	0	0	2	0	0	0	7748
6	-1	7	10	0	0	0	0	2	0	0	0	7748
6	-1	8	10	0	0	0	0	2	0	0	0	7748
6	-1	10	10	0	0	0	0	2	0	0	0	7748
6	-1	9	10	0	0	0	0	2	0	0	0	7748
6	-1	11	10	0	0	0	0	2	0	0	0	7748
6	-1	10	0	0	0	0	0	2	0	0	0	7748
6	-1	11	0	0	0	0	0	2	0	0	0	7748
6	-1	10	91	0	0	0	0	2	0	0	0	7748
6	-1	11	91	0	0	0	0	2	0	0	0	7748
6	-1	10	4	0	0	0	0	2	0	0	0	7748
6	-1	10	11	0	0	0	0	2	0	0	0	7748
6	-1	13	13	0	0	0	0	0	2	0	0	7748
6	-1	15	3	0	0	0	0	0	0	0	0	20000
6	-1	15	10	0	0	0	0	0	0	0	0	20000
6	-1	15	2	0	0	0	0	0	0	0	0	20000
6	-1	12	21	0	0	0	0	0	0	0	0	20000
6	-1	15	5	0	0	0	0	0	0	0	0	20000
6	-1	15	1	0	0	0	0	0	0	0	0	20000
6	-1	12	274	0	0	0	0	0	0	0	0	20000
6	-1	12	271	0	0	0	0	0	0	0	0	20000
6	-1	15	6	0	0	0	0	0	0	0	0	20000
6	-1	14	1	0	0	0	0	0	0	0	0	20000
6	-1	14	4	0	0	0	0	0	0	0	0	20000
6	-1	14	8	0	0	0	0	0	0	0	0	20000
6	-1	14	10	0	0	0	0	0	0	0	0	20000
//리치 엑설런트												
6	-1	5	2	0	0	0	0	2	0	1	0	400
//자이언트												
7	-1	1	0	0	0	0	2	2	0	0	0	6170
7	-1	1	1	0	0	0	2	2	0	0	0	6170
7	-1	1	2	0	0	0	2	2	0	0	0	6170
7	-1	2	0	0	0	0	2	2	0	0	0	6170
7	-1	2	1	0	0	0	2	2	0	0	0	6170
7	-1	4	0	0	0	0	2	2	0	0	0	6170
7	-1	4	8	0	0	0	2	2	0	0	0	6170
7	-1	4	1	0	0	0	2	2	0	0	0	6170
7	-1	4	9	0	0	0	2	2	0	0	0	6170
7	-1	4	2	0	0	0	2	2	0	0	0	6170
7	-1	0	1	0	0	0	2	2	0	0	0	6170
7	-1	0	0	0	0	0	2	2	0	0	0	6170
7	-1	0	2	0	0	0	2	2	0	0	0	6170
7	-1	0	4	0	0	0	2	2	0	0	0	6170
7	-1	0	3	0	0	0	2	2	0	0	0	6170
7	-1	3	2	0	0	0	2	2	0	0	0	6170
7	-1	3	13	0	0	0	2	2	0	0	0	6170
7	-1	3	5	0	0	0	2	2	0	0	0	6170
7	-1	5	0	0	0	0	2	2	0	0	0	6170
7	-1	6	0	0	0	0	2	2	0	0	0	6170
7	-1	6	4	0	0	0	2	2	0	0	0	6170
7	-1	6	1	0	0	0	2	2	0	0	0	6170
7	-1	6	2	0	0	0	2	2	0	0	0	6170
7	-1	6	29	0	0	0	2	2	0	0	0	6170
7	-1	6	6	0	0	0	2	2	0	0	0	6170
7	-1	7	2	0	0	0	0	2	0	0	0	6170
7	-1	8	2	0	0	0	0	2	0	0	0	6170
7	-1	10	2	0	0	0	0	2	0	0	0	6170
7	-1	9	2	0	0	0	0	2	0	0	0	6170
7	-1	11	2	0	0	0	0	2	0	0	0	6170
7	-1	7	5	0	0	0	0	2	0	0	0	6170
