//////////////////////////////////////////////////////////////////////////////////////												
// [던전]	EachMonsterBag1											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//해골전사												
14	-1	1	1	0	0	0	2	2	0	0	0	5248
14	-1	1	2	0	0	0	2	2	0	0	0	5248
14	-1	1	3	0	0	0	2	2	0	0	0	5248
14	-1	2	0	0	0	0	2	2	0	0	0	5248
14	-1	2	1	0	0	0	2	2	0	0	0	5248
14	-1	4	0	0	0	0	2	2	0	0	0	5248
14	-1	4	8	0	0	0	2	2	0	0	0	5248
14	-1	4	1	0	0	0	2	2	0	0	0	5248
14	-1	4	9	0	0	0	2	2	0	0	0	5248
14	-1	4	2	0	0	0	2	2	0	0	0	5248
14	-1	0	1	0	0	0	2	2	0	0	0	5248
14	-1	0	0	0	0	0	2	2	0	0	0	5248
14	-1	0	2	0	0	0	2	2	0	0	0	5248
14	-1	0	4	0	0	0	2	2	0	0	0	5248
14	-1	0	3	0	0	0	2	2	0	0	0	5248
14	-1	3	2	0	0	0	2	2	0	0	0	5248
14	-1	3	13	0	0	0	2	2	0	0	0	5248
14	-1	3	5	0	0	0	2	2	0	0	0	5248
14	-1	3	6	0	0	0	2	2	0	0	0	5248
14	-1	5	0	0	0	0	2	2	0	0	0	5248
14	-1	5	1	0	0	0	2	2	0	0	0	5248
14	-1	6	0	0	0	0	2	2	0	0	0	5248
14	-1	6	4	0	0	0	2	2	0	0	0	5248
14	-1	6	1	0	0	0	2	2	0	0	0	5248
14	-1	6	2	0	0	0	2	2	0	0	0	5248
14	-1	6	29	0	0	0	2	2	0	0	0	5248
14	-1	6	6	0	0	0	2	2	0	0	0	5248
14	-1	6	10	0	0	0	2	2	0	0	0	5248
14	-1	7	2	0	0	0	0	2	0	0	0	5248
14	-1	8	2	0	0	0	0	2	0	0	0	5248
14	-1	10	2	0	0	0	0	2	0	0	0	5248
14	-1	9	2	0	0	0	0	2	0	0	0	5248
14	-1	11	2	0	0	0	0	2	0	0	0	5248
14	-1	7	5	0	0	0	0	2	0	0	0	5248
14	-1	8	5	0	0	0	0	2	0	0	0	5248
14	-1	10	5	0	0	0	0	2	0	0	0	5248
14	-1	9	5	0	0	0	0	2	0	0	0	5248
14	-1	11	5	0	0	0	0	2	0	0	0	5248
14	-1	7	10	0	0	0	0	2	0	0	0	5248
14	-1	8	10	0	0	0	0	2	0	0	0	5248
14	-1	10	10	0	0	0	0	2	0	0	0	5248
14	-1	9	10	0	0	0	0	2	0	0	0	5248
14	-1	11	10	0	0	0	0	2	0	0	0	5248
14	-1	7	0	0	0	0	0	2	0	0	0	5248
14	-1	8	0	0	0	0	0	2	0	0	0	5248
14	-1	10	0	0	0	0	0	2	0	0	0	5248
14	-1	9	0	0	0	0	0	2	0	0	0	5248
14	-1	11	0	0	0	0	0	2	0	0	0	5248
14	-1	10	91	0	0	0	0	2	0	0	0	5248
14	-1	11	91	0	0	0	0	2	0	0	0	5248
14	-1	7	4	0	0	0	0	2	0	0	0	5248
14	-1	10	4	0	0	0	0	2	0	0	0	5248
14	-1	11	4	0	0	0	0	2	0	0	0	5248
14	-1	7	11	0	0	0	0	2	0	0	0	5248
14	-1	10	11	0	0	0	0	2	0	0	0	5248
14	-1	9	11	0	0	0	0	2	0	0	0	5248
14	-1	11	11	0	0	0	0	2	0	0	0	5248
14	-1	13	13	0	0	0	0	0	2	0	0	5248
14	-1	13	9	0	0	0	0	0	2	0	0	5248
14	-1	15	0	0	0	0	0	0	0	0	0	5000
14	-1	15	20	0	0	0	0	0	0	0	0	5000
14	-1	12	272	0	0	0	0	0	0	0	0	5000
14	-1	15	4	0	0	0	0	0	0	0	0	5000
14	-1	12	13	0	0	0	0	0	0	0	0	5000
14	-1	12	35	0	0	0	0	0	0	0	0	5000
14	-1	15	7	0	0	0	0	0	0	0	0	5000
14	-1	15	24	0	0	0	0	0	0	0	0	5000
14	-1	15	8	0	0	0	0	0	0	0	0	5000
14	-1	15	19	0	0	0	0	0	0	0	0	5000
14	-1	15	9	0	0	0	0	0	0	0	0	5000
14	-1	12	276	0	0	0	0	0	0	0	0	5000
14	-1	12	23	0	0	0	0	0	0	0	0	5000
14	-1	15	36	0	0	0	0	0	0	0	0	5000
14	-1	15	11	0	0	0	0	0	0	0	0	5000
14	-1	12	24	0	0	0	0	0	0	0	0	5000
14	-1	15	22	0	0	0	0	0	0	0	0	5000
14	-1	15	15	0	0	0	0	0	0	0	0	5000
14	-1	12	22	0	0	0	0	0	0	0	0	5000
14	-1	12	7	0	0	0	0	0	0	0	0	5000
14	-1	12	16	0	0	0	0	0	0	0	0	5000
14	-1	12	273	0	0	0	0	0	0	0	0	5000
14	-1	15	12	0	0	0	0	0	0	0	0	5000
14	-1	15	35	0	0	0	0	0	0	0	0	5000
14	-1	14	1	0	0	0	0	0	0	0	0	20000
14	-1	14	4	0	0	0	0	0	0	0	0	20000
14	-1	14	8	0	0	0	0	0	0	0	0	20000
14	-1	14	10	0	0	0	0	0	0	0	0	20000
14	-1	13	1	0	0	0	0	0	0	0	0	20000
14	-1	13	0	0	0	0	0	0	0	0	0	20000
14	-1	13	2	0	0	0	0	0	0	0	0	20000
//해골전사 엑설런트												
14	-1	0	6	0	0	0	0	2	0	1	0	200
14	-1	6	4	0	0	0	0	2	0	1	0	200
//유충												
12	-1	1	2	0	0	0	2	2	0	0	0	4032
12	-1	1	3	0	0	0	2	2	0	0	0	4032
12	-1	2	0	0	0	0	2	2	0	0	0	4032
12	-1	2	1	0	0	0	2	2	0	0	0	4032
12	-1	2	2	0	0	0	2	2	0	0	0	4032
12	-1	4	1	0	0	0	2	2	0	0	0	4032
12	-1	4	9	0	0	0	2	2	0	0	0	4032
12	-1	4	2	0	0	0	2	2	0	0	0	4032
12	-1	4	10	0	0	0	2	2	0	0	0	4032
12	-1	0	2	0	0	0	2	2	0	0	0	4032
12	-1	0	4	0	0	0	2	2	0	0	0	4032
12	-1	0	3	0	0	0	2	2	0	0	0	4032
12	-1	0	6	0	0	0	2	2	0	0	0	4032
12	-1	0	7	0	0	0	2	2	0	0	0	4032
12	-1	3	2	0	0	0	2	2	0	0	0	4032
