//////////////////////////////////////////////////////////////////////////////////////													
// [이카루스]	EachMonsterBag10												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//*이카루스에서만 로크의깃털이 드롭됨	몬스터 속성												
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//알카모스 75													180
69	-1	2	4	0	0	0	2	2	0	0	0	636	//크리스탈모닝스타
69	-1	4	13	0	0	0	2	2	0	0	0	636	//블루윙석궁
69	-1	4	14	0	0	0	2	2	0	0	0	636	//아쿠아골드석궁
69	-1	0	14	0	0	0	2	2	0	0	0	636	//번개검
69	-1	2	5	0	0	0	2	2	0	0	0	636	//크리스탈검
69	-1	3	14	0	0	0	2	2	0	0	0	636	//콘모시온랜스
69	-1	3	18	0	0	0	2	2	0	0	0	636	//알라크란랜스
69	-1	3	9	0	0	0	2	2	0	0	0	636	//발록의낫
69	-1	5	5	0	0	0	2	2	0	0	0	636	//전설의지팡이
69	-1	5	6	0	0	0	2	2	0	0	0	636	//부활의지팡이
69	-1	5	16	0	0	0	2	2	0	0	0	636	//레드윙스틱
69	-1	5	22	0	0	0	2	2	0	0	0	636	//닐의서
69	-1	5	23	0	0	0	2	2	0	0	0	636	//라글의서
69	-1	2	9	0	0	0	2	2	0	0	0	636	//마스터셉터
69	-1	6	13	0	0	0	2	2	0	0	0	636	//드라곤방패
69	-1	6	16	0	0	0	2	2	0	0	0	636	//엘리멘탈방패
69	-1	6	21	0	0	0	2	2	0	0	0	636	//크로스실드
69	-1	6	30	0	0	0	2	2	0	0	0	636	//플루마실드
69	-1	6	15	0	0	0	2	2	0	0	0	636	//그랜드소울방패
69	-1	6	32	0	0	0	2	2	0	0	0	636	//비스실드
69	-1	8	92	0	0	0	0	2	0	0	0	636	//그루힐갑옷
69	-1	8	25	0	0	0	0	2	0	0	0	636	//라운드갑옷
69	-1	8	14	0	0	0	0	2	0	0	0	636	//수호갑옷
69	-1	8	59	0	0	0	0	2	0	0	0	636	//세크리드파이어갑옷
69	-1	9	59	0	0	0	0	2	0	0	0	636	//세크리드파이어바지
69	-1	7	1	0	0	0	0	2	0	0	0	636	//드라곤투구
69	-1	8	1	0	0	0	0	2	0	0	0	636	//드라곤갑옷
69	-1	7	26	0	0	0	0	2	0	0	0	636	//다크소울마스크
69	-1	10	26	0	0	0	0	2	0	0	0	636	//다크소울장갑
69	-1	9	26	0	0	0	0	2	0	0	0	636	//다크소울바지
69	-1	11	26	0	0	0	0	2	0	0	0	636	//다크소울부츠
69	-1	10	93	0	0	0	0	2	0	0	0	636	//프린시장갑
69	-1	9	93	0	0	0	0	2	0	0	0	636	//프린시바지
69	-1	11	93	0	0	0	0	2	0	0	0	636	//프린시부츠
69	-1	7	34	0	0	0	0	2	0	0	0	636	//애쉬크로우헬멧
69	-1	8	34	0	0	0	0	2	0	0	0	636	//애쉬크로우갑옷
69	-1	10	34	0	0	0	0	2	0	0	0	636	//애쉬크로우장갑
69	-1	9	34	0	0	0	0	2	0	0	0	636	//애쉬크로우바지
69	-1	11	34	0	0	0	0	2	0	0	0	636	//애쉬크로우부츠
69	-1	7	35	0	0	0	0	2	0	0	0	636	//이클립스헬멧
69	-1	8	35	0	0	0	0	2	0	0	0	636	//이클립스갑옷
69	-1	10	35	0	0	0	0	2	0	0	0	636	//이클립스장갑
69	-1	9	35	0	0	0	0	2	0	0	0	636	//이클립스바지
