//////////////////////////////////////////////////////////////////////////////////////												
// [나르스]	EachMonsterBag110											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//나르스 데블 페어리 116												
713	-1	4	19	0	0	0	2	2	0	0	0	3420
713	-1	4	22	0	0	0	2	2	0	0	0	3420
713	-1	0	31	0	0	0	2	2	0	0	0	3420
713	-1	0	17	0	0	0	2	2	0	0	0	3420
713	-1	0	18	0	0	0	2	2	0	0	0	3420
713	-1	0	24	0	0	0	2	2	0	0	0	3420
713	-1	0	25	0	0	0	2	2	0	0	0	3420
713	-1	0	34	0	0	0	2	2	0	0	0	3420
713	-1	5	9	0	0	0	2	2	0	0	0	3420
713	-1	5	13	0	0	0	2	2	0	0	0	3420
713	-1	5	18	0	0	0	2	2	0	0	0	3420
713	-1	2	11	0	0	0	2	2	0	0	0	3420
713	-1	2	15	0	0	0	2	2	0	0	0	3420
713	-1	8	17	0	0	0	0	2	0	0	0	3420
713	-1	8	38	0	0	0	0	2	0	0	0	3420
713	-1	9	38	0	0	0	0	2	0	0	0	3420
713	-1	11	38	0	0	0	0	2	0	0	0	3420
713	-1	7	21	0	0	0	0	2	0	0	0	3420
713	-1	9	21	0	0	0	0	2	0	0	0	3420
713	-1	11	21	0	0	0	0	2	0	0	0	3420
713	-1	8	37	0	0	0	0	2	0	0	0	3420
713	-1	9	37	0	0	0	0	2	0	0	0	3420
713	-1	11	37	0	0	0	0	2	0	0	0	3420
713	-1	8	20	0	0	0	0	2	0	0	0	3420
713	-1	9	20	0	0	0	0	2	0	0	0	3420
713	-1	8	24	0	0	0	0	2	0	0	0	3420
713	-1	9	24	0	0	0	0	2	0	0	0	3420
713	-1	8	61	0	0	0	0	2	0	0	0	3420
713	-1	8	94	0	0	0	0	2	0	0	0	3420
713	-1	8	95	0	0	0	0	2	0	0	0	3420
713	-1	10	23	0	0	0	0	2	0	0	0	3420
713	-1	11	23	0	0	0	0	2	0	0	0	3420
713	-1	7	28	0	0	0	0	2	0	0	0	3420
713	-1	9	28	0	0	0	0	2	0	0	0	3420
713	-1	7	22	0	0	0	0	2	0	0	0	3420
//속성 아이템												
713	-1	12	203	0	0	0	0	0	0	0	1	100
713	-1	12	217	0	0	0	0	0	0	0	1	100
713	-1	12	205	0	0	0	0	0	0	0	1	100
713	-1	12	207	0	0	0	0	0	0	0	1	100
713	-1	12	144	0	0	0	0	0	0	0	1	1200
//나르스 데블 페어리 엑설런트												
