//////////////////////////////////////////////////////////////////////////////////////												
// [其府酒]	EachMonsterBag112											
// [ Start  ] 	2015-09-25											
// [ Latest ]	2015-09-25 14:46											
// [ Author ]	荤犁老											
// [ Version ]	0.0.0.1											
// [ Text ]	其府酒 靛而 酒捞袍 汲沥											
// [ Desc ]	甘俊 免泅窍绰 阁胶磐 喊肺 靛酚窍绰 酒捞袍 府胶飘甫 累己窍绰 胶农赋飘											
//////////////////////////////////////////////////////////////////////////////////////												
//												
//荤成 付府 荐	32400											
//												
//阁胶磐 牢郸胶	阁胶磐 加己	酒捞袍 鸥涝	酒捞袍 牢郸胶	弥家饭骇	弥措饭骇	俺荐	胶懦	青款	眠啊可记	竣汲繁飘 	加己 酒捞袍	犬伏 (1/1000000)
//730		其府酒 唱捞飘(闭屈)										
730	-1	4	19	0	0	0	2	2	0	0	0	3420
730	-1	4	22	0	0	0	2	2	0	0	0	3420
730	-1	0	31	0	0	0	2	2	0	0	0	3420
730	-1	0	17	0	0	0	2	2	0	0	0	3420
730	-1	0	18	0	0	0	2	2	0	0	0	3420
730	-1	0	24	0	0	0	2	2	0	0	0	3420
730	-1	0	25	0	0	0	2	2	0	0	0	3420
730	-1	0	34	0	0	0	2	2	0	0	0	3420
730	-1	5	9	0	0	0	2	2	0	0	0	3420
730	-1	5	13	0	0	0	2	2	0	0	0	3420
730	-1	5	18	0	0	0	2	2	0	0	0	3420
730	-1	2	11	0	0	0	2	2	0	0	0	3420
730	-1	2	15	0	0	0	2	2	0	0	0	3420
730	-1	8	17	0	0	0	0	2	0	0	0	3420
730	-1	8	38	0	0	0	0	2	0	0	0	3420
730	-1	9	38	0	0	0	0	2	0	0	0	3420
730	-1	11	38	0	0	0	0	2	0	0	0	3420
730	-1	7	21	0	0	0	0	2	0	0	0	3420
730	-1	9	21	0	0	0	0	2	0	0	0	3420
730	-1	11	21	0	0	0	0	2	0	0	0	3420
730	-1	8	37	0	0	0	0	2	0	0	0	3420
730	-1	9	37	0	0	0	0	2	0	0	0	3420
730	-1	11	37	0	0	0	0	2	0	0	0	3420
730	-1	8	20	0	0	0	0	2	0	0	0	3420
730	-1	9	20	0	0	0	0	2	0	0	0	3420
730	-1	8	24	0	0	0	0	2	0	0	0	3420
730	-1	9	24	0	0	0	0	2	0	0	0	3420
730	-1	8	61	0	0	0	0	2	0	0	0	3420
730	-1	8	94	0	0	0	0	2	0	0	0	3420
730	-1	8	95	0	0	0	0	2	0	0	0	3420
730	-1	10	23	0	0	0	0	2	0	0	0	3420
730	-1	11	23	0	0	0	0	2	0	0	0	3420
730	-1	7	28	0	0	0	0	2	0	0	0	3420
730	-1	9	28	0	0	0	0	2	0	0	0	3420
730	-1	7	22	0	0	0	0	2	0	0	0	3420
//加己 酒捞袍												
730	-1	12	203	0	0	0	0	0	0	0	1	100
730	-1	12	217	0	0	0	0	0	0	0	1	100
730	-1	12	205	0	0	0	0	0	0	0	1	100
730	-1	12	207	0	0	0	0	0	0	0	1	100
730	-1	12	144	0	0	0	0	0	0	0	1	1200
//唱福胶 单喉 其绢府 竣汲繁飘												
730	-1	2	7	0	0	0	0	2	0	1	0	1
730	-1	4	16	0	0	0	0	2	0	1	0	1
730	-1	0	16	0	0	0	0	2	0	1	0	1
730	-1	0	33	0	0	0	0	2	0	1	0	1
730	-1	3	15	0	0	0	0	2	0	1	0	1
730	-1	3	16	0	0	0	0	2	0	1	0	1
730	-1	5	8	0	0	0	0	2	0	1	0	1
730	-1	5	17	0	0	0	0	2	0	1	0	1
730	-1	2	10	0	0	0	0	2	0	1	0	1
730	-1	6	15	0	0	0	0	2	0	1	0	1
730	-1	6	32	0	0	0	0	2	0	1	0	1
730	-1	8	26	0	0	0	0	2	0	1	0	1
730	-1	8	93	0	0	0	0	2	0	1	0	1
730	-1	9	93	0	0	0	0	2	0	1	0	1
730	-1	8	34	0	0	0	0	2	0	1	0	1
730	-1	8	35	0	0	0	0	2	0	1	0	1
730	-1	8	36	0	0	0	0	2	0	1	0	1
730	-1	8	41	0	0	0	0	2	0	1	0	1
730	-1	8	60	0	0	0	0	2	0	1	0	1
730	-1	9	60	0	0	0	0	2	0	1	0	1
730	-1	8	15	0	0	0	0	2	0	1	0	1
730	-1	9	15	0	0	0	0	2	0	1	0	1
730	-1	7	18	0	0	0	0	2	0	1	0	1
730	-1	8	18	0	0	0	0	2	0	1	0	1
730	-1	9	18	0	0	0	0	2	0	1	0	1
730	-1	11	18	0	0	0	0	2	0	1	0	1
730	-1	7	42	0	0	0	0	2	0	1	0	1
730	-1	8	42	0	0	0	0	2	0	1	0	1
730	-1	9	42	0	0	0	0	2	0	1	0	1
730	-1	11	42	0	0	0	0	2	0	1	0	1
730	-1	7	19	0	0	0	0	2	0	1	0	1
730	-1	9	19	0	0	0	0	2	0	1	0	1
730	-1	7	27	0	0	0	0	2	0	1	0	1
730	-1	10	27	0	0	0	0	2	0	1	0	1
730	-1	11	27	0	0	0	0	2	0	1	0	1
730	-1	7	16	0	0	0	0	2	0	1	0	1
730	-1	8	16	0	0	0	0	2	0	1	0	1
730	-1	10	16	0	0	0	0	2	0	1	0	1
730	-1	9	16	0	0	0	0	2	0	1	0	1
730	-1	11	16	0	0	0	0	2	0	1	0	1
730	-1	7	94	0	0	0	0	2	0	1	0	1
730	-1	10	94	0	0	0	0	2	0	1	0	1
730	-1	11	94	0	0	0	0	2	0	1	0	1
730	-1	7	95	0	0	0	0	2	0	1	0	1
730	-1	10	95	0	0	0	0	2	0	1	0	1
730	-1	11	95	0	0	0	0	2	0	1	0	1
730	-1	7	61	0	0	0	0	2	0	1	0	1
730	-1	11	61	0	0	0	0	2	0	1	0	1
730	-1	10	17	0	0	0	0	2	0	1	0	1
730	-1	10	22	0	0	0	0	2	0	1	0	1
730	-1	10	20	0	0	0	0	2	0	1	0	1
730	-1	10	28	0	0	0	0	2	0	1	0	1
730	-1	10	37	0	0	0	0	2	0	1	0	1
730	-1	10	38	0	0	0	0	2	0	1	0	1
730	-1	10	24	0	0	0	0	2	0	1	0	1
730	-1	11	24	0	0	0	0	2	0	1	0	1
//		何明										
//		促农浚俩何明 (公可记)										
730	-1	11	138	0	0	0	0	0	0	1	0	1
730	-1	11	139	0	0	0	0	0	0	1	0	1
730	-1	11	140	0	0	0	0	0	0	1	0	1
730	-1	11	141	0	0	0	0	0	0	1	0	1
730	-1	11	142	0	0	0	0	0	0	1	0	1
730	-1	11	143	0	0	0	0	0	0	1	0	1
730	-1	11	144	0	0	0	0	0	0	1	0	1
730	-1	11	145	0	0	0	0	0	0	1	0	1
//		促农浚俩何明 (可记)										
730	-1	11	138	0	0	0	0	0	1	1	0	1
730	-1	11	139	0	0	0	0	0	1	1	0	1
730	-1	11	140	0	0	0	0	0	1	1	0	1
730	-1	11	141	0	0	0	0	0	1	1	0	1
730	-1	11	142	0	0	0	0	0	1	1	0	1
730	-1	11	143	0	0	0	0	0	1	1	0	1
730	-1	11	144	0	0	0	0	0	1	1	0	1
730	-1	11	145	0	0	0	0	0	1	1	0	1
//		促农浚俩何明 (公可记/青款)										
730	-1	11	138	0	0	0	0	1	0	1	0	1
730	-1	11	139	0	0	0	0	1	0	1	0	1
730	-1	11	140	0	0	0	0	1	0	1	0	1
730	-1	11	141	0	0	0	0	1	0	1	0	1
730	-1	11	142	0	0	0	0	1	0	1	0	1
730	-1	11	143	0	0	0	0	1	0	1	0	1
730	-1	11	144	0	0	0	0	1	0	1	0	1
730	-1	11	145	0	0	0	0	1	0	1	0	1
//		促农浚俩何明 (可记/青款)										
730	-1	11	138	0	0	0	0	1	1	1	0	1
730	-1	11	139	0	0	0	0	1	1	1	0	1
730	-1	11	140	0	0	0	0	1	1	1	0	1
730	-1	11	141	0	0	0	0	1	1	1	0	1
730	-1	11	142	0	0	0	0	1	1	1	0	1
730	-1	11	143	0	0	0	0	1	1	1	0	1
730	-1	11	144	0	0	0	0	1	1	1	0	1
730	-1	11	145	0	0	0	0	1	1	1	0	1
//		厘癌										
//		促农浚俩厘癌 (公可记)										
730	-1	10	138	0	0	0	0	0	0	1	0	1
730	-1	10	139	0	0	0	0	0	0	1	0	1
730	-1	10	140	0	0	0	0	0	0	1	0	1
730	-1	10	141	0	0	0	0	0	0	1	0	1
730	-1	10	142	0	0	0	0	0	0	1	0	1
730	-1	10	143	0	0	0	0	0	0	1	0	1
//730	-1	10	144	0	0	0	0	0	0	1	0	1
730	-1	10	145	0	0	0	0	0	0	1	0	1
//		促农浚俩厘癌 (可记)										
730	-1	10	138	0	0	0	0	0	1	1	0	1
730	-1	10	139	0	0	0	0	0	1	1	0	1
730	-1	10	140	0	0	0	0	0	1	1	0	1
730	-1	10	141	0	0	0	0	0	1	1	0	1
730	-1	10	142	0	0	0	0	0	1	1	0	1
730	-1	10	143	0	0	0	0	0	1	1	0	1
//730	-1	10	144	0	0	0	0	0	1	1	0	1
730	-1	10	145	0	0	0	0	0	1	1	0	1
//		促农浚俩厘癌 (公可记/青款)										
730	-1	10	138	0	0	0	0	1	0	1	0	1
730	-1	10	139	0	0	0	0	1	0	1	0	1
730	-1	10	140	0	0	0	0	1	0	1	0	1
730	-1	10	141	0	0	0	0	1	0	1	0	1
730	-1	10	142	0	0	0	0	1	0	1	0	1
730	-1	10	143	0	0	0	0	1	0	1	0	1
//730	-1	10	144	0	0	0	0	1	0	1	0	1
730	-1	10	145	0	0	0	0	1	0	1	0	1
//		促农浚俩厘癌 (可记/青款)										
730	-1	10	138	0	0	0	0	1	1	1	0	1
730	-1	10	139	0	0	0	0	1	1	1	0	1
730	-1	10	140	0	0	0	0	1	1	1	0	1
730	-1	10	141	0	0	0	0	1	1	1	0	1
730	-1	10	142	0	0	0	0	1	1	1	0	1
730	-1	10	143	0	0	0	0	1	1	1	0	1
//730	-1	10	144	0	0	0	0	1	1	1	0	1
730	-1	10	145	0	0	0	0	1	1	1	0	1
//		捧备										
//		促农浚俩捧备 (公可记)										
730	-1	7	138	0	0	0	0	0	0	1	0	1
730	-1	7	139	0	0	0	0	0	0	1	0	1
730	-1	7	140	0	0	0	0	0	0	1	0	1
730	-1	7	141	0	0	0	0	0	0	1	0	1
//730	-1	7	142	0	0	0	0	0	0	1	0	1
730	-1	7	143	0	0	0	0	0	0	1	0	1
730	-1	7	144	0	0	0	0	0	0	1	0	1
730	-1	7	145	0	0	0	0	0	0	1	0	1
//		促农浚俩捧备 (可记)										
730	-1	7	138	0	0	0	0	0	1	1	0	1
730	-1	7	139	0	0	0	0	0	1	1	0	1
730	-1	7	140	0	0	0	0	0	1	1	0	1
730	-1	7	141	0	0	0	0	0	1	1	0	1
//730	-1	7	142	0	0	0	0	0	1	1	0	1
730	-1	7	143	0	0	0	0	0	1	1	0	1
730	-1	7	144	0	0	0	0	0	1	1	0	1
730	-1	7	145	0	0	0	0	0	1	1	0	1
//		促农浚俩捧备 (公可记/青款)										
730	-1	7	138	0	0	0	0	1	0	1	0	1
730	-1	7	139	0	0	0	0	1	0	1	0	1
730	-1	7	140	0	0	0	0	1	0	1	0	1
730	-1	7	141	0	0	0	0	1	0	1	0	1
//730	-1	7	142	0	0	0	0	1	0	1	0	1
730	-1	7	143	0	0	0	0	1	0	1	0	1
730	-1	7	144	0	0	0	0	1	0	1	0	1
730	-1	7	145	0	0	0	0	1	0	1	0	1
//		促农浚俩捧备 (可记/青款)										
730	-1	7	138	0	0	0	0	1	1	1	0	1
730	-1	7	139	0	0	0	0	1	1	1	0	1
730	-1	7	140	0	0	0	0	1	1	1	0	1
730	-1	7	141	0	0	0	0	1	1	1	0	1
//730	-1	7	142	0	0	0	0	1	1	1	0	1
730	-1	7	143	0	0	0	0	1	1	1	0	1
730	-1	7	144	0	0	0	0	1	1	1	0	1
730	-1	7	145	0	0	0	0	1	1	1	0	1
//		官瘤										
//		促农浚俩官瘤 (公可记)										
730	-1	9	138	0	0	0	0	0	0	1	0	1
730	-1	9	139	0	0	0	0	0	0	1	0	1
730	-1	9	140	0	0	0	0	0	0	1	0	1
730	-1	9	141	0	0	0	0	0	0	1	0	1
730	-1	9	142	0	0	0	0	0	0	1	0	1
730	-1	9	143	0	0	0	0	0	0	1	0	1
730	-1	9	144	0	0	0	0	0	0	1	0	1
730	-1	9	145	0	0	0	0	0	0	1	0	1
//		促农浚俩官瘤 (可记)										
730	-1	9	138	0	0	0	0	0	1	1	0	1
730	-1	9	139	0	0	0	0	0	1	1	0	1
730	-1	9	140	0	0	0	0	0	1	1	0	1
730	-1	9	141	0	0	0	0	0	1	1	0	1
730	-1	9	142	0	0	0	0	0	1	1	0	1
730	-1	9	143	0	0	0	0	0	1	1	0	1
730	-1	9	144	0	0	0	0	0	1	1	0	1
730	-1	9	145	0	0	0	0	0	1	1	0	1
//		促农浚俩官瘤 (公可记/青款)										
730	-1	9	138	0	0	0	0	1	0	1	0	1
730	-1	9	139	0	0	0	0	1	0	1	0	1
730	-1	9	140	0	0	0	0	1	0	1	0	1
730	-1	9	141	0	0	0	0	1	0	1	0	1
730	-1	9	142	0	0	0	0	1	0	1	0	1
730	-1	9	143	0	0	0	0	1	0	1	0	1
730	-1	9	144	0	0	0	0	1	0	1	0	1
730	-1	9	145	0	0	0	0	1	0	1	0	1
//		促农浚俩官瘤 (可记/青款)										
730	-1	9	138	0	0	0	0	1	1	1	0	1
730	-1	9	139	0	0	0	0	1	1	1	0	1
730	-1	9	140	0	0	0	0	1	1	1	0	1
730	-1	9	141	0	0	0	0	1	1	1	0	1
730	-1	9	142	0	0	0	0	1	1	1	0	1
730	-1	9	143	0	0	0	0	1	1	1	0	1
730	-1	9	144	0	0	0	0	1	1	1	0	1
730	-1	9	145	0	0	0	0	1	1	1	0	1
//		癌渴										
//		促农浚俩癌渴 (公可记)										
730	-1	8	138	0	0	0	0	0	0	1	0	1
730	-1	8	139	0	0	0	0	0	0	1	0	1
730	-1	8	140	0	0	0	0	0	0	1	0	1
730	-1	8	141	0	0	0	0	0	0	1	0	1
730	-1	8	142	0	0	0	0	0	0	1	0	1
730	-1	8	143	0	0	0	0	0	0	1	0	1
730	-1	8	144	0	0	0	0	0	0	1	0	1
730	-1	8	145	0	0	0	0	0	0	1	0	1
//		促农浚俩癌渴 (可记)										
730	-1	8	138	0	0	0	0	0	1	1	0	1
730	-1	8	139	0	0	0	0	0	1	1	0	1
730	-1	8	140	0	0	0	0	0	1	1	0	1
730	-1	8	141	0	0	0	0	0	1	1	0	1
730	-1	8	142	0	0	0	0	0	1	1	0	1
730	-1	8	143	0	0	0	0	0	1	1	0	1
730	-1	8	144	0	0	0	0	0	1	1	0	1
730	-1	8	145	0	0	0	0	0	1	1	0	1
//		促农浚俩癌渴 (公可记/青款)										
730	-1	8	138	0	0	0	0	1	0	1	0	1
730	-1	8	139	0	0	0	0	1	0	1	0	1
730	-1	8	140	0	0	0	0	1	0	1	0	1
730	-1	8	141	0	0	0	0	1	0	1	0	1
730	-1	8	142	0	0	0	0	1	0	1	0	1
730	-1	8	143	0	0	0	0	1	0	1	0	1
730	-1	8	144	0	0	0	0	1	0	1	0	1
730	-1	8	145	0	0	0	0	1	0	1	0	1
//		促农浚俩癌渴 (可记/青款)										
730	-1	8	138	0	0	0	0	1	1	1	0	1
730	-1	8	139	0	0	0	0	1	1	1	0	1
730	-1	8	140	0	0	0	0	1	1	1	0	1
730	-1	8	141	0	0	0	0	1	1	1	0	1
730	-1	8	142	0	0	0	0	1	1	1	0	1
730	-1	8	143	0	0	0	0	1	1	1	0	1
730	-1	8	144	0	0	0	0	1	1	1	0	1
730	-1	8	145	0	0	0	0	1	1	1	0	1
//731		其府酒 酒媚(闭屈)										
731	-1	4	19	0	0	0	2	2	0	0	0	3773
731	-1	4	22	0	0	0	2	2	0	0	0	3773
731	-1	0	31	0	0	0	2	2	0	0	0	3773
731	-1	0	17	0	0	0	2	2	0	0	0	3773
731	-1	0	18	0	0	0	2	2	0	0	0	3773
731	-1	0	24	0	0	0	2	2	0	0	0	3773
731	-1	0	25	0	0	0	2	2	0	0	0	3773
731	-1	0	34	0	0	0	2	2	0	0	0	3773
731	-1	5	9	0	0	0	2	2	0	0	0	3773
731	-1	5	13	0	0	0	2	2	0	0	0	3773
731	-1	5	18	0	0	0	2	2	0	0	0	3773
731	-1	2	15	0	0	0	2	2	0	0	0	3773
731	-1	8	17	0	0	0	0	2	0	0	0	3773
731	-1	8	38	0	0	0	0	2	0	0	0	3773
731	-1	9	38	0	0	0	0	2	0	0	0	3773
731	-1	7	21	0	0	0	0	2	0	0	0	3773
731	-1	9	21	0	0	0	0	2	0	0	0	3773
731	-1	8	37	0	0	0	0	2	0	0	0	3773
731	-1	9	37	0	0	0	0	2	0	0	0	3773
731	-1	8	20	0	0	0	0	2	0	0	0	3773
731	-1	8	24	0	0	0	0	2	0	0	0	3773
731	-1	9	24	0	0	0	0	2	0	0	0	3773
731	-1	8	61	0	0	0	0	2	0	0	0	3773
731	-1	8	94	0	0	0	0	2	0	0	0	3773
731	-1	8	95	0	0	0	0	2	0	0	0	3773
731	-1	10	23	0	0	0	0	2	0	0	0	3773
731	-1	11	23	0	0	0	0	2	0	0	0	3773
731	-1	7	28	0	0	0	0	2	0	0	0	3773
731	-1	8	28	0	0	0	0	2	0	0	0	3773
731	-1	9	28	0	0	0	0	2	0	0	0	3773
731	-1	7	22	0	0	0	0	2	0	0	0	3773
731	-1	9	22	0	0	0	0	2	0	0	0	3773
//加己 酒捞袍												
731	-1	12	203	0	0	0	0	0	0	0	1	100
