//////////////////////////////////////////////////////////////////////////////////////												
// [葱矫胶 龋荐]	EachMonsterBag113											
// [ Start  ] 	2016-07-28											
// [ Latest ]	2016-07-28 12:07											
// [ Author ]	冠驱柳											
// [ Version ]	0.0.0.1											
// [ Text ]	葱矫胶 龋荐 靛酚酒捞袍 汲沥											
// [ Desc ]	甘俊 免泅窍绰 阁胶磐 喊肺 靛酚窍绰 酒捞袍 府胶飘甫 累己窍绰 胶农赋飘											
//////////////////////////////////////////////////////////////////////////////////////												
												
//荤成 付府 荐	32400											
												
//阁胶磐 牢郸胶	阁胶磐 加己	酒捞袍 鸥涝	酒捞袍 牢郸胶	弥家饭骇	弥措饭骇	俺荐	胶懦	青款	眠啊可记	竣汲繁飘 	加己 酒捞袍	犬伏 (1/1000000)
// 颇扼墨 743 (monsterlevel 125)												
743	-1	4	22	0	0	0	2	2	0	0	0	16569
743	-1	0	24	0	0	0	2	2	0	0	0	16569
743	-1	0	25	0	0	0	2	2	0	0	0	16569
743	-1	5	13	0	0	0	2	2	0	0	0	16569
743	-1	2	15	0	0	0	2	2	0	0	0	16569
743	-1	9	21	0	0	0	0	2	0	0	0	16569
743	-1	8	24	0	0	0	0	2	0	0	0	16569
743	-1	9	23	0	0	0	0	2	0	0	0	16569
743	-1	11	23	0	0	0	0	2	0	0	0	16569
743	-1	8	28	0	0	0	0	2	0	0	0	16569
743	-1	9	28	0	0	0	0	2	0	0	0	16569
743	-1	7	22	0	0	0	0	2	0	0	0	16569
743	-1	8	22	0	0	0	0	2	0	0	0	16569
743	-1	9	22	0	0	0	0	2	0	0	0	16569
743	-1	8	20	0	0	0	0	2	0	0	0	16569
//加己 酒捞袍												
743	-1	12	203	0	0	0	0	0	0	0	1	100
743	-1	12	217	0	0	0	0	0	0	0	1	100
743	-1	12	205	0	0	0	0	0	0	0	1	100
743	-1	12	207	0	0	0	0	0	0	0	1	100
743	-1	12	144	0	0	0	0	0	0	0	1	1200
//葱矫胶 龋荐 焊胶粮 涝厘鼻												
//743	-1	14	390	0	0	0	0	2	0	0	0	120
//颇扼墨 竣汲繁飘												
743	-1	2	7	0	0	0	0	2	0	1	0	1
743	-1	4	16	0	0	0	0	2	0	1	0	1
743	-1	4	17	0	0	0	0	2	0	1	0	1
743	-1	4	19	0	0	0	0	2	0	1	0	1
743	-1	0	16	0	0	0	0	2	0	1	0	1
743	-1	0	33	0	0	0	0	2	0	1	0	1
743	-1	0	31	0	0	0	0	2	0	1	0	1
743	-1	3	15	0	0	0	0	2	0	1	0	1
743	-1	3	16	0	0	0	0	2	0	1	0	1
743	-1	3	10	0	0	0	0	2	0	1	0	1
743	-1	5	8	0	0	0	0	2	0	1	0	1
743	-1	5	9	0	0	0	0	2	0	1	0	1
743	-1	5	18	0	0	0	0	2	0	1	0	1
743	-1	2	10	0	0	0	0	2	0	1	0	1
743	-1	2	11	0	0	0	0	2	0	1	0	1
743	-1	8	60	0	0	0	0	2	0	1	0	1
743	-1	8	18	0	0	0	0	2	0	1	0	1
743	-1	9	18	0	0	0	0	2	0	1	0	1
743	-1	8	42	0	0	0	0	2	0	1	0	1
743	-1	9	42	0	0	0	0	2	0	1	0	1
743	-1	7	19	0	0	0	0	2	0	1	0	1
743	-1	8	19	0	0	0	0	2	0	1	0	1
743	-1	9	19	0	0	0	0	2	0	1	0	1
743	-1	7	27	0	0	0	0	2	0	1	0	1
743	-1	8	27	0	0	0	0	2	0	1	0	1
743	-1	9	27	0	0	0	0	2	0	1	0	1
743	-1	11	27	0	0	0	0	2	0	1	0	1
743	-1	7	16	0	0	0	0	2	0	1	0	1
743	-1	8	16	0	0	0	0	2	0	1	0	1
743	-1	9	16	0	0	0	0	2	0	1	0	1
743	-1	7	94	0	0	0	0	2	0	1	0	1
743	-1	9	94	0	0	0	0	2	0	1	0	1
743	-1	11	94	0	0	0	0	2	0	1	0	1
743	-1	7	95	0	0	0	0	2	0	1	0	1
743	-1	9	95	0	0	0	0	2	0	1	0	1
743	-1	11	95	0	0	0	0	2	0	1	0	1
