//////////////////////////////////////////////////////////////////////////////////////												
// [블러드캐슬 2]	EachMonsterBag12											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
//참여 횟수	1											
//몬스터 명	오크전사2		오크궁수2	흑해골전사2	자이언트오거2	붉은해골기사2	마법해골2					
//사냥 수	100		100	50	50	10	10					
//참여 횟수*사냥 수	몬스터 속성	100	100	50	50	10	10					
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//오크전사2												
90	-1	1	4	0	0	0	0	2	0	1	0	100
90	-1	1	5	0	0	0	0	2	0	1	0	100
90	-1	4	11	0	0	0	0	2	0	1	0	100
90	-1	0	8	0	0	0	0	2	0	1	0	100
90	-1	0	9	0	0	0	0	2	0	1	0	100
90	-1	0	5	0	0	0	0	2	0	1	0	100
90	-1	0	10	0	0	0	0	2	0	1	0	100
90	-1	3	1	0	0	0	0	2	0	1	0	100
90	-1	3	3	0	0	0	0	2	0	1	0	100
90	-1	3	13	0	0	0	0	2	0	1	0	100
90	-1	5	3	0	0	0	0	2	0	1	0	100
90	-1	5	16	0	0	0	0	2	0	1	0	100
90	-1	2	8	0	0	0	0	2	0	1	0	100
90	-1	6	9	0	0	0	0	2	0	1	0	100
90	-1	6	7	0	0	0	0	2	0	1	0	100
90	-1	7	8	0	0	0	0	2	0	1	0	100
90	-1	8	8	0	0	0	0	2	0	1	0	100
90	-1	10	8	0	0	0	0	2	0	1	0	100
90	-1	9	8	0	0	0	0	2	0	1	0	100
90	-1	11	8	0	0	0	0	2	0	1	0	100
90	-1	7	9	0	0	0	0	2	0	1	0	100
90	-1	8	9	0	0	0	0	2	0	1	0	100
90	-1	10	9	0	0	0	0	2	0	1	0	100
90	-1	9	9	0	0	0	0	2	0	1	0	100
90	-1	11	9	0	0	0	0	2	0	1	0	100
90	-1	7	25	0	0	0	0	2	0	1	0	100
90	-1	8	25	0	0	0	0	2	0	1	0	100
90	-1	10	25	0	0	0	0	2	0	1	0	100
90	-1	9	25	0	0	0	0	2	0	1	0	100
90	-1	11	25	0	0	0	0	2	0	1	0	100
90	-1	7	40	0	0	0	0	2	0	1	0	100
90	-1	8	40	0	0	0	0	2	0	1	0	100
90	-1	10	40	0	0	0	0	2	0	1	0	100
90	-1	9	40	0	0	0	0	2	0	1	0	100
90	-1	11	40	0	0	0	0	2	0	1	0	100
90	-1	7	13	0	0	0	0	2	0	1	0	100
90	-1	8	13	0	0	0	0	2	0	1	0	100
90	-1	10	13	0	0	0	0	2	0	1	0	100
90	-1	9	13	0	0	0	0	2	0	1	0	100
90	-1	11	13	0	0	0	0	2	0	1	0	100
90	-1	7	7	0	0	0	0	2	0	1	0	100
90	-1	8	7	0	0	0	0	2	0	1	0	100
90	-1	10	7	0	0	0	0	2	0	1	0	100
90	-1	9	7	0	0	0	0	2	0	1	0	100
90	-1	11	7	0	0	0	0	2	0	1	0	100
90	-1	7	91	0	0	0	0	2	0	1	0	100
90	-1	8	91	0	0	0	0	2	0	1	0	100
90	-1	10	91	0	0	0	0	2	0	1	0	100
90	-1	9	91	0	0	0	0	2	0	1	0	100
90	-1	11	91	0	0	0	0	2	0	1	0	100
//오크궁수2												
91	-1	1	4	0	0	0	0	2	0	1	0	100
91	-1	1	5	0	0	0	0	2	0	1	0	100
91	-1	4	11	0	0	0	0	2	0	1	0	100
91	-1	0	8	0	0	0	0	2	0	1	0	100
91	-1	0	9	0	0	0	0	2	0	1	0	100
91	-1	0	5	0	0	0	0	2	0	1	0	100
91	-1	0	10	0	0	0	0	2	0	1	0	100
91	-1	3	1	0	0	0	0	2	0	1	0	100
91	-1	3	3	0	0	0	0	2	0	1	0	100
91	-1	3	13	0	0	0	0	2	0	1	0	100
91	-1	5	3	0	0	0	0	2	0	1	0	100
91	-1	5	16	0	0	0	0	2	0	1	0	100
91	-1	2	8	0	0	0	0	2	0	1	0	100
91	-1	6	9	0	0	0	0	2	0	1	0	100
91	-1	6	7	0	0	0	0	2	0	1	0	100
91	-1	7	8	0	0	0	0	2	0	1	0	100
91	-1	8	8	0	0	0	0	2	0	1	0	100
91	-1	10	8	0	0	0	0	2	0	1	0	100
91	-1	9	8	0	0	0	0	2	0	1	0	100
91	-1	11	8	0	0	0	0	2	0	1	0	100
91	-1	7	9	0	0	0	0	2	0	1	0	100
91	-1	8	9	0	0	0	0	2	0	1	0	100
91	-1	10	9	0	0	0	0	2	0	1	0	100
91	-1	9	9	0	0	0	0	2	0	1	0	100
91	-1	11	9	0	0	0	0	2	0	1	0	100
91	-1	7	25	0	0	0	0	2	0	1	0	100
91	-1	8	25	0	0	0	0	2	0	1	0	100
91	-1	10	25	0	0	0	0	2	0	1	0	100
91	-1	9	25	0	0	0	0	2	0	1	0	100
91	-1	11	25	0	0	0	0	2	0	1	0	100
91	-1	7	40	0	0	0	0	2	0	1	0	100
91	-1	8	40	0	0	0	0	2	0	1	0	100
91	-1	10	40	0	0	0	0	2	0	1	0	100
91	-1	9	40	0	0	0	0	2	0	1	0	100
91	-1	11	40	0	0	0	0	2	0	1	0	100
91	-1	7	13	0	0	0	0	2	0	1	0	100
91	-1	8	13	0	0	0	0	2	0	1	0	100
91	-1	10	13	0	0	0	0	2	0	1	0	100
91	-1	9	13	0	0	0	0	2	0	1	0	100
91	-1	11	13	0	0	0	0	2	0	1	0	100
91	-1	7	7	0	0	0	0	2	0	1	0	100
91	-1	8	7	0	0	0	0	2	0	1	0	100
91	-1	10	7	0	0	0	0	2	0	1	0	100
91	-1	9	7	0	0	0	0	2	0	1	0	100
91	-1	11	7	0	0	0	0	2	0	1	0	100
91	-1	7	91	0	0	0	0	2	0	1	0	100
91	-1	8	91	0	0	0	0	2	0	1	0	100
91	-1	10	91	0	0	0	0	2	0	1	0	100
91	-1	9	91	0	0	0	0	2	0	1	0	100
91	-1	11	91	0	0	0	0	2	0	1	0	100
//흑해골전사2												
92	-1	1	4	0	0	0	0	2	0	1	0	200
92	-1	1	5	0	0	0	0	2	0	1	0	200
92	-1	4	11	0	0	0	0	2	0	1	0	200
92	-1	0	8	0	0	0	0	2	0	1	0	200
92	-1	0	9	0	0	0	0	2	0	1	0	200
92	-1	0	5	0	0	0	0	2	0	1	0	200
92	-1	0	10	0	0	0	0	2	0	1	0	200
92	-1	3	1	0	0	0	0	2	0	1	0	200
92	-1	3	3	0	0	0	0	2	0	1	0	200
92	-1	3	13	0	0	0	0	2	0	1	0	200
92	-1	5	3	0	0	0	0	2	0	1	0	200
92	-1	5	16	0	0	0	0	2	0	1	0	200
92	-1	2	8	0	0	0	0	2	0	1	0	200
92	-1	6	9	0	0	0	0	2	0	1	0	200
92	-1	6	7	0	0	0	0	2	0	1	0	200
92	-1	7	8	0	0	0	0	2	0	1	0	200
92	-1	8	8	0	0	0	0	2	0	1	0	200
92	-1	10	8	0	0	0	0	2	0	1	0	200
92	-1	9	8	0	0	0	0	2	0	1	0	200
92	-1	11	8	0	0	0	0	2	0	1	0	200
92	-1	7	9	0	0	0	0	2	0	1	0	200
92	-1	8	9	0	0	0	0	2	0	1	0	200
92	-1	10	9	0	0	0	0	2	0	1	0	200
92	-1	9	9	0	0	0	0	2	0	1	0	200
92	-1	11	9	0	0	0	0	2	0	1	0	200
92	-1	7	25	0	0	0	0	2	0	1	0	200
92	-1	8	25	0	0	0	0	2	0	1	0	200
92	-1	10	25	0	0	0	0	2	0	1	0	200
92	-1	9	25	0	0	0	0	2	0	1	0	200
92	-1	11	25	0	0	0	0	2	0	1	0	200
92	-1	7	40	0	0	0	0	2	0	1	0	200
92	-1	8	40	0	0	0	0	2	0	1	0	200
92	-1	10	40	0	0	0	0	2	0	1	0	200
92	-1	9	40	0	0	0	0	2	0	1	0	200
92	-1	11	40	0	0	0	0	2	0	1	0	200
92	-1	7	13	0	0	0	0	2	0	1	0	200
92	-1	8	13	0	0	0	0	2	0	1	0	200
92	-1	10	13	0	0	0	0	2	0	1	0	200
92	-1	9	13	0	0	0	0	2	0	1	0	200
92	-1	11	13	0	0	0	0	2	0	1	0	200
92	-1	7	7	0	0	0	0	2	0	1	0	200
92	-1	8	7	0	0	0	0	2	0	1	0	200
92	-1	10	7	0	0	0	0	2	0	1	0	200
92	-1	9	7	0	0	0	0	2	0	1	0	200
92	-1	11	7	0	0	0	0	2	0	1	0	200
92	-1	7	91	0	0	0	0	2	0	1	0	200
92	-1	8	91	0	0	0	0	2	0	1	0	200
