//////////////////////////////////////////////////////////////////////////////////////												
// [칼리마2]	EachMonsterBag25											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1			*일반 아이템들 오토돌리는데 1~2개씩 보이는 느낌으로								
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//이시스2 32												
177	-1	1	2	0	0	0	2	2	0	0	0	4029
177	-1	1	3	0	0	0	2	2	0	0	0	4029
177	-1	1	4	0	0	0	2	2	0	0	0	4029
177	-1	1	5	0	0	0	2	2	0	0	0	4029
177	-1	2	2	0	0	0	2	2	0	0	0	4029
177	-1	4	2	0	0	0	2	2	0	0	0	4029
177	-1	4	10	0	0	0	2	2	0	0	0	4029
177	-1	4	3	0	0	0	2	2	0	0	0	4029
177	-1	4	11	0	0	0	2	2	0	0	0	4029
177	-1	0	3	0	0	0	2	2	0	0	0	4029
177	-1	0	6	0	0	0	2	2	0	0	0	4029
177	-1	0	7	0	0	0	2	2	0	0	0	4029
177	-1	0	8	0	0	0	2	2	0	0	0	4029
177	-1	0	9	0	0	0	2	2	0	0	0	4029
177	-1	3	2	0	0	0	2	2	0	0	0	4029
177	-1	3	13	0	0	0	2	2	0	0	0	4029
177	-1	3	17	0	0	0	2	2	0	0	0	4029
177	-1	3	6	0	0	0	2	2	0	0	0	4029
177	-1	3	1	0	0	0	2	2	0	0	0	4029
177	-1	3	3	0	0	0	2	2	0	0	0	4029
177	-1	5	1	0	0	0	2	2	0	0	0	4029
177	-1	5	2	0	0	0	2	2	0	0	0	4029
177	-1	5	14	0	0	0	2	2	0	0	0	4029
177	-1	6	6	0	0	0	2	2	0	0	0	4029
177	-1	6	10	0	0	0	2	2	0	0	0	4029
177	-1	6	3	0	0	0	2	2	0	0	0	4029
177	-1	6	9	0	0	0	2	2	0	0	0	4029
177	-1	6	7	0	0	0	2	2	0	0	0	4029
177	-1	7	0	0	0	0	0	2	0	0	0	4029
177	-1	8	0	0	0	0	0	2	0	0	0	4029
177	-1	9	0	0	0	0	0	2	0	0	0	4029
177	-1	7	91	0	0	0	0	2	0	0	0	4029
177	-1	8	91	0	0	0	0	2	0	0	0	4029
177	-1	9	91	0	0	0	0	2	0	0	0	4029
177	-1	11	91	0	0	0	0	2	0	0	0	4029
177	-1	7	4	0	0	0	0	2	0	0	0	4029
177	-1	8	4	0	0	0	0	2	0	0	0	4029
177	-1	10	4	0	0	0	0	2	0	0	0	4029
177	-1	9	4	0	0	0	0	2	0	0	0	4029
177	-1	11	4	0	0	0	0	2	0	0	0	4029
177	-1	7	11	0	0	0	0	2	0	0	0	4029
177	-1	8	11	0	0	0	0	2	0	0	0	4029
177	-1	10	11	0	0	0	0	2	0	0	0	4029
177	-1	9	11	0	0	0	0	2	0	0	0	4029
177	-1	11	11	0	0	0	0	2	0	0	0	4029
177	-1	7	6	0	0	0	0	2	0	0	0	4029
177	-1	8	6	0	0	0	0	2	0	0	0	4029
177	-1	10	6	0	0	0	0	2	0	0	0	4029
177	-1	9	6	0	0	0	0	2	0	0	0	4029
177	-1	11	6	0	0	0	0	2	0	0	0	4029
177	-1	7	39	0	0	0	0	2	0	0	0	4029
177	-1	10	39	0	0	0	0	2	0	0	0	4029
177	-1	9	39	0	0	0	0	2	0	0	0	4029
177	-1	11	39	0	0	0	0	2	0	0	0	4029
177	-1	7	12	0	0	0	0	2	0	0	0	4029
177	-1	8	12	0	0	0	0	2	0	0	0	4029
177	-1	10	12	0	0	0	0	2	0	0	0	4029
177	-1	9	12	0	0	0	0	2	0	0	0	4029
177	-1	11	12	0	0	0	0	2	0	0	0	4029
177	-1	7	7	0	0	0	0	2	0	0	0	4029
177	-1	10	7	0	0	0	0	2	0	0	0	4029
177	-1	11	7	0	0	0	0	2	0	0	0	4029
177	-1	10	8	0	0	0	0	2	0	0	0	4029
177	-1	11	8	0	0	0	0	2	0	0	0	4029
177	-1	13	9	0	0	0	0	0	2	0	0	4029
177	-1	13	8	0	0	0	0	0	2	0	0	4029
177	-1	13	12	0	0	0	0	0	2	0	0	4029
177	-1	13	21	0	0	0	0	0	2	0	0	4029
177	-1	15	13	0	0	0	0	0	0	0	0	2000
177	-1	15	23	0	0	0	0	0	0	0	0	2000
177	-1	12	14	0	0	0	0	0	0	0	0	2000
177	-1	12	17	0	0	0	0	0	0	0	0	2000
177	-1	15	21	0	0	0	0	0	0	0	0	2000
177	-1	15	30	0	0	0	0	0	0	0	0	2000
177	-1	15	32	0	0	0	0	0	0	0	0	2000
177	-1	12	19	0	0	0	0	0	0	0	0	2000
