//////////////////////////////////////////////////////////////////////////////////////												
// [노리아]	EachMonsterBag3											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//거미												
3	-1	1	0	0	0	0	2	2	0	0	0	205740
3	-1	4	0	0	0	0	2	2	0	0	0	205740
3	-1	14	0	0	0	0	0	0	0	0	0	3145
3	-1	14	0	0	0	2	0	0	0	0	0	3145
//고블린												
26	-1	1	0	0	0	0	2	2	0	0	0	82410
26	-1	4	0	0	0	0	2	2	0	0	0	82410
26	-1	0	1	0	0	0	2	2	0	0	0	82410
26	-1	6	0	0	0	0	2	2	0	0	0	82410
26	-1	10	2	0	0	0	0	2	0	0	0	82410
26	-1	12	11	0	0	0	0	0	0	0	0	5000
26	-1	14	0	0	0	0	0	0	0	0	0	1480
26	-1	14	0	0	0	2	0	0	0	0	0	1480
26	-1	14	10	0	0	0	0	0	0	0	0	20000
//고블린 엑설런트												
26	-1	1	0	0	0	0	0	2	0	1	0	3
//고리전갈												
27	-1	1	0	0	0	0	2	2	0	0	0	31556
27	-1	1	1	0	0	0	2	2	0	0	0	31556
27	-1	4	0	0	0	0	2	2	0	0	0	31556
27	-1	4	8	0	0	0	2	2	0	0	0	31556
27	-1	0	1	0	0	0	2	2	0	0	0	31556
27	-1	6	0	0	0	0	2	2	0	0	0	31556
27	-1	7	2	0	0	0	0	2	0	0	0	31556
27	-1	10	2	0	0	0	0	2	0	0	0	31556
27	-1	11	2	0	0	0	0	2	0	0	0	31556
27	-1	10	5	0	0	0	0	2	0	0	0	31556
27	-1	11	5	0	0	0	0	2	0	0	0	31556
27	-1	10	10	0	0	0	0	2	0	0	0	31556
27	-1	11	10	0	0	0	0	2	0	0	0	31556
27	-1	12	11	0	0	0	0	0	0	0	0	20000
27	-1	14	0	0	0	0	0	0	0	0	0	20000
27	-1	14	0	0	0	2	0	0	0	0	0	20000
27	-1	14	10	0	0	0	0	0	0	0	0	20000
//고블린대장												
33	-1	1	0	0	0	0	2	2	0	0	0	16608
33	-1	1	1	0	0	0	2	2	0	0	0	16608
33	-1	2	0	0	0	0	2	2	0	0	0	16608
33	-1	4	0	0	0	0	2	2	0	0	0	16608
33	-1	4	8	0	0	0	2	2	0	0	0	16608
33	-1	4	1	0	0	0	2	2	0	0	0	16608
33	-1	0	1	0	0	0	2	2	0	0	0	16608
33	-1	0	0	0	0	0	2	2	0	0	0	16608
33	-1	5	0	0	0	0	2	2	0	0	0	16608
33	-1	6	0	0	0	0	2	2	0	0	0	16608
33	-1	6	4	0	0	0	2	2	0	0	0	16608
33	-1	7	2	0	0	0	0	2	0	0	0	16608
33	-1	10	2	0	0	0	0	2	0	0	0	16608
33	-1	9	2	0	0	0	0	2	0	0	0	16608
33	-1	11	2	0	0	0	0	2	0	0	0	16608
33	-1	7	5	0	0	0	0	2	0	0	0	16608
33	-1	10	5	0	0	0	0	2	0	0	0	16608
33	-1	9	5	0	0	0	0	2	0	0	0	16608
33	-1	11	5	0	0	0	0	2	0	0	0	16608
33	-1	7	10	0	0	0	0	2	0	0	0	16608
33	-1	10	10	0	0	0	0	2	0	0	0	16608
33	-1	9	10	0	0	0	0	2	0	0	0	16608
33	-1	11	10	0	0	0	0	2	0	0	0	16608
33	-1	12	11	0	0	0	0	0	0	0	0	20000
33	-1	12	8	0	0	0	0	0	0	0	0	20000
33	-1	12	9	0	0	0	0	0	0	0	0	20000
33	-1	12	10	0	0	0	0	0	0	0	0	20000
33	-1	14	1	0	0	0	0	0	0	0	0	20000
33	-1	14	4	0	0	0	0	0	0	0	0	20000
33	-1	14	8	0	0	0	0	0	0	0	0	20000
33	-1	14	10	0	0	0	0	0	0	0	0	20000
//고블린대장 엑설런트												
33	-1	2	1	0	0	0	0	2	0	1	0	5
33	-1	6	1	0	0	0	0	2	0	1	0	5
//풍뎅이괴물												
28	-1	1	0	0	0	0	2	2	0	0	0	12034
28	-1	1	1	0	0	0	2	2	0	0	0	12034
28	-1	2	0	0	0	0	2	2	0	0	0	12034
28	-1	4	0	0	0	0	2	2	0	0	0	12034
28	-1	4	8	0	0	0	2	2	0	0	0	12034
28	-1	4	1	0	0	0	2	2	0	0	0	12034
28	-1	0	1	0	0	0	2	2	0	0	0	12034
28	-1	0	0	0	0	0	2	2	0	0	0	12034
28	-1	0	2	0	0	0	2	2	0	0	0	12034
28	-1	5	0	0	0	0	2	2	0	0	0	12034
28	-1	6	0	0	0	0	2	2	0	0	0	12034
28	-1	6	4	0	0	0	2	2	0	0	0	12034
28	-1	6	1	0	0	0	2	2	0	0	0	12034
28	-1	7	2	0	0	0	0	2	0	0	0	12034
28	-1	8	2	0	0	0	0	2	0	0	0	12034
28	-1	10	2	0	0	0	0	2	0	0	0	12034
28	-1	9	2	0	0	0	0	2	0	0	0	12034
28	-1	11	2	0	0	0	0	2	0	0	0	12034
28	-1	7	5	0	0	0	0	2	0	0	0	12034
28	-1	8	5	0	0	0	0	2	0	0	0	12034
28	-1	10	5	0	0	0	0	2	0	0	0	12034
28	-1	9	5	0	0	0	0	2	0	0	0	12034
28	-1	11	5	0	0	0	0	2	0	0	0	12034
28	-1	7	10	0	0	0	0	2	0	0	0	12034
28	-1	8	10	0	0	0	0	2	0	0	0	12034
28	-1	10	10	0	0	0	0	2	0	0	0	12034
28	-1	9	10	0	0	0	0	2	0	0	0	12034
28	-1	11	10	0	0	0	0	2	0	0	0	12034
28	-1	10	91	0	0	0	0	2	0	0	0	12034
28	-1	12	11	0	0	0	0	0	0	0	0	20000
28	-1	12	8	0	0	0	0	0	0	0	0	20000
28	-1	12	9	0	0	0	0	0	0	0	0	20000
28	-1	12	10	0	0	0	0	0	0	0	0	20000
28	-1	14	1	0	0	0	0	0	0	0	0	20000
28	-1	14	4	0	0	0	0	0	0	0	0	20000
28	-1	14	8	0	0	0	0	0	0	0	0	20000
28	-1	14	10	0	0	0	0	0	0	0	0	20000
//풍뎅이괴물 엑설런트												
28	-1	3	1	0	0	0	0	2	0	1	0	400
//헌터												
29	-1	1	0	0	0	0	2	2	0	0	0	9097
29	-1	1	1	0	0	0	2	2	0	0	0	9097
29	-1	2	0	0	0	0	2	2	0	0	0	9097
29	-1	2	1	0	0	0	2	2	0	0	0	9097
29	-1	4	0	0	0	0	2	2	0	0	0	9097
29	-1	4	8	0	0	0	2	2	0	0	0	9097
29	-1	4	1	0	0	0	2	2	0	0	0	9097
29	-1	4	9	0	0	0	2	2	0	0	0	9097
29	-1	0	1	0	0	0	2	2	0	0	0	9097
29	-1	0	0	0	0	0	2	2	0	0	0	9097
29	-1	0	2	0	0	0	2	2	0	0	0	9097
29	-1	0	4	0	0	0	2	2	0	0	0	9097
29	-1	3	5	0	0	0	2	2	0	0	0	9097
29	-1	5	0	0	0	0	2	2	0	0	0	9097
29	-1	6	0	0	0	0	2	2	0	0	0	9097
29	-1	6	4	0	0	0	2	2	0	0	0	9097
29	-1	6	1	0	0	0	2	2	0	0	0	9097
29	-1	6	2	0	0	0	2	2	0	0	0	9097
29	-1	6	29	0	0	0	2	2	0	0	0	9097
29	-1	7	2	0	0	0	0	2	0	0	0	9097
29	-1	8	2	0	0	0	0	2	0	0	0	9097
29	-1	10	2	0	0	0	0	2	0	0	0	9097
29	-1	9	2	0	0	0	0	2	0	0	0	9097
29	-1	11	2	0	0	0	0	2	0	0	0	9097
29	-1	7	5	0	0	0	0	2	0	0	0	9097
29	-1	8	5	0	0	0	0	2	0	0	0	9097
29	-1	10	5	0	0	0	0	2	0	0	0	9097
29	-1	9	5	0	0	0	0	2	0	0	0	9097
29	-1	11	5	0	0	0	0	2	0	0	0	9097
29	-1	7	10	0	0	0	0	2	0	0	0	9097
29	-1	8	10	0	0	0	0	2	0	0	0	9097
29	-1	10	10	0	0	0	0	2	0	0	0	9097
29	-1	9	10	0	0	0	0	2	0	0	0	9097
29	-1	11	10	0	0	0	0	2	0	0	0	9097
29	-1	10	0	0	0	0	0	2	0	0	0	9097
29	-1	11	0	0	0	0	0	2	0	0	0	9097
29	-1	10	91	0	0	0	0	2	0	0	0	9097
29	-1	13	13	0	0	0	0	0	2	0	0	9097
29	-1	12	11	0	0	0	0	0	0	0	0	20000
29	-1	12	8	0	0	0	0	0	0	0	0	20000
29	-1	12	10	0	0	0	0	0	0	0	0	20000
29	-1	12	9	0	0	0	0	0	0	0	0	20000
29	-1	14	1	0	0	0	0	0	0	0	0	20000
29	-1	14	4	0	0	0	0	0	0	0	0	20000
29	-1	14	8	0	0	0	0	0	0	0	0	20000
29	-1	14	10	0	0	0	0	0	0	0	0	20000
//헌터 엑설런트												
29	-1	4	10	0	0	0	0	2	0	1	0	400
//숲의괴물												
30	-1	1	0	0	0	0	2	2	0	0	0	6886
30	-1	1	1	0	0	0	2	2	0	0	0	6886
30	-1	1	2	0	0	0	2	2	0	0	0	6886
30	-1	2	0	0	0	0	2	2	0	0	0	6886
30	-1	2	1	0	0	0	2	2	0	0	0	6886
30	-1	4	0	0	0	0	2	2	0	0	0	6886
30	-1	4	8	0	0	0	2	2	0	0	0	6886
30	-1	4	1	0	0	0	2	2	0	0	0	6886
30	-1	4	9	0	0	0	2	2	0	0	0	6886
30	-1	0	1	0	0	0	2	2	0	0	0	6886
30	-1	0	0	0	0	0	2	2	0	0	0	6886
30	-1	0	2	0	0	0	2	2	0	0	0	6886
30	-1	0	4	0	0	0	2	2	0	0	0	6886
30	-1	3	2	0	0	0	2	2	0	0	0	6886
30	-1	3	13	0	0	0	2	2	0	0	0	6886
30	-1	3	5	0	0	0	2	2	0	0	0	6886
30	-1	5	0	0	0	0	2	2	0	0	0	6886
30	-1	6	0	0	0	0	2	2	0	0	0	6886
30	-1	6	4	0	0	0	2	2	0	0	0	6886
30	-1	6	1	0	0	0	2	2	0	0	0	6886
30	-1	6	2	0	0	0	2	2	0	0	0	6886
30	-1	6	29	0	0	0	2	2	0	0	0	6886
30	-1	6	6	0	0	0	2	2	0	0	0	6886
30	-1	7	2	0	0	0	0	2	0	0	0	6886
30	-1	8	2	0	0	0	0	2	0	0	0	6886
30	-1	10	2	0	0	0	0	2	0	0	0	6886
30	-1	9	2	0	0	0	0	2	0	0	0	6886
30	-1	11	2	0	0	0	0	2	0	0	0	6886
30	-1	7	5	0	0	0	0	2	0	0	0	6886
30	-1	8	5	0	0	0	0	2	0	0	0	6886
30	-1	10	5	0	0	0	0	2	0	0	0	6886
30	-1	9	5	0	0	0	0	2	0	0	0	6886
30	-1	11	5	0	0	0	0	2	0	0	0	6886
30	-1	7	10	0	0	0	0	2	0	0	0	6886
30	-1	8	10	0	0	0	0	2	0	0	0	6886
30	-1	10	10	0	0	0	0	2	0	0	0	6886
30	-1	9	10	0	0	0	0	2	0	0	0	6886
30	-1	11	10	0	0	0	0	2	0	0	0	6886
30	-1	10	0	0	0	0	0	2	0	0	0	6886
30	-1	9	0	0	0	0	0	2	0	0	0	6886
