//////////////////////////////////////////////////////////////////////////////////////													
// [시련의땅]	EachMonsterBag31												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//수호보석	몬스터 속성												
//세트아이템													
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//액스워리어 75													200
294	-1	2	4	0	0	0	2	2	0	0	0	667	//크리스탈모닝스타
294	-1	4	13	0	0	0	2	2	0	0	0	667	//블루윙석궁
294	-1	4	14	0	0	0	2	2	0	0	0	667	//아쿠아골드석궁
294	-1	0	14	0	0	0	2	2	0	0	0	667	//번개검
294	-1	2	5	0	0	0	2	2	0	0	0	667	//크리스탈검
294	-1	3	14	0	0	0	2	2	0	0	0	667	//콘모시온랜스
294	-1	3	18	0	0	0	2	2	0	0	0	667	//알라크란랜스
294	-1	3	9	0	0	0	2	2	0	0	0	667	//발록의낫
294	-1	5	5	0	0	0	2	2	0	0	0	667	//전설의지팡이
294	-1	5	6	0	0	0	2	2	0	0	0	667	//부활의지팡이
294	-1	5	16	0	0	0	2	2	0	0	0	667	//레드윙스틱
294	-1	5	22	0	0	0	2	2	0	0	0	667	//닐의서
294	-1	5	23	0	0	0	2	2	0	0	0	667	//라글의서
294	-1	2	9	0	0	0	2	2	0	0	0	667	//마스터셉터
294	-1	6	13	0	0	0	2	2	0	0	0	667	//드라곤방패
294	-1	6	16	0	0	0	2	2	0	0	0	667	//엘리멘탈방패
294	-1	6	21	0	0	0	2	2	0	0	0	667	//크로스실드
294	-1	6	30	0	0	0	2	2	0	0	0	667	//플루마실드
294	-1	6	15	0	0	0	2	2	0	0	0	667	//그랜드소울방패
294	-1	6	32	0	0	0	2	2	0	0	0	667	//비스실드
294	-1	8	92	0	0	0	0	2	0	0	0	667	//그루힐갑옷
294	-1	8	25	0	0	0	0	2	0	0	0	667	//라운드갑옷
294	-1	8	14	0	0	0	0	2	0	0	0	667	//수호갑옷
294	-1	8	59	0	0	0	0	2	0	0	0	667	//세크리드파이어갑옷
294	-1	9	59	0	0	0	0	2	0	0	0	667	//세크리드파이어바지
294	-1	7	1	0	0	0	0	2	0	0	0	667	//드라곤투구
294	-1	8	1	0	0	0	0	2	0	0	0	667	//드라곤갑옷
294	-1	7	26	0	0	0	0	2	0	0	0	667	//다크소울마스크
294	-1	10	26	0	0	0	0	2	0	0	0	667	//다크소울장갑
294	-1	9	26	0	0	0	0	2	0	0	0	667	//다크소울바지
294	-1	11	26	0	0	0	0	2	0	0	0	667	//다크소울부츠
294	-1	10	93	0	0	0	0	2	0	0	0	667	//프린시장갑
294	-1	9	93	0	0	0	0	2	0	0	0	667	//프린시바지
294	-1	11	93	0	0	0	0	2	0	0	0	667	//프린시부츠
294	-1	7	34	0	0	0	0	2	0	0	0	667	//애쉬크로우헬멧
294	-1	8	34	0	0	0	0	2	0	0	0	667	//애쉬크로우갑옷
294	-1	10	34	0	0	0	0	2	0	0	0	667	//애쉬크로우장갑
294	-1	9	34	0	0	0	0	2	0	0	0	667	//애쉬크로우바지
294	-1	11	34	0	0	0	0	2	0	0	0	667	//애쉬크로우부츠
294	-1	7	35	0	0	0	0	2	0	0	0	667	//이클립스헬멧
294	-1	8	35	0	0	0	0	2	0	0	0	667	//이클립스갑옷
294	-1	10	35	0	0	0	0	2	0	0	0	667	//이클립스장갑
294	-1	9	35	0	0	0	0	2	0	0	0	667	//이클립스바지
294	-1	11	35	0	0	0	0	2	0	0	0	667	//이클립스부츠
294	-1	7	36	0	0	0	0	2	0	0	0	667	//아이리스헬멧
294	-1	8	36	0	0	0	0	2	0	0	0	667	//아이리스갑옷
294	-1	10	36	0	0	0	0	2	0	0	0	667	//아이리스장갑
294	-1	9	36	0	0	0	0	2	0	0	0	667	//아이리스바지
294	-1	11	36	0	0	0	0	2	0	0	0	667	//아이리스부츠
294	-1	7	41	0	0	0	0	2	0	0	0	667	//에이션트헬멧
294	-1	8	41	0	0	0	0	2	0	0	0	667	//에이션트갑옷
294	-1	10	41	0	0	0	0	2	0	0	0	667	//에이션트장갑
294	-1	9	41	0	0	0	0	2	0	0	0	667	//에이션트바지
294	-1	11	41	0	0	0	0	2	0	0	0	667	//에이션트부츠
294	-1	7	60	0	0	0	0	2	0	0	0	667	//스톰자하드투구
294	-1	11	60	0	0	0	0	2	0	0	0	667	//스톰자하드부츠
294	-1	7	93	0	0	0	0	2	0	0	0	667	//프린시헬멧
294	-1	10	15	0	0	0	0	2	0	0	0	667	//아틀란스장갑
294	-1	9	15	0	0	0	0	2	0	0	0	667	//아틀란스바지
294	-1	11	15	0	0	0	0	2	0	0	0	667	//아틀란스부츠
294	-1	10	18	0	0	0	0	2	0	0	0	667	//그랜드소울장갑
294	-1	10	42	0	0	0	0	2	0	0	0	667	//데모닉장갑
294	-1	10	19	0	0	0	0	2	0	0	0	667	//홀리스프릿장갑
294	-1	10	27	0	0	0	0	2	0	0	0	667	//다크브리즌장갑
294	-1	14	40	0	0	0	0	0	0	0	0	320	//큰복합물약
294	-1	14	31	0	0	0	0	0	0	0	0	2000	//수호보석
//엑스워리어 엑설런트													
294	-1	1	6	0	0	0	0	2	0	1	0	2	//니케아도끼
294	-1	1	7	0	0	0	0	2	0	1	0	2	//라르칸도끼
294	-1	2	3	0	0	0	0	2	0	1	0	2	//그레이트해머
294	-1	4	11	0	0	0	0	2	0	1	0	2	//빛의석궁
294	-1	4	4	0	0	0	0	2	0	1	0	2	//타이거보우
294	-1	4	12	0	0	0	0	2	0	1	0	2	//서펜트석궁
294	-1	0	9	0	0	0	0	2	0	1	0	2	//샐러멘더검
294	-1	0	5	0	0	0	0	2	0	1	0	2	//블레이드
294	-1	0	10	0	0	0	0	2	0	1	0	2	//빛의검
294	-1	0	11	0	0	0	0	2	0	1	0	2	//전설의검
294	-1	0	13	0	0	0	0	2	0	1	0	2	//더블블레이드
294	-1	3	7	0	0	0	0	2	0	1	0	2	//버디슈
294	-1	3	0	0	0	0	0	2	0	1	0	2	//광선봉
294	-1	3	4	0	0	0	0	2	0	1	0	2	//서펜트스피어
294	-1	5	3	0	0	0	0	2	0	1	0	2	//번개지팡이
