//////////////////////////////////////////////////////////////////////////////////////													
// [아이다]	EachMonsterBag33												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//데스트리													180
308	-1	1	8	0	0	0	2	2	0	0	0	615	//반월도끼
308	-1	2	4	0	0	0	2	2	0	0	0	615	//크리스탈모닝스타
308	-1	4	5	0	0	0	2	2	0	0	0	615	//실버보우
308	-1	4	13	0	0	0	2	2	0	0	0	615	//블루윙석궁
308	-1	4	14	0	0	0	2	2	0	0	0	615	//아쿠아골드석궁
308	-1	0	12	0	0	0	2	2	0	0	0	615	//태양검
308	-1	0	14	0	0	0	2	2	0	0	0	615	//번개검
308	-1	2	5	0	0	0	2	2	0	0	0	615	//크리스탈검
308	-1	3	14	0	0	0	2	2	0	0	0	615	//콘모시온랜스
308	-1	3	18	0	0	0	2	2	0	0	0	615	//알라크란랜스
308	-1	3	8	0	0	0	2	2	0	0	0	615	//그레이트사이드
308	-1	3	9	0	0	0	2	2	0	0	0	615	//발록의낫
308	-1	5	5	0	0	0	2	2	0	0	0	615	//전설의지팡이
308	-1	5	6	0	0	0	2	2	0	0	0	615	//부활의지팡이
308	-1	5	16	0	0	0	2	2	0	0	0	615	//레드윙스틱
308	-1	5	22	0	0	0	2	2	0	0	0	615	//닐의서
308	-1	5	23	0	0	0	2	2	0	0	0	615	//라글의서
308	-1	2	8	0	0	0	2	2	0	0	0	615	//배틀셉터
308	-1	2	9	0	0	0	2	2	0	0	0	615	//마스터셉터
308	-1	6	12	0	0	0	2	2	0	0	0	615	//브론즈방패
308	-1	6	13	0	0	0	2	2	0	0	0	615	//드라곤방패
308	-1	6	16	0	0	0	2	2	0	0	0	615	//엘리멘탈방패
308	-1	6	21	0	0	0	2	2	0	0	0	615	//크로스실드
308	-1	6	30	0	0	0	2	2	0	0	0	615	//플루마실드
308	-1	8	92	0	0	0	0	2	0	0	0	615	//그루힐갑옷
308	-1	9	92	0	0	0	0	2	0	0	0	615	//그루힐바지
308	-1	8	25	0	0	0	0	2	0	0	0	615	//라운드갑옷
308	-1	8	3	0	0	0	0	2	0	0	0	615	//전설의갑옷
308	-1	8	40	0	0	0	0	2	0	0	0	615	//레드윙갑옷
308	-1	8	14	0	0	0	0	2	0	0	0	615	//수호갑옷
308	-1	9	14	0	0	0	0	2	0	0	0	615	//수호바지
308	-1	7	59	0	0	0	0	2	0	0	0	615	//세크리드파이어투구
308	-1	8	59	0	0	0	0	2	0	0	0	615	//세크리드파이어갑옷
308	-1	9	59	0	0	0	0	2	0	0	0	615	//세크리드파이어바지
308	-1	7	1	0	0	0	0	2	0	0	0	615	//드라곤투구
308	-1	8	1	0	0	0	0	2	0	0	0	615	//드라곤갑옷
308	-1	9	1	0	0	0	0	2	0	0	0	615	//드라곤바지
308	-1	11	1	0	0	0	0	2	0	0	0	615	//드라곤부츠
308	-1	7	26	0	0	0	0	2	0	0	0	615	//다크소울마스크
308	-1	10	26	0	0	0	0	2	0	0	0	615	//다크소울장갑
308	-1	9	26	0	0	0	0	2	0	0	0	615	//다크소울바지
308	-1	11	26	0	0	0	0	2	0	0	0	615	//다크소울부츠
308	-1	10	93	0	0	0	0	2	0	0	0	615	//프린시장갑
308	-1	11	93	0	0	0	0	2	0	0	0	615	//프린시부츠
308	-1	7	34	0	0	0	0	2	0	0	0	615	//애쉬크로우헬멧
308	-1	10	34	0	0	0	0	2	0	0	0	615	//애쉬크로우장갑
308	-1	9	34	0	0	0	0	2	0	0	0	615	//애쉬크로우바지
308	-1	11	34	0	0	0	0	2	0	0	0	615	//애쉬크로우부츠
308	-1	7	35	0	0	0	0	2	0	0	0	615	//이클립스헬멧
308	-1	10	35	0	0	0	0	2	0	0	0	615	//이클립스장갑
308	-1	9	35	0	0	0	0	2	0	0	0	615	//이클립스바지
308	-1	11	35	0	0	0	0	2	0	0	0	615	//이클립스부츠
308	-1	7	36	0	0	0	0	2	0	0	0	615	//아이리스헬멧
308	-1	10	36	0	0	0	0	2	0	0	0	615	//아이리스장갑
308	-1	9	36	0	0	0	0	2	0	0	0	615	//아이리스바지
308	-1	11	36	0	0	0	0	2	0	0	0	615	//아이리스부츠
308	-1	7	41	0	0	0	0	2	0	0	0	615	//에이션트헬멧
308	-1	10	41	0	0	0	0	2	0	0	0	615	//에이션트장갑
308	-1	9	41	0	0	0	0	2	0	0	0	615	//에이션트바지
308	-1	11	41	0	0	0	0	2	0	0	0	615	//에이션트부츠
308	-1	7	60	0	0	0	0	2	0	0	0	615	//스톰자하드투구
308	-1	11	60	0	0	0	0	2	0	0	0	615	//스톰자하드부츠
308	-1	7	93	0	0	0	0	2	0	0	0	615	//프린시헬멧
308	-1	10	15	0	0	0	0	2	0	0	0	615	//아틀란스장갑
308	-1	11	15	0	0	0	0	2	0	0	0	615	//아틀란스부츠
308	-1	10	18	0	0	0	0	2	0	0	0	615	//그랜드소울장갑
308	-1	10	42	0	0	0	0	2	0	0	0	615	//데모닉장갑
308	-1	10	19	0	0	0	0	2	0	0	0	615	//홀리스프릿장갑
308	-1	15	14	0	0	0	0	0	0	0	0	100	//텔레키네시스법서
308	-1	12	18	0	0	0	0	0	0	0	0	100	//아이스애로우구슬
308	-1	15	26	0	0	0	0	0	0	0	0	100	//위크니스양피지
308	-1	15	17	0	0	0	0	0	0	0	0	100	//서든아이스법서
308	-1	15	27	0	0	0	0	0	0	0	0	100	//이너베이션양피지
308	-1	12	277	0	0	0	0	0	0	0	0	100	//브래쉬스크롤
308	-1	14	40	0	0	0	0	0	0	0	0	320	//큰복합물약
//데스트리 엑설런트													
308	-1	1	5	0	0	0	0	2	0	1	0	2	//전투도끼
308	-1	1	6	0	0	0	0	2	0	1	0	2	//니케아도끼
308	-1	1	7	0	0	0	0	2	0	1	0	2	//라르칸도끼
308	-1	2	3	0	0	0	0	2	0	1	0	2	//그레이트해머
308	-1	4	11	0	0	0	0	2	0	1	0	2	//빛의석궁
308	-1	4	4	0	0	0	0	2	0	1	0	2	//타이거보우
308	-1	0	8	0	0	0	0	2	0	1	0	2	//서펜트볼그
308	-1	0	9	0	0	0	0	2	0	1	0	2	//샐러멘더검
308	-1	0	5	0	0	0	0	2	0	1	0	2	//블레이드
308	-1	0	10	0	0	0	0	2	0	1	0	2	//빛의검
308	-1	0	11	0	0	0	0	2	0	1	0	2	//전설의검
308	-1	3	3	0	0	0	0	2	0	1	0	2	//큰삼지창
308	-1	3	7	0	0	0	0	2	0	1	0	2	//버디슈
308	-1	3	0	0	0	0	0	2	0	1	0	2	//광선봉
308	-1	3	4	0	0	0	0	2	0	1	0	3	//서펜트스피어
308	-1	5	2	0	0	0	0	2	0	1	0	3	//독사지팡이
308	-1	5	3	0	0	0	0	2	0	1	0	3	//번개지팡이
308	-1	5	15	0	0	0	0	2	0	1	0	3	//바이올렌윈드스틱
308	-1	6	7	0	0	0	0	2	0	1	0	3	//스파이크방패
308	-1	6	5	0	0	0	0	2	0	1	0	3	//드래곤슬레이어방패
308	-1	6	8	0	0	0	0	2	0	1	0	3	//타워방패
308	-1	6	31	0	0	0	0	2	0	1	0	3	//알라크란실드
308	-1	6	11	0	0	0	0	2	0	1	0	3	//서펜트방패
308	-1	8	91	0	0	0	0	2	0	1	0	3	//로우버스트갑옷
308	-1	8	39	0	0	0	0	2	0	1	0	3	//바이올렌윈드갑옷
308	-1	9	39	0	0	0	0	2	0	1	0	3	//바이올렌윈드바지
308	-1	8	12	0	0	0	0	2	0	1	0	3	//바람의갑옷
308	-1	9	12	0	0	0	0	2	0	1	0	3	//바람의바지
308	-1	7	7	0	0	0	0	2	0	1	0	3	//스핑크스마스크
308	-1	8	7	0	0	0	0	2	0	1	0	3	//스핑크스갑옷
308	-1	9	7	0	0	0	0	2	0	1	0	3	//스핑크스바지
308	-1	11	7	0	0	0	0	2	0	1	0	3	//스핑크스부츠
308	-1	7	8	0	0	0	0	2	0	1	0	3	//황동헬멧
308	-1	8	8	0	0	0	0	2	0	1	0	3	//황동갑옷
308	-1	10	8	0	0	0	0	2	0	1	0	3	//황동장갑
308	-1	9	8	0	0	0	0	2	0	1	0	3	//황동바지
308	-1	11	8	0	0	0	0	2	0	1	0	3	//황동부츠
308	-1	7	13	0	0	0	0	2	0	1	0	3	//정령헬멧
308	-1	10	13	0	0	0	0	2	0	1	0	3	//정령장갑
308	-1	9	13	0	0	0	0	2	0	1	0	3	//정령바지
308	-1	11	13	0	0	0	0	2	0	1	0	3	//정령부츠
308	-1	10	92	0	0	0	0	2	0	1	0	3	//그루힐장갑
308	-1	7	9	0	0	0	0	2	0	1	0	3	//철판헬멧
308	-1	10	9	0	0	0	0	2	0	1	0	3	//철판장갑
308	-1	9	9	0	0	0	0	2	0	1	0	3	//철판바지
308	-1	11	9	0	0	0	0	2	0	1	0	3	//철판부츠
308	-1	7	25	0	0	0	0	2	0	1	0	3	//라운드마스크
308	-1	10	25	0	0	0	0	2	0	1	0	3	//라운드장갑
308	-1	11	25	0	0	0	0	2	0	1	0	3	//라운드부츠
308	-1	10	3	0	0	0	0	2	0	1	0	3	//전설의장갑
308	-1	11	3	0	0	0	0	2	0	1	0	3	//전설의부츠
308	-1	11	40	0	0	0	0	2	0	1	0	3	//레드윙부츠
//포레스트오크													180
307	-1	2	4	0	0	0	2	2	0	0	0	662	//크리스탈모닝스타
307	-1	4	5	0	0	0	2	2	0	0	0	662	//실버보우
307	-1	4	13	0	0	0	2	2	0	0	0	662	//블루윙석궁
307	-1	4	14	0	0	0	2	2	0	0	0	662	//아쿠아골드석궁
307	-1	0	12	0	0	0	2	2	0	0	0	662	//태양검
307	-1	0	14	0	0	0	2	2	0	0	0	662	//번개검
307	-1	2	5	0	0	0	2	2	0	0	0	662	//크리스탈검
307	-1	3	14	0	0	0	2	2	0	0	0	662	//콘모시온랜스
307	-1	3	18	0	0	0	2	2	0	0	0	662	//알라크란랜스
307	-1	3	9	0	0	0	2	2	0	0	0	662	//발록의낫
307	-1	5	5	0	0	0	2	2	0	0	0	662	//전설의지팡이
307	-1	5	6	0	0	0	2	2	0	0	0	662	//부활의지팡이
307	-1	5	16	0	0	0	2	2	0	0	0	662	//레드윙스틱
307	-1	5	22	0	0	0	2	2	0	0	0	662	//닐의서
307	-1	5	23	0	0	0	2	2	0	0	0	662	//라글의서
307	-1	2	9	0	0	0	2	2	0	0	0	662	//마스터셉터
307	-1	6	13	0	0	0	2	2	0	0	0	662	//드라곤방패
307	-1	6	16	0	0	0	2	2	0	0	0	662	//엘리멘탈방패
307	-1	6	21	0	0	0	2	2	0	0	0	662	//크로스실드
307	-1	6	30	0	0	0	2	2	0	0	0	662	//플루마실드
307	-1	6	15	0	0	0	2	2	0	0	0	662	//그랜드소울방패
307	-1	8	92	0	0	0	0	2	0	0	0	662	//그루힐갑옷
307	-1	8	25	0	0	0	0	2	0	0	0	662	//라운드갑옷
307	-1	8	3	0	0	0	0	2	0	0	0	662	//전설의갑옷
307	-1	8	40	0	0	0	0	2	0	0	0	662	//레드윙갑옷
307	-1	8	14	0	0	0	0	2	0	0	0	662	//수호갑옷
307	-1	8	59	0	0	0	0	2	0	0	0	662	//세크리드파이어갑옷
307	-1	9	59	0	0	0	0	2	0	0	0	662	//세크리드파이어바지
307	-1	7	1	0	0	0	0	2	0	0	0	662	//드라곤투구
307	-1	8	1	0	0	0	0	2	0	0	0	662	//드라곤갑옷
307	-1	7	26	0	0	0	0	2	0	0	0	662	//다크소울마스크
307	-1	10	26	0	0	0	0	2	0	0	0	662	//다크소울장갑
307	-1	9	26	0	0	0	0	2	0	0	0	662	//다크소울바지
307	-1	11	26	0	0	0	0	2	0	0	0	662	//다크소울부츠
307	-1	10	93	0	0	0	0	2	0	0	0	662	//프린시장갑
307	-1	9	93	0	0	0	0	2	0	0	0	662	//프린시바지
307	-1	11	93	0	0	0	0	2	0	0	0	662	//프린시부츠
307	-1	7	34	0	0	0	0	2	0	0	0	662	//애쉬크로우헬멧
307	-1	10	34	0	0	0	0	2	0	0	0	662	//애쉬크로우장갑
307	-1	9	34	0	0	0	0	2	0	0	0	662	//애쉬크로우바지
307	-1	11	34	0	0	0	0	2	0	0	0	662	//애쉬크로우부츠
307	-1	7	35	0	0	0	0	2	0	0	0	662	//이클립스헬멧
307	-1	10	35	0	0	0	0	2	0	0	0	662	//이클립스장갑
