//////////////////////////////////////////////////////////////////////////////////////												
// [크라이울프]	EachMonsterBag34											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//* 펜릴뿔피리 재료 드롭												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//해머스카우트 97												
310	-1	2	7	0	0	0	2	2	0	0	0	1615
310	-1	4	16	0	0	0	2	2	0	0	0	1615
310	-1	4	17	0	0	0	2	2	0	0	0	1615
310	-1	0	16	0	0	0	2	2	0	0	0	1615
310	-1	0	33	0	0	0	2	2	0	0	0	1615
310	-1	3	15	0	0	0	2	2	0	0	0	1615
310	-1	3	16	0	0	0	2	2	0	0	0	1615
310	-1	3	10	0	0	0	2	2	0	0	0	1615
310	-1	5	8	0	0	0	2	2	0	0	0	1615
310	-1	2	10	0	0	0	2	2	0	0	0	1615
310	-1	8	93	0	0	0	0	2	0	0	0	1615
310	-1	8	60	0	0	0	0	2	0	0	0	1615
310	-1	8	15	0	0	0	0	2	0	0	0	1615
310	-1	7	18	0	0	0	0	2	0	0	0	1615
310	-1	8	18	0	0	0	0	2	0	0	0	1615
310	-1	9	18	0	0	0	0	2	0	0	0	1615
310	-1	7	42	0	0	0	0	2	0	0	0	1615
310	-1	8	42	0	0	0	0	2	0	0	0	1615
310	-1	9	42	0	0	0	0	2	0	0	0	1615
310	-1	7	19	0	0	0	0	2	0	0	0	1615
310	-1	8	19	0	0	0	0	2	0	0	0	1615
310	-1	9	19	0	0	0	0	2	0	0	0	1615
310	-1	11	19	0	0	0	0	2	0	0	0	1615
310	-1	7	27	0	0	0	0	2	0	0	0	1615
310	-1	8	27	0	0	0	0	2	0	0	0	1615
310	-1	9	27	0	0	0	0	2	0	0	0	1615
310	-1	11	27	0	0	0	0	2	0	0	0	1615
310	-1	7	16	0	0	0	0	2	0	0	0	1615
