//////////////////////////////////////////////////////////////////////////////////////												
// [칼리마7]	EachMonsterBag36											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//*신규 액세서리	몬스터 속성											
//* 수호보석												
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//이시스7 111												
331	-1	4	19	0	0	0	2	2	0	0	0	3285
331	-1	4	22	0	0	0	2	2	0	0	0	3285
331	-1	0	31	0	0	0	2	2	0	0	0	3285
331	-1	0	17	0	0	0	2	2	0	0	0	3285
331	-1	0	18	0	0	0	2	2	0	0	0	3285
331	-1	0	34	0	0	0	2	2	0	0	0	3285
331	-1	5	9	0	0	0	2	2	0	0	0	3285
331	-1	5	13	0	0	0	2	2	0	0	0	3285
331	-1	5	18	0	0	0	2	2	0	0	0	3285
331	-1	2	11	0	0	0	2	2	0	0	0	3285
331	-1	2	15	0	0	0	2	2	0	0	0	3285
331	-1	8	27	0	0	0	0	2	0	0	0	3285
331	-1	8	94	0	0	0	0	2	0	0	0	3285
331	-1	9	94	0	0	0	0	2	0	0	0	3285
331	-1	8	95	0	0	0	0	2	0	0	0	3285
331	-1	9	95	0	0	0	0	2	0	0	0	3285
331	-1	8	61	0	0	0	0	2	0	0	0	3285
331	-1	9	61	0	0	0	0	2	0	0	0	3285
331	-1	7	24	0	0	0	0	2	0	0	0	3285
331	-1	8	24	0	0	0	0	2	0	0	0	3285
331	-1	9	24	0	0	0	0	2	0	0	0	3285
331	-1	8	17	0	0	0	0	2	0	0	0	3285
331	-1	9	17	0	0	0	0	2	0	0	0	3285
331	-1	11	17	0	0	0	0	2	0	0	0	3285
331	-1	7	22	0	0	0	0	2	0	0	0	3285
331	-1	11	22	0	0	0	0	2	0	0	0	3285
331	-1	8	20	0	0	0	0	2	0	0	0	3285
331	-1	9	20	0	0	0	0	2	0	0	0	3285
331	-1	7	28	0	0	0	0	2	0	0	0	3285
331	-1	9	28	0	0	0	0	2	0	0	0	3285
331	-1	11	28	0	0	0	0	2	0	0	0	3285
331	-1	8	37	0	0	0	0	2	0	0	0	3285
331	-1	9	37	0	0	0	0	2	0	0	0	3285
331	-1	11	37	0	0	0	0	2	0	0	0	3285
331	-1	7	38	0	0	0	0	2	0	0	0	3285
