//////////////////////////////////////////////////////////////////////////////////////													
// [칸투르 폐허]	EachMonsterBag37												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//* 보석 원석	몬스터 속성												
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//스플린터울프													180
351	-1	2	4	0	0	0	2	2	0	0	0	741	//크리스탈모닝스타
351	-1	4	13	0	0	0	2	2	0	0	0	741	//블루윙석궁
351	-1	4	14	0	0	0	2	2	0	0	0	741	//아쿠아골드석궁
351	-1	2	5	0	0	0	2	2	0	0	0	741	//크리스탈검
351	-1	3	14	0	0	0	2	2	0	0	0	741	//콘모시온랜스
351	-1	3	18	0	0	0	2	2	0	0	0	741	//알라크란랜스
351	-1	3	9	0	0	0	2	2	0	0	0	741	//발록의낫
351	-1	5	6	0	0	0	2	2	0	0	0	741	//부활의지팡이
351	-1	5	17	0	0	0	2	2	0	0	0	741	//에이션트스틱
351	-1	5	23	0	0	0	2	2	0	0	0	741	//라글의서
351	-1	2	9	0	0	0	2	2	0	0	0	741	//마스터셉터
351	-1	6	16	0	0	0	2	2	0	0	0	741	//엘리멘탈방패
351	-1	6	21	0	0	0	2	2	0	0	0	741	//크로스실드
351	-1	6	30	0	0	0	2	2	0	0	0	741	//플루마실드
351	-1	6	15	0	0	0	2	2	0	0	0	741	//그랜드소울방패
351	-1	6	32	0	0	0	2	2	0	0	0	741	//비스실드
351	-1	8	25	0	0	0	0	2	0	0	0	741	//라운드갑옷
351	-1	8	59	0	0	0	0	2	0	0	0	741	//세크리드파이어갑옷
351	-1	9	59	0	0	0	0	2	0	0	0	741	//세크리드파이어바지
351	-1	7	26	0	0	0	0	2	0	0	0	741	//다크소울마스크
351	-1	8	26	0	0	0	0	2	0	0	0	741	//다크소울갑옷
351	-1	9	26	0	0	0	0	2	0	0	0	741	//다크소울바지
351	-1	7	93	0	0	0	0	2	0	0	0	741	//프린시헬멧
351	-1	8	93	0	0	0	0	2	0	0	0	741	//프린시갑옷
351	-1	9	93	0	0	0	0	2	0	0	0	741	//프린시바지
351	-1	11	93	0	0	0	0	2	0	0	0	741	//프린시부츠
351	-1	7	34	0	0	0	0	2	0	0	0	741	//애쉬크로우헬멧
351	-1	8	34	0	0	0	0	2	0	0	0	741	//애쉬크로우갑옷
351	-1	9	34	0	0	0	0	2	0	0	0	741	//애쉬크로우바지
351	-1	11	34	0	0	0	0	2	0	0	0	741	//애쉬크로우부츠
351	-1	7	35	0	0	0	0	2	0	0	0	741	//이클립스헬멧
351	-1	8	35	0	0	0	0	2	0	0	0	741	//이클립스갑옷
351	-1	9	35	0	0	0	0	2	0	0	0	741	//이클립스바지
351	-1	11	35	0	0	0	0	2	0	0	0	741	//이클립스부츠
351	-1	7	36	0	0	0	0	2	0	0	0	741	//아이리스헬멧
351	-1	8	36	0	0	0	0	2	0	0	0	741	//아이리스갑옷
351	-1	9	36	0	0	0	0	2	0	0	0	741	//아이리스바지
351	-1	11	36	0	0	0	0	2	0	0	0	741	//아이리스부츠
351	-1	7	41	0	0	0	0	2	0	0	0	741	//에이션트헬멧
351	-1	8	41	0	0	0	0	2	0	0	0	741	//에이션트갑옷
351	-1	9	41	0	0	0	0	2	0	0	0	741	//에이션트바지
351	-1	11	41	0	0	0	0	2	0	0	0	741	//에이션트부츠
351	-1	7	60	0	0	0	0	2	0	0	0	741	//스톰자하드투구
351	-1	9	60	0	0	0	0	2	0	0	0	741	//스톰자하드바지
351	-1	11	60	0	0	0	0	2	0	0	0	741	//스톰자하드부츠
351	-1	8	15	0	0	0	0	2	0	0	0	741	//아틀란스갑옷
351	-1	10	15	0	0	0	0	2	0	0	0	741	//아틀란스장갑
351	-1	9	15	0	0	0	0	2	0	0	0	741	//아틀란스바지
351	-1	11	15	0	0	0	0	2	0	0	0	741	//아틀란스부츠
351	-1	10	18	0	0	0	0	2	0	0	0	741	//그랜드소울장갑
351	-1	11	18	0	0	0	0	2	0	0	0	741	//그랜드소울부츠
351	-1	10	42	0	0	0	0	2	0	0	0	741	//데모닉장갑
351	-1	11	42	0	0	0	0	2	0	0	0	741	//데모닉부츠
351	-1	10	19	0	0	0	0	2	0	0	0	741	//홀리스프릿장갑
351	-1	10	27	0	0	0	0	2	0	0	0	741	//다크브리즌장갑
351	-1	10	16	0	0	0	0	2	0	0	0	741	//블랙드라곤장갑
351	-1	11	16	0	0	0	0	2	0	0	0	741	//블랙드라곤부츠
351	-1	15	14	0	0	0	0	0	0	0	0	100	//텔레키네시스법서
351	-1	12	18	0	0	0	0	0	0	0	0	100	//아이스애로우구슬
351	-1	15	26	0	0	0	0	0	0	0	0	100	//위크니스양피지
351	-1	15	17	0	0	0	0	0	0	0	0	100	//서든아이스법서
351	-1	15	27	0	0	0	0	0	0	0	0	100	//이너베이션양피지
351	-1	12	277	0	0	0	0	0	0	0	0	100	//브래쉬스크롤
//스플린터울프 엑설런트													
351	-1	4	32	0	0	0	0	2	0	1	0	2	//전투화살통
351	-1	1	7	0	0	0	0	2	0	1	0	2	//라르칸도끼
351	-1	1	8	0	0	0	0	2	0	1	0	2	//반월도끼
351	-1	2	3	0	0	0	0	2	0	1	0	2	//그레이트해머
351	-1	4	4	0	0	0	0	2	0	1	0	2	//타이거보우
351	-1	4	12	0	0	0	0	2	0	1	0	2	//서펜트석궁
351	-1	0	10	0	0	0	0	2	0	1	0	2	//빛의검
351	-1	0	11	0	0	0	0	2	0	1	0	2	//전설의검
351	-1	0	13	0	0	0	0	2	0	1	0	2	//더블블레이드
351	-1	0	15	0	0	0	0	2	0	1	0	2	//거대한검
351	-1	0	32	0	0	0	0	2	0	1	0	2	//세크리드글러브
351	-1	3	7	0	0	0	0	2	0	1	0	2	//버디슈
351	-1	3	0	0	0	0	0	2	0	1	0	2	//광선봉
351	-1	3	4	0	0	0	0	2	0	1	0	2	//서펜트스피어
351	-1	3	8	0	0	0	0	2	0	1	0	2	//그레이트사이드
351	-1	5	3	0	0	0	0	2	0	1	0	2	//번개지팡이
351	-1	5	4	0	0	0	0	2	0	1	0	2	//고르곤지팡이
351	-1	5	15	0	0	0	0	2	0	1	0	2	//바이올렌윈드스틱
351	-1	5	21	0	0	0	0	2	0	1	0	2	//사아무트의서
351	-1	2	8	0	0	0	0	2	0	1	0	2	//배틀셉터
351	-1	6	8	0	0	0	0	2	0	1	0	2	//타워방패
351	-1	6	31	0	0	0	0	2	0	1	0	2	//알라크란실드
351	-1	6	11	0	0	0	0	2	0	1	0	2	//서펜트방패
351	-1	6	14	0	0	0	0	2	0	1	0	2	//전설의방패
351	-1	6	12	0	0	0	0	2	0	1	0	2	//브론즈방패
351	-1	8	7	0	0	0	0	2	0	1	0	2	//스핑크스갑옷
351	-1	8	8	0	0	0	0	2	0	1	0	2	//황동갑옷
351	-1	7	13	0	0	0	0	2	0	1	0	2	//정령헬멧
351	-1	10	13	0	0	0	0	2	0	1	0	2	//정령장갑
351	-1	9	13	0	0	0	0	2	0	1	0	2	//정령바지
351	-1	11	13	0	0	0	0	2	0	1	0	2	//정령부츠
351	-1	7	92	0	0	0	0	2	0	1	0	2	//그루힐헬멧
351	-1	10	92	0	0	0	0	2	0	1	0	2	//그루힐장갑
351	-1	9	92	0	0	0	0	2	0	1	0	2	//그루힐바지
351	-1	7	9	0	0	0	0	2	0	1	0	2	//철판헬멧
351	-1	8	9	0	0	0	0	2	0	1	0	2	//철판갑옷
351	-1	10	9	0	0	0	0	2	0	1	0	2	//철판장갑
351	-1	9	9	0	0	0	0	2	0	1	0	2	//철판바지
351	-1	11	9	0	0	0	0	2	0	1	0	2	//철판부츠
351	-1	7	25	0	0	0	0	2	0	1	0	2	//라운드마스크
351	-1	10	25	0	0	0	0	2	0	1	0	2	//라운드장갑
351	-1	9	25	0	0	0	0	2	0	1	0	2	//라운드바지
351	-1	11	25	0	0	0	0	2	0	1	0	2	//라운드부츠
351	-1	7	3	0	0	0	0	2	0	1	0	2	//전설의헬멧
351	-1	9	3	0	0	0	0	2	0	1	0	2	//전설의바지
351	-1	11	3	0	0	0	0	2	0	1	0	2	//전설의부츠
351	-1	7	40	0	0	0	0	2	0	1	0	2	//레드윙헬멧
351	-1	9	40	0	0	0	0	2	0	1	0	2	//레드윙바지
351	-1	11	40	0	0	0	0	2	0	1	0	2	//레드윙부츠
351	-1	7	59	0	0	0	0	2	0	1	0	2	//세크리드파이어투구
351	-1	11	59	0	0	0	0	2	0	1	0	2	//세크리드파이어부츠
351	-1	7	14	0	0	0	0	2	0	1	0	2	//수호헬멧
351	-1	10	14	0	0	0	0	2	0	1	0	2	//수호장갑
351	-1	9	14	0	0	0	0	2	0	1	0	2	//수호바지
351	-1	11	14	0	0	0	0	2	0	1	0	2	//수호부츠
351	-1	10	1	0	0	0	0	2	0	1	0	2	//드라곤장갑
351	-1	9	1	0	0	0	0	2	0	1	0	2	//드라곤바지
351	-1	11	1	0	0	0	0	2	0	1	0	2	//드라곤부츠
//아이언라이더 82													180
352	-1	2	4	0	0	0	2	2	0	0	0	650	//크리스탈모닝스타
352	-1	4	13	0	0	0	2	2	0	0	0	650	//블루윙석궁
352	-1	4	14	0	0	0	2	2	0	0	0	650	//아쿠아골드석궁
352	-1	2	5	0	0	0	2	2	0	0	0	650	//크리스탈검
352	-1	0	16	0	0	0	2	2	0	0	0	650	//파괴의검
352	-1	0	33	0	0	0	2	2	0	0	0	650	//홀리스톰클로
352	-1	3	14	0	0	0	2	2	0	0	0	650	//콘모시온랜스
352	-1	3	18	0	0	0	2	2	0	0	0	650	//알라크란랜스
352	-1	5	6	0	0	0	2	2	0	0	0	650	//부활의지팡이
352	-1	5	17	0	0	0	2	2	0	0	0	650	//에이션트스틱
352	-1	5	23	0	0	0	2	2	0	0	0	650	//라글의서
352	-1	2	9	0	0	0	2	2	0	0	0	650	//마스터셉터
352	-1	2	10	0	0	0	2	2	0	0	0	650	//그레이트셉터
352	-1	6	16	0	0	0	2	2	0	0	0	650	//엘리멘탈방패
352	-1	6	21	0	0	0	2	2	0	0	0	650	//크로스실드
352	-1	6	30	0	0	0	2	2	0	0	0	650	//플루마실드
352	-1	6	15	0	0	0	2	2	0	0	0	650	//그랜드소울방패
352	-1	6	32	0	0	0	2	2	0	0	0	650	//비스실드
352	-1	8	59	0	0	0	0	2	0	0	0	650	//세크리드파이어갑옷
352	-1	7	26	0	0	0	0	2	0	0	0	650	//다크소울마스크
352	-1	8	26	0	0	0	0	2	0	0	0	650	//다크소울갑옷
352	-1	9	26	0	0	0	0	2	0	0	0	650	//다크소울바지
352	-1	7	93	0	0	0	0	2	0	0	0	650	//프린시헬멧
352	-1	8	93	0	0	0	0	2	0	0	0	650	//프린시갑옷
352	-1	9	93	0	0	0	0	2	0	0	0	650	//프린시바지
352	-1	11	93	0	0	0	0	2	0	0	0	650	//프린시부츠
352	-1	7	34	0	0	0	0	2	0	0	0	650	//애쉬크로우헬멧
352	-1	8	34	0	0	0	0	2	0	0	0	650	//애쉬크로우갑옷
352	-1	9	34	0	0	0	0	2	0	0	0	650	//애쉬크로우바지
352	-1	11	34	0	0	0	0	2	0	0	0	650	//애쉬크로우부츠
352	-1	7	35	0	0	0	0	2	0	0	0	650	//이클립스헬멧
352	-1	8	35	0	0	0	0	2	0	0	0	650	//이클립스갑옷
