//////////////////////////////////////////////////////////////////////////////////////													
// [로스트타워]	EachMonsterBag4												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//쉐도우													
36	-1	1	5	0	0	0	2	2	0	0	0	3839	//전투도끼
36	-1	1	6	0	0	0	2	2	0	0	0	3839	//니케아도끼
36	-1	1	7	0	0	0	2	2	0	0	0	3839	//라르칸도끼
36	-1	2	3	0	0	0	2	2	0	0	0	3839	//그레이트해머
36	-1	4	11	0	0	0	2	2	0	0	0	3839	//빛의석궁
36	-1	4	4	0	0	0	2	2	0	0	0	3839	//타이거보우
36	-1	0	8	0	0	0	2	2	0	0	0	3839	//서펜트볼그
36	-1	0	9	0	0	0	2	2	0	0	0	3839	//셀러멘더검
36	-1	0	5	0	0	0	2	2	0	0	0	3839	//블레이드
36	-1	0	10	0	0	0	2	2	0	0	0	3839	//빛의검
36	-1	0	11	0	0	0	2	2	0	0	0	3839	//전설의검
36	-1	3	3	0	0	0	2	2	0	0	0	3839	//큰삼지창
36	-1	3	7	0	0	0	2	2	0	0	0	3839	//버디슈
36	-1	3	0	0	0	0	2	2	0	0	0	3839	//광선봉
36	-1	3	4	0	0	0	2	2	0	0	0	3839	//서펜트스피어
36	-1	5	2	0	0	0	2	2	0	0	0	3839	//독사지팡이
36	-1	5	3	0	0	0	2	2	0	0	0	3839	//번개지팡이
36	-1	5	15	0	0	0	2	2	0	0	0	3839	//바이올렌윈드스틱
36	-1	6	7	0	0	0	2	2	0	0	0	3839	//스파이크방패
36	-1	6	5	0	0	0	2	2	0	0	0	3839	//드래곤슬레이어방패
36	-1	6	8	0	0	0	2	2	0	0	0	3839	//타워방패
36	-1	6	11	0	0	0	2	2	0	0	0	3839	//서펜트방패
