//////////////////////////////////////////////////////////////////////////////////////												
// [GM맵]	EachMonsterBag40											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
//몬스터 인덱스	아이템 타입	몬스터 속성	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//거미												
3	-1	1	0	0	0	0	2	2	0	0	0	205740
3	-1	4	0	0	0	0	2	2	0	0	0	205740
3	-1	14	0	0	0	0	0	0	0	0	0	3145
3	-1	14	0	0	0	2	0	0	0	0	0	3145
//버지드래곤												
2	-1	1	0	0	0	0	2	2	0	0	0	41259
2	-1	4	0	0	0	0	2	2	0	0	0	41259
2	-1	4	8	0	0	0	2	2	0	0	0	41259
2	-1	0	1	0	0	0	2	2	0	0	0	41259
2	-1	1	1	0	0	0	2	2	0	0	0	41259
2	-1	6	0	0	0	0	2	2	0	0	0	41259
2	-1	10	2	0	0	0	0	2	0	0	0	41259
2	-1	11	2	0	0	0	0	2	0	0	0	41259
2	-1	10	5	0	0	0	0	2	0	0	0	41259
2	-1	10	10	0	0	0	0	2	0	0	0	41259
2	-1	14	0	0	0	0	0	0	0	0	0	2330
2	-1	14	0	0	0	2	0	0	0	0	0	2330
2	-1	14	10	0	0	0	0	0	0	0	0	515
//소뿔전사 대장			6322									
4	-1	1	0	0	0	0	2	2	0	0	0	10523
4	-1	1	1	0	0	0	2	2	0	0	0	10523
4	-1	2	0	0	0	0	2	2	0	0	0	10523
4	-1	4	0	0	0	0	2	2	0	0	0	10523
4	-1	4	8	0	0	0	2	2	0	0	0	10523
4	-1	4	1	0	0	0	2	2	0	0	0	10523
4	-1	4	9	0	0	0	2	2	0	0	0	10523
4	-1	0	1	0	0	0	2	2	0	0	0	10523
4	-1	0	0	0	0	0	2	2	0	0	0	10523
4	-1	0	2	0	0	0	2	2	0	0	0	10523
4	-1	0	4	0	0	0	2	2	0	0	0	10523
4	-1	5	0	0	0	0	2	2	0	0	0	10523
4	-1	6	0	0	0	0	2	2	0	0	0	10523
4	-1	6	4	0	0	0	2	2	0	0	0	10523
4	-1	6	1	0	0	0	2	2	0	0	0	10523
4	-1	6	2	0	0	0	2	2	0	0	0	10523
4	-1	7	2	0	0	0	0	2	0	0	0	10523
4	-1	8	2	0	0	0	0	2	0	0	0	10523
4	-1	10	2	0	0	0	0	2	0	0	0	10523
4	-1	9	2	0	0	0	0	2	0	0	0	10523
4	-1	11	2	0	0	0	0	2	0	0	0	10523
4	-1	7	5	0	0	0	0	2	0	0	0	10523
4	-1	8	5	0	0	0	0	2	0	0	0	10523
4	-1	10	5	0	0	0	0	2	0	0	0	10523
4	-1	9	5	0	0	0	0	2	0	0	0	10523
4	-1	11	5	0	0	0	0	2	0	0	0	10523
4	-1	7	10	0	0	0	0	2	0	0	0	10523
