//////////////////////////////////////////////////////////////////////////////////////												
// [엘베란드]	EachMonsterBag51											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//거미												
3	-1	1	0	0	0	0	2	2	0	0	0	205740
3	-1	4	0	0	0	0	2	2	0	0	0	205740
3	-1	14	0	0	0	0	0	0	0	0	0	3145
3	-1	14	0	0	0	2	0	0	0	0	0	3145
//기괴한토끼												831770
418	-1	1	0	0	0	0	2	2	0	0	0	41136
418	-1	1	1	0	0	0	2	2	0	0	0	41136
418	-1	4	0	0	0	0	2	2	0	0	0	41136
418	-1	4	8	0	0	0	2	2	0	0	0	41136
418	-1	0	1	0	0	0	2	2	0	0	0	41136
418	-1	6	0	0	0	0	2	2	0	0	0	41136
418	-1	10	2	0	0	0	0	2	0	0	0	41136
418	-1	11	2	0	0	0	0	2	0	0	0	41136
418	-1	10	5	0	0	0	0	2	0	0	0	41136
418	-1	10	10	0	0	0	0	2	0	0	0	41136
418	-1	14	0	0	0	2	0	0	0	0	0	2260
418	-1	14	10	0	0	0	0	0	0	0	0	20000
//오염된나비												717110
421	-1	1	0	0	0	0	2	2	0	0	0	9148
421	-1	1	1	0	0	0	2	2	0	0	0	9148
421	-1	2	0	0	0	0	2	2	0	0	0	9148
421	-1	2	1	0	0	0	2	2	0	0	0	9148
421	-1	4	0	0	0	0	2	2	0	0	0	9148
421	-1	4	8	0	0	0	2	2	0	0	0	9148
421	-1	4	1	0	0	0	2	2	0	0	0	9148
421	-1	4	9	0	0	0	2	2	0	0	0	9148
421	-1	0	1	0	0	0	2	2	0	0	0	9148
421	-1	0	0	0	0	0	2	2	0	0	0	9148
421	-1	0	2	0	0	0	2	2	0	0	0	9148
421	-1	0	4	0	0	0	2	2	0	0	0	9148
421	-1	3	5	0	0	0	2	2	0	0	0	9148
421	-1	5	0	0	0	0	2	2	0	0	0	9148
421	-1	6	0	0	0	0	2	2	0	0	0	9148
421	-1	6	4	0	0	0	2	2	0	0	0	9148
421	-1	6	1	0	0	0	2	2	0	0	0	9148
421	-1	6	2	0	0	0	2	2	0	0	0	9148
421	-1	6	29	0	0	0	2	2	0	0	0	9148
421	-1	7	2	0	0	0	0	2	0	0	0	9148
421	-1	8	2	0	0	0	0	2	0	0	0	9148
421	-1	10	2	0	0	0	0	2	0	0	0	9148
421	-1	9	2	0	0	0	0	2	0	0	0	9148
421	-1	11	2	0	0	0	0	2	0	0	0	9148
421	-1	7	5	0	0	0	0	2	0	0	0	9148
421	-1	8	5	0	0	0	0	2	0	0	0	9148
421	-1	10	5	0	0	0	0	2	0	0	0	9148
421	-1	9	5	0	0	0	0	2	0	0	0	9148
421	-1	11	5	0	0	0	0	2	0	0	0	9148
421	-1	7	10	0	0	0	0	2	0	0	0	9148
421	-1	8	10	0	0	0	0	2	0	0	0	9148
421	-1	10	10	0	0	0	0	2	0	0	0	9148
421	-1	9	10	0	0	0	0	2	0	0	0	9148
421	-1	11	10	0	0	0	0	2	0	0	0	9148
421	-1	10	0	0	0	0	0	2	0	0	0	9148
421	-1	11	0	0	0	0	0	2	0	0	0	9148
421	-1	10	91	0	0	0	0	2	0	0	0	9148
421	-1	13	13	0	0	0	0	0	2	0	0	9148
421	-1	15	3	0	0	0	0	0	0	0	0	20000
421	-1	15	10	0	0	0	0	0	0	0	0	20000
421	-1	15	2	0	0	0	0	0	0	0	0	20000
421	-1	15	1	0	0	0	0	0	0	0	0	20000
421	-1	15	6	0	0	0	0	0	0	0	0	20000
421	-1	14	1	0	0	0	0	0	0	0	0	20000
421	-1	14	4	0	0	0	0	0	0	0	0	20000
421	-1	14	8	0	0	0	0	0	0	0	0	20000
421	-1	14	10	0	0	0	0	0	0	0	0	20000
//흉측한토끼												624890
419	-1	1	1	0	0	0	2	2	0	0	0	5219
419	-1	1	2	0	0	0	2	2	0	0	0	5219
419	-1	1	3	0	0	0	2	2	0	0	0	5219
419	-1	2	0	0	0	0	2	2	0	0	0	5219
419	-1	2	1	0	0	0	2	2	0	0	0	5219
419	-1	4	0	0	0	0	2	2	0	0	0	5219
419	-1	4	8	0	0	0	2	2	0	0	0	5219
419	-1	4	1	0	0	0	2	2	0	0	0	5219
419	-1	4	9	0	0	0	2	2	0	0	0	5219
419	-1	4	2	0	0	0	2	2	0	0	0	5219
419	-1	0	1	0	0	0	2	2	0	0	0	5219
419	-1	0	0	0	0	0	2	2	0	0	0	5219
419	-1	0	2	0	0	0	2	2	0	0	0	5219
419	-1	0	4	0	0	0	2	2	0	0	0	5219
419	-1	0	3	0	0	0	2	2	0	0	0	5219
419	-1	3	2	0	0	0	2	2	0	0	0	5219
419	-1	3	13	0	0	0	2	2	0	0	0	5219
419	-1	3	5	0	0	0	2	2	0	0	0	5219
419	-1	3	6	0	0	0	2	2	0	0	0	5219
419	-1	5	0	0	0	0	2	2	0	0	0	5219
419	-1	5	1	0	0	0	2	2	0	0	0	5219
419	-1	6	0	0	0	0	2	2	0	0	0	5219
419	-1	6	4	0	0	0	2	2	0	0	0	5219
419	-1	6	1	0	0	0	2	2	0	0	0	5219
419	-1	6	2	0	0	0	2	2	0	0	0	5219
419	-1	6	29	0	0	0	2	2	0	0	0	5219
419	-1	6	6	0	0	0	2	2	0	0	0	5219
419	-1	6	10	0	0	0	2	2	0	0	0	5219
419	-1	7	2	0	0	0	0	2	0	0	0	5219
419	-1	8	2	0	0	0	0	2	0	0	0	5219
419	-1	10	2	0	0	0	0	2	0	0	0	5219
419	-1	9	2	0	0	0	0	2	0	0	0	5219
419	-1	11	2	0	0	0	0	2	0	0	0	5219
419	-1	7	5	0	0	0	0	2	0	0	0	5219
419	-1	8	5	0	0	0	0	2	0	0	0	5219
419	-1	10	5	0	0	0	0	2	0	0	0	5219
419	-1	9	5	0	0	0	0	2	0	0	0	5219
419	-1	11	5	0	0	0	0	2	0	0	0	5219
419	-1	7	10	0	0	0	0	2	0	0	0	5219
419	-1	8	10	0	0	0	0	2	0	0	0	5219
419	-1	10	10	0	0	0	0	2	0	0	0	5219
419	-1	9	10	0	0	0	0	2	0	0	0	5219
419	-1	11	10	0	0	0	0	2	0	0	0	5219
419	-1	7	0	0	0	0	0	2	0	0	0	5219
419	-1	8	0	0	0	0	0	2	0	0	0	5219
419	-1	10	0	0	0	0	0	2	0	0	0	5219
419	-1	9	0	0	0	0	0	2	0	0	0	5219
419	-1	11	0	0	0	0	0	2	0	0	0	5219
419	-1	10	91	0	0	0	0	2	0	0	0	5219
419	-1	11	91	0	0	0	0	2	0	0	0	5219
419	-1	7	4	0	0	0	0	2	0	0	0	5219
419	-1	10	4	0	0	0	0	2	0	0	0	5219
419	-1	11	4	0	0	0	0	2	0	0	0	5219
419	-1	7	11	0	0	0	0	2	0	0	0	5219
419	-1	10	11	0	0	0	0	2	0	0	0	5219
419	-1	9	11	0	0	0	0	2	0	0	0	5219
419	-1	11	11	0	0	0	0	2	0	0	0	5219
419	-1	13	13	0	0	0	0	0	2	0	0	5219
419	-1	13	9	0	0	0	0	0	2	0	0	5219
419	-1	15	3	0	0	0	0	0	0	0	0	20000
419	-1	15	10	0	0	0	0	0	0	0	0	20000
419	-1	15	2	0	0	0	0	0	0	0	0	20000
419	-1	15	1	0	0	0	0	0	0	0	0	20000
419	-1	15	6	0	0	0	0	0	0	0	0	20000
419	-1	14	1	0	0	0	0	0	0	0	0	20000
419	-1	14	4	0	0	0	0	0	0	0	0	20000
419	-1	14	8	0	0	0	0	0	0	0	0	20000
419	-1	14	10	0	0	0	0	0	0	0	0	20000
//늑대인간												588780
420	-1	1	2	0	0	0	2	2	0	0	0	4524
420	-1	1	3	0	0	0	2	2	0	0	0	4524
420	-1	2	0	0	0	0	2	2	0	0	0	4524
420	-1	2	1	0	0	0	2	2	0	0	0	4524
420	-1	2	2	0	0	0	2	2	0	0	0	4524
420	-1	4	1	0	0	0	2	2	0	0	0	4524
420	-1	4	9	0	0	0	2	2	0	0	0	4524
420	-1	4	2	0	0	0	2	2	0	0	0	4524
420	-1	4	10	0	0	0	2	2	0	0	0	4524
420	-1	0	0	0	0	0	2	2	0	0	0	4524
420	-1	0	2	0	0	0	2	2	0	0	0	4524
420	-1	0	4	0	0	0	2	2	0	0	0	4524
420	-1	0	3	0	0	0	2	2	0	0	0	4524
420	-1	0	6	0	0	0	2	2	0	0	0	4524
420	-1	0	7	0	0	0	2	2	0	0	0	4524
420	-1	3	2	0	0	0	2	2	0	0	0	4524
420	-1	3	13	0	0	0	2	2	0	0	0	4524
420	-1	3	17	0	0	0	2	2	0	0	0	4524
420	-1	3	5	0	0	0	2	2	0	0	0	4524
420	-1	3	6	0	0	0	2	2	0	0	0	4524
420	-1	3	1	0	0	0	2	2	0	0	0	4524
420	-1	5	0	0	0	0	2	2	0	0	0	4524
420	-1	5	1	0	0	0	2	2	0	0	0	4524
420	-1	6	4	0	0	0	2	2	0	0	0	4524
420	-1	6	1	0	0	0	2	2	0	0	0	4524
420	-1	6	2	0	0	0	2	2	0	0	0	4524
420	-1	6	29	0	0	0	2	2	0	0	0	4524
420	-1	6	6	0	0	0	2	2	0	0	0	4524
420	-1	6	10	0	0	0	2	2	0	0	0	4524
420	-1	6	3	0	0	0	2	2	0	0	0	4524
420	-1	8	2	0	0	0	0	2	0	0	0	4524
420	-1	9	2	0	0	0	0	2	0	0	0	4524
420	-1	7	5	0	0	0	0	2	0	0	0	4524
420	-1	8	5	0	0	0	0	2	0	0	0	4524
420	-1	9	5	0	0	0	0	2	0	0	0	4524
420	-1	7	10	0	0	0	0	2	0	0	0	4524
420	-1	8	10	0	0	0	0	2	0	0	0	4524
420	-1	9	10	0	0	0	0	2	0	0	0	4524
420	-1	7	0	0	0	0	0	2	0	0	0	4524
420	-1	8	0	0	0	0	0	2	0	0	0	4524
420	-1	10	0	0	0	0	0	2	0	0	0	4524
420	-1	9	0	0	0	0	0	2	0	0	0	4524
420	-1	11	0	0	0	0	0	2	0	0	0	4524
420	-1	7	91	0	0	0	0	2	0	0	0	4524
420	-1	10	91	0	0	0	0	2	0	0	0	4524
420	-1	9	91	0	0	0	0	2	0	0	0	4524
420	-1	11	91	0	0	0	0	2	0	0	0	4524
420	-1	7	4	0	0	0	0	2	0	0	0	4524
420	-1	8	4	0	0	0	0	2	0	0	0	4524
420	-1	10	4	0	0	0	0	2	0	0	0	4524
420	-1	9	4	0	0	0	0	2	0	0	0	4524
420	-1	11	4	0	0	0	0	2	0	0	0	4524
420	-1	7	11	0	0	0	0	2	0	0	0	4524
420	-1	8	11	0	0	0	0	2	0	0	0	4524
420	-1	10	11	0	0	0	0	2	0	0	0	4524
420	-1	9	11	0	0	0	0	2	0	0	0	4524
420	-1	11	11	0	0	0	0	2	0	0	0	4524
420	-1	10	6	0	0	0	0	2	0	0	0	4524
420	-1	11	6	0	0	0	0	2	0	0	0	4524
420	-1	10	39	0	0	0	0	2	0	0	0	4524
