//////////////////////////////////////////////////////////////////////////////////////													
// [평온의늪]	EachMonsterBag56												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//사피우누스 95													180
441	-1	4	16	0	0	0	2	2	0	0	0	1256	//세인트크로스석궁
441	-1	4	17	0	0	0	2	2	0	0	0	1256	//홀리사이트보우
441	-1	0	16	0	0	0	2	2	0	0	0	1256	//파괴의검
441	-1	0	33	0	0	0	2	2	0	0	0	1256	//홀리스톰클로
441	-1	3	15	0	0	0	2	2	0	0	0	1256	//플루마랜스
441	-1	3	16	0	0	0	2	2	0	0	0	1256	//비스랜스
441	-1	3	10	0	0	0	2	2	0	0	0	1256	//드라곤스피어
441	-1	5	8	0	0	0	2	2	0	0	0	1256	//파멸의지팡이
441	-1	5	17	0	0	0	2	2	0	0	0	1256	//에이션트스틱
441	-1	2	10	0	0	0	2	2	0	0	0	1256	//그레이트셉터
441	-1	2	7	0	0	0	2	2	0	0	0	1256	//엘리멘탈메이스
441	-1	8	26	0	0	0	0	2	0	0	0	1256	//다크소울갑옷
441	-1	8	93	0	0	0	0	2	0	0	0	1256	//프린시갑옷
441	-1	8	60	0	0	0	0	2	0	0	0	1256	//스톰자하드갑옷
441	-1	9	60	0	0	0	0	2	0	0	0	1256	//스톰자하드바지
441	-1	8	15	0	0	0	0	2	0	0	0	1256	//아틀란스갑옷
441	-1	7	18	0	0	0	0	2	0	0	0	1256	//그랜드소울헬멧
441	-1	8	18	0	0	0	0	2	0	0	0	1256	//그랜드소울갑옷
441	-1	9	18	0	0	0	0	2	0	0	0	1256	//그랜드소울바지
441	-1	7	42	0	0	0	0	2	0	0	0	1256	//데모닉헬멧
441	-1	8	42	0	0	0	0	2	0	0	0	1256	//데모닉갑옷
441	-1	9	42	0	0	0	0	2	0	0	0	1256	//데모닉바지
441	-1	7	19	0	0	0	0	2	0	0	0	1256	//홀리스프릿헬멧
441	-1	8	19	0	0	0	0	2	0	0	0	1256	//홀리스프릿갑옷
441	-1	9	19	0	0	0	0	2	0	0	0	1256	//홀리스프릿바지
441	-1	11	19	0	0	0	0	2	0	0	0	1256	//홀리스프릿부츠
441	-1	7	27	0	0	0	0	2	0	0	0	1256	//다크브리즌마스크
441	-1	9	27	0	0	0	0	2	0	0	0	1256	//다크브리즌바지
441	-1	11	27	0	0	0	0	2	0	0	0	1256	//다크브리즌부츠
441	-1	7	16	0	0	0	0	2	0	0	0	1256	//블랙드라곤투구
441	-1	11	16	0	0	0	0	2	0	0	0	1256	//블랙드라곤부츠
441	-1	7	94	0	0	0	0	2	0	0	0	1256	//히라트헬멧
441	-1	10	94	0	0	0	0	2	0	0	0	1256	//히라트장갑
441	-1	9	94	0	0	0	0	2	0	0	0	1256	//히라트바지
441	-1	11	94	0	0	0	0	2	0	0	0	1256	//히라트부츠
441	-1	7	95	0	0	0	0	2	0	0	0	1256	//세이트헬멧
441	-1	10	95	0	0	0	0	2	0	0	0	1256	//세이트장갑
441	-1	9	95	0	0	0	0	2	0	0	0	1256	//세이트바지
441	-1	11	95	0	0	0	0	2	0	0	0	1256	//세이트부츠
441	-1	7	61	0	0	0	0	2	0	0	0	1256	//피어싱그로브투구
441	-1	9	61	0	0	0	0	2	0	0	0	1256	//피어싱그로브바지
441	-1	11	61	0	0	0	0	2	0	0	0	1256	//피어싱그로브부츠
441	-1	8	16	0	0	0	0	2	0	0	0	1256	//블랙드라곤갑옷
441	-1	9	16	0	0	0	0	2	0	0	0	1256	//블랙드라곤바지
441	-1	10	24	0	0	0	0	2	0	0	0	1256	//레드스피릿장갑
441	-1	7	24	0	0	0	0	2	0	0	0	1256	//레드스피릿헬멧
441	-1	11	24	0	0	0	0	2	0	0	0	1256	//레드스피릿부츠
441	-1	7	17	0	0	0	0	2	0	0	0	1256	//다크피닉스투구
441	-1	10	17	0	0	0	0	2	0	0	0	1256	//다크피닉스장갑
441	-1	11	17	0	0	0	0	2	0	0	0	1256	//다크피닉스부츠
441	-1	10	22	0	0	0	0	2	0	0	0	1256	//블랙소울장갑
441	-1	11	22	0	0	0	0	2	0	0	0	1256	//블랙소울부츠
441	-1	10	20	0	0	0	0	2	0	0	0	1256	//선더호크장갑
441	-1	11	20	0	0	0	0	2	0	0	0	1256	//선더호크부츠
441	-1	10	28	0	0	0	0	2	0	0	0	1256	//다크마스터장갑
441	-1	11	28	0	0	0	0	2	0	0	0	1256	//다크마스터부츠
441	-1	10	37	0	0	0	0	2	0	0	0	1256	//발리언트장갑
441	-1	10	38	0	0	0	0	2	0	0	0	1256	//글로리어스장갑
441	-1	10	21	0	0	0	0	2	0	0	0	1256	//그레이트드라곤장갑
//사피우누스 엑설런트													
441	-1	4	32	0	0	0	0	2	0	1	0	2	//전투화살통
441	-1	1	8	0	0	0	0	2	0	1	0	2	//반월도끼
441	-1	2	4	0	0	0	0	2	0	1	0	2	//크리스탈모닝스타
441	-1	4	5	0	0	0	0	2	0	1	0	2	//실버보우
441	-1	4	13	0	0	0	0	2	0	1	0	2	//블루윙석궁
441	-1	0	12	0	0	0	0	2	0	1	0	2	//태양검
441	-1	0	14	0	0	0	0	2	0	1	0	2	//번개검
441	-1	3	9	0	0	0	0	2	0	1	0	2	//발록의낫
441	-1	3	8	0	0	0	0	2	0	1	0	2	//그레이트사이드
441	-1	3	14	0	0	0	0	2	0	1	0	2	//콘모시온랜스
441	-1	3	18	0	0	0	0	2	0	1	0	2	//알라크란랜스
441	-1	5	5	0	0	0	0	2	0	1	0	2	//전설의지팡이
441	-1	5	6	0	0	0	0	2	0	1	0	2	//부활의지팡이
441	-1	5	16	0	0	0	0	2	0	1	0	2	//레드윙스틱
441	-1	5	22	0	0	0	0	2	0	1	0	2	//닐의서
441	-1	5	23	0	0	0	0	2	0	1	0	2	//라글의서
441	-1	2	8	0	0	0	0	2	0	1	0	2	//배틀셉터
441	-1	6	12	0	0	0	0	2	0	1	0	2	//브론즈방패
441	-1	6	13	0	0	0	0	2	0	1	0	2	//드라곤방패
441	-1	6	16	0	0	0	0	2	0	1	0	2	//엘리멘탈방패
441	-1	6	21	0	0	0	0	2	0	1	0	2	//크로스실드
441	-1	6	30	0	0	0	0	2	0	1	0	2	//플루마실드
441	-1	8	92	0	0	0	0	2	0	1	0	2	//그루힐갑옷
441	-1	9	92	0	0	0	0	2	0	1	0	2	//그루힐바지
441	-1	8	25	0	0	0	0	2	0	1	0	2	//라운드갑옷
441	-1	8	3	0	0	0	0	2	0	1	0	2	//전설의갑옷
441	-1	9	3	0	0	0	0	2	0	1	0	2	//전설의바지
441	-1	8	40	0	0	0	0	2	0	1	0	2	//레드윙갑옷
441	-1	9	40	0	0	0	0	2	0	1	0	2	//레드윙바지
441	-1	7	59	0	0	0	0	2	0	1	0	2	//세크리드파이어투구
441	-1	8	59	0	0	0	0	2	0	1	0	2	//세크리드파이어갑옷
441	-1	9	59	0	0	0	0	2	0	1	0	2	//세크리드파이어바지
441	-1	7	14	0	0	0	0	2	0	1	0	2	//수호헬멧
441	-1	8	14	0	0	0	0	2	0	1	0	2	//수호갑옷
441	-1	9	14	0	0	0	0	2	0	1	0	2	//수호바지
441	-1	7	1	0	0	0	0	2	0	1	0	2	//드라곤투구
441	-1	8	1	0	0	0	0	2	0	1	0	2	//드라곤갑옷
441	-1	9	1	0	0	0	0	2	0	1	0	2	//드라곤바지
441	-1	11	1	0	0	0	0	2	0	1	0	2	//드라곤부츠
441	-1	7	26	0	0	0	0	2	0	1	0	2	//다크소울마스크
441	-1	10	26	0	0	0	0	2	0	1	0	2	//다크소울장갑
441	-1	9	26	0	0	0	0	2	0	1	0	2	//다크소울바지
441	-1	11	26	0	0	0	0	2	0	1	0	2	//다크소울부츠
441	-1	7	93	0	0	0	0	2	0	1	0	2	//프린시헬멧
441	-1	10	93	0	0	0	0	2	0	1	0	2	//프린시장갑
441	-1	11	93	0	0	0	0	2	0	1	0	2	//프린시부츠
441	-1	7	34	0	0	0	0	2	0	1	0	2	//애쉬크로우헬멧
441	-1	10	34	0	0	0	0	2	0	1	0	2	//애쉬크로우장갑
441	-1	9	34	0	0	0	0	2	0	1	0	2	//애쉬크로우바지
441	-1	11	34	0	0	0	0	2	0	1	0	2	//애쉬크로우부츠
441	-1	7	35	0	0	0	0	2	0	1	0	2	//이클립스헬멧
441	-1	10	35	0	0	0	0	2	0	1	0	2	//이클립스장갑
441	-1	9	35	0	0	0	0	2	0	1	0	2	//이클립스바지
441	-1	11	35	0	0	0	0	2	0	1	0	2	//이클립스부츠
441	-1	7	36	0	0	0	0	2	0	1	0	2	//아이리스헬멧
441	-1	10	36	0	0	0	0	2	0	1	0	2	//아이리스장갑
441	-1	9	36	0	0	0	0	2	0	1	0	2	//아이리스바지
441	-1	11	36	0	0	0	0	2	0	1	0	2	//아이리스부츠
441	-1	7	41	0	0	0	0	2	0	1	0	2	//에이션트헬멧
441	-1	10	41	0	0	0	0	2	0	1	0	2	//에이션트장갑
441	-1	11	41	0	0	0	0	2	0	1	0	2	//에이션트부츠
441	-1	7	60	0	0	0	0	2	0	1	0	2	//스톰자하드투구
441	-1	11	60	0	0	0	0	2	0	1	0	2	//스톰자하드부츠
441	-1	10	15	0	0	0	0	2	0	1	0	2	//아틀란스장갑
441	-1	10	18	0	0	0	0	2	0	1	0	2	//그랜드소울장갑
441	-1	10	42	0	0	0	0	2	0	1	0	2	//데모닉장갑
//사피두오 96													180
442	-1	2	7	0	0	0	2	2	0	0	0	1377	//엘리멘탈메이스
442	-1	4	16	0	0	0	2	2	0	0	0	1377	//세인트크로스석궁
442	-1	4	17	0	0	0	2	2	0	0	0	1377	//홀리사이트보우
442	-1	0	16	0	0	0	2	2	0	0	0	1377	//파괴의검
442	-1	0	33	0	0	0	2	2	0	0	0	1377	//홀리스톰클로
442	-1	3	15	0	0	0	2	2	0	0	0	1377	//플루마랜스
442	-1	3	16	0	0	0	2	2	0	0	0	1377	//비스랜스
442	-1	3	10	0	0	0	2	2	0	0	0	1377	//드라곤스피어
442	-1	5	8	0	0	0	2	2	0	0	0	1377	//파멸의지팡이
442	-1	5	17	0	0	0	2	2	0	0	0	1377	//에이션트스틱
