//////////////////////////////////////////////////////////////////////////////////////													
// [라클리온]	EachMonsterBag57												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//*소켓 아이템													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//아이스워커 102													180
454	-1	2	7	0	0	0	2	2	0	0	0	1529	//엘리멘탈메이스
454	-1	4	16	0	0	0	2	2	0	0	0	1529	//세인트크로스석궁
454	-1	4	17	0	0	0	2	2	0	0	0	1529	//홀리사이트보우
454	-1	4	19	0	0	0	2	2	0	0	0	1529	//그레이트레인석궁
454	-1	0	31	0	0	0	2	2	0	0	0	1529	//데스브로드
454	-1	3	15	0	0	0	2	2	0	0	0	1529	//플루마랜스
454	-1	3	16	0	0	0	2	2	0	0	0	1529	//비스랜스
454	-1	3	10	0	0	0	2	2	0	0	0	1529	//드라곤스피어
454	-1	5	8	0	0	0	2	2	0	0	0	1529	//파멸의지팡이
454	-1	5	9	0	0	0	2	2	0	0	0	1529	//드래곤소울지팡이
454	-1	5	18	0	0	0	2	2	0	0	0	1529	//데모닉스틱
454	-1	2	11	0	0	0	2	2	0	0	0	1529	//로드셉터
454	-1	8	18	0	0	0	0	2	0	0	0	1529	//그랜드소울갑옷
454	-1	9	18	0	0	0	0	2	0	0	0	1529	//그랜드소울바지
454	-1	8	42	0	0	0	0	2	0	0	0	1529	//데모닉갑옷
454	-1	9	42	0	0	0	0	2	0	0	0	1529	//데모닉바지
454	-1	7	19	0	0	0	0	2	0	0	0	1529	//홀리스프릿헬멧
454	-1	8	19	0	0	0	0	2	0	0	0	1529	//홀리스프릿갑옷
454	-1	9	19	0	0	0	0	2	0	0	0	1529	//홀리스프릿바지
454	-1	7	27	0	0	0	0	2	0	0	0	1529	//다크브리즌마스크
454	-1	8	27	0	0	0	0	2	0	0	0	1529	//다크브리즌갑옷
454	-1	9	27	0	0	0	0	2	0	0	0	1529	//다크브리즌바지
454	-1	8	16	0	0	0	0	2	0	0	0	1529	//블랙드라곤갑옷
454	-1	9	16	0	0	0	0	2	0	0	0	1529	//블랙드라곤바지
454	-1	7	94	0	0	0	0	2	0	0	0	1529	//히라트헬멧
454	-1	8	94	0	0	0	0	2	0	0	0	1529	//히라트갑옷
454	-1	9	94	0	0	0	0	2	0	0	0	1529	//히라트바지
454	-1	11	94	0	0	0	0	2	0	0	0	1529	//히라트부츠
454	-1	7	95	0	0	0	0	2	0	0	0	1529	//세이트헬멧
454	-1	8	95	0	0	0	0	2	0	0	0	1529	//세이트갑옷
454	-1	9	95	0	0	0	0	2	0	0	0	1529	//세이트바지
454	-1	11	95	0	0	0	0	2	0	0	0	1529	//세이트부츠
454	-1	7	61	0	0	0	0	2	0	0	0	1529	//피어싱그로브투구
454	-1	8	61	0	0	0	0	2	0	0	0	1529	//피어싱그로브갑옷
454	-1	9	61	0	0	0	0	2	0	0	0	1529	//피어싱그로브바지
454	-1	7	24	0	0	0	0	2	0	0	0	1529	//레드스프릿헬멧
454	-1	10	24	0	0	0	0	2	0	0	0	1529	//레드스프릿장갑
454	-1	9	24	0	0	0	0	2	0	0	0	1529	//레드스프릿바지
454	-1	11	24	0	0	0	0	2	0	0	0	1529	//레드스프릿부츠
454	-1	7	17	0	0	0	0	2	0	0	0	1529	//다크피닉스투구
454	-1	8	17	0	0	0	0	2	0	0	0	1529	//다크피닉스갑옷
454	-1	10	17	0	0	0	0	2	0	0	0	1529	//다크피닉스장갑
454	-1	9	17	0	0	0	0	2	0	0	0	1529	//다크피닉스바지
454	-1	11	17	0	0	0	0	2	0	0	0	1529	//다크피닉스부츠
454	-1	10	22	0	0	0	0	2	0	0	0	1529	//블랙소울장갑
454	-1	11	22	0	0	0	0	2	0	0	0	1529	//블랙소울부츠
454	-1	10	20	0	0	0	0	2	0	0	0	1529	//선더호크장갑
454	-1	9	20	0	0	0	0	2	0	0	0	1529	//선더호크바지
454	-1	11	20	0	0	0	0	2	0	0	0	1529	//선더호크부츠
454	-1	10	28	0	0	0	0	2	0	0	0	1529	//다크마스터장갑
454	-1	11	28	0	0	0	0	2	0	0	0	1529	//다크마스터부츠
454	-1	10	37	0	0	0	0	2	0	0	0	1529	//발리언트장갑
454	-1	9	37	0	0	0	0	2	0	0	0	1529	//발리언트바지
454	-1	11	37	0	0	0	0	2	0	0	0	1529	//발리언트부츠
454	-1	7	38	0	0	0	0	2	0	0	0	1529	//글로리어스마스크
454	-1	10	38	0	0	0	0	2	0	0	0	1529	//글로리어스장갑
454	-1	9	38	0	0	0	0	2	0	0	0	1529	//글로리어스바지
454	-1	11	38	0	0	0	0	2	0	0	0	1529	//글로리어스부츠
454	-1	10	21	0	0	0	0	2	0	0	0	1529	//그레이트드라곤장갑
454	-1	11	21	0	0	0	0	2	0	0	0	1529	//그레이트드라곤부츠
454	-1	10	23	0	0	0	0	2	0	0	0	1529	//아스릴장갑
//454	-1	10	50	0	0	0	0	2	0	0	0	1000	//디바인장갑
//454	-1	11	50	0	0	0	0	2	0	0	0	1000	//디바인부츠
//454	-1	10	48	0	0	0	0	2	0	0	0	1000	//디스트로이장갑
//454	-1	11	48	0	0	0	0	2	0	0	0	1000	//디스트로이부츠
//454	-1	10	52	0	0	0	0	2	0	0	0	1000	//하데스장갑
//454	-1	11	52	0	0	0	0	2	0	0	0	1000	//하데스부츠
//454	-1	10	45	0	0	0	0	2	0	0	0	1000	//티탄장갑
//454	-1	11	45	0	0	0	0	2	0	0	0	1000	//티탄부츠
