//////////////////////////////////////////////////////////////////////////////////////													
// [불카누스]	EachMonsterBag63												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//피의암살자 107													130
486	-1	2	7	0	0	0	2	2	0	0	0	3711	//엘리멘탈메이스
486	-1	4	17	0	0	0	2	2	0	0	0	3711	//홀리사이트보우
486	-1	4	19	0	0	0	2	2	0	0	0	3711	//그레이트레인석궁
486	-1	0	31	0	0	0	2	2	0	0	0	3711	//데스브로드
486	-1	0	17	0	0	0	2	2	0	0	0	3711	//다크브레이커
486	-1	0	18	0	0	0	2	2	0	0	0	3711	//선더블레이드
486	-1	0	34	0	0	0	2	2	0	0	0	3711	//피어싱블레이드글러브
486	-1	3	10	0	0	0	2	2	0	0	0	3711	//드라곤스피어
486	-1	5	8	0	0	0	2	2	0	0	0	3711	//파멸의지팡이
486	-1	5	9	0	0	0	2	2	0	0	0	3711	//드래곤소울지팡이
486	-1	5	18	0	0	0	2	2	0	0	0	3711	//데모닉스틱
486	-1	2	11	0	0	0	2	2	0	0	0	3711	//로드셉터
486	-1	8	18	0	0	0	0	2	0	0	0	3711	//그랜드소울갑옷
486	-1	8	42	0	0	0	0	2	0	0	0	3711	//데모닉갑옷
486	-1	8	19	0	0	0	0	2	0	0	0	3711	//홀리스프릿갑옷
486	-1	8	27	0	0	0	0	2	0	0	0	3711	//다크브리즌갑옷
486	-1	9	27	0	0	0	0	2	0	0	0	3711	//다크브리즌바지
486	-1	8	16	0	0	0	0	2	0	0	0	3711	//블랙드라곤갑옷
486	-1	8	94	0	0	0	0	2	0	0	0	3711	//히라트갑옷
486	-1	7	94	0	0	0	0	2	0	0	0	3711	//히라트헬멧
486	-1	9	94	0	0	0	0	2	0	0	0	3711	//히라트바지
486	-1	8	95	0	0	0	0	2	0	0	0	3711	//세이트갑옷
486	-1	7	95	0	0	0	0	2	0	0	0	3711	//세이트헬멧
486	-1	9	95	0	0	0	0	2	0	0	0	3711	//세이트바지
486	-1	8	61	0	0	0	0	2	0	0	0	3711	//피어싱그로브갑옷
486	-1	7	61	0	0	0	0	2	0	0	0	3711	//피어싱그로브투구
486	-1	9	61	0	0	0	0	2	0	0	0	3711	//피어싱그로브바지
486	-1	7	24	0	0	0	0	2	0	0	0	3711	//레드스프릿헬멧
486	-1	9	24	0	0	0	0	2	0	0	0	3711	//레드스프릿바지
486	-1	7	17	0	0	0	0	2	0	0	0	3711	//다크피닉스투구
486	-1	8	17	0	0	0	0	2	0	0	0	3711	//다크피닉스갑옷
486	-1	9	17	0	0	0	0	2	0	0	0	3711	//다크피닉스바지
486	-1	11	17	0	0	0	0	2	0	0	0	3711	//다크피닉스부츠
486	-1	11	22	0	0	0	0	2	0	0	0	3711	//블랙소울부츠
486	-1	8	20	0	0	0	0	2	0	0	0	3711	//선더호크갑옷
486	-1	9	20	0	0	0	0	2	0	0	0	3711	//선더호크바지
486	-1	11	20	0	0	0	0	2	0	0	0	3711	//선더호크부츠
486	-1	7	28	0	0	0	0	2	0	0	0	3711	//다크마스터마스크
486	-1	10	28	0	0	0	0	2	0	0	0	3711	//다크마스터장갑
486	-1	11	28	0	0	0	0	2	0	0	0	3711	//다크마스터부츠
486	-1	8	37	0	0	0	0	2	0	0	0	3711	//발리언트갑옷
486	-1	10	37	0	0	0	0	2	0	0	0	3711	//발리언트장갑
486	-1	9	37	0	0	0	0	2	0	0	0	3711	//발리언트바지
486	-1	11	37	0	0	0	0	2	0	0	0	3711	//발리언트부츠
486	-1	7	38	0	0	0	0	2	0	0	0	3711	//글로리어스마스크
486	-1	8	38	0	0	0	0	2	0	0	0	3711	//글로리어스갑옷
486	-1	10	38	0	0	0	0	2	0	0	0	3711	//글로리어스장갑
486	-1	9	38	0	0	0	0	2	0	0	0	3711	//글로리어스바지
486	-1	11	38	0	0	0	0	2	0	0	0	3711	//글로리어스부츠
486	-1	7	21	0	0	0	0	2	0	0	0	3711	//그레이트드라곤투구
486	-1	10	21	0	0	0	0	2	0	0	0	3711	//그레이트드라곤장갑
486	-1	11	21	0	0	0	0	2	0	0	0	3711	//그레이트드라곤부츠
486	-1	10	23	0	0	0	0	2	0	0	0	3711	//아스릴장갑
