//로랜시아																
																
//몬스터 인덱스	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	실 확률				
//거미																
3	1	0	0	0	0	0	0	0	0	0	100000		//작은도끼			
3	4	0	0	0	0	0	0	0	0	0	100000		//단활			
3	14	0	0	0	0	0	0	0	0	0	500000		//사과 1개			
3	14	0	0	0	2	0	0	0	0	0	200000		//사과 2개			
3	14	10	0	0	0	0	0	0	0	0	100000		//마을귀환문서																			
//버지드래곤																
2	1	0	0	0	0	0	0	0	0	0	2000		//작은도끼			
2	4	0	0	0	0	0	0	0	0	0	2000		//단활			
2	4	8	0	0	0	0	0	0	0	0	2000		//석궁			
2	0	1	0	0	0	0	0	0	0	0	2000		//짧은검			
2	1	1	0	0	0	0	0	0	0	0	2000		//손도끼			
2	6	0	0	0	0	0	0	0	0	0	2000		//원형방패			
2	10	2	0	0	0	0	0	0	0	0	4000		//패드장갑			
2	11	2	0	0	0	0	0	0	0	0	4000		//패드부츠			
2	10	5	0	0	0	0	0	0	0	0	10000		//가죽장갑			
2	10	10	0	0	0	0	0	0	0	0	10000		//넝쿨장갑			
2	12	11	0	0	0	0	0	0	0	0	5000		//소환구슬	고블린		
2	14	0	0	0	0	0	0	0	0	0	5000		//사과 1개			
2	14	0	0	0	2	0	0	0	0	0	150000		//사과 2개			
2	14	10	0	0	0	0	0	0	0	0	800000		//마을귀환문서																			
//소뿔전사 대장																
4	1	0	0	0	0	0	0	0	0	0	2000		//작은도끼			
4	1	0	0	0	0	0	0	0	0	0	2000		//손도끼			
4	1	0	0	0	0	0	0	0	0	0	2000		//전곤			
4	1	0	0	0	0	0	0	0	0	0	2000		//단활			
4	1	0	0	0	0	0	0	0	0	0	2000		//석궁			
4	1	0	0	0	0	0	0	0	0	0	2000		//활			
4	1	0	0	0	0	0	0	0	0	0	2000		//황금석궁			
4	1	0	0	0	0	0	0	0	0	0	2000		//짧은검			
4	1	0	0	0	0	0	0	0	0	0	2000		//크리스			
4	1	0	0	0	0	0	0	0	0	0	2000		//레이피어			
4	1	0	0	0	0	0	0	0	0	0	2000		//자객검			
4	1	0	0	0	0	0	0	0	0	0	2000		//해골지팡이			
4	1	0	0	0	0	0	0	0	0	0	2000		//원형방패			
4	1	0	0	0	0	0	0	0	0	0	2000		//버클러			
4	1	0	0	0	0	0	0	0	0	0	2000		//뿔방패			
4	1	0	0	0	0	0	0	0	0	0	2000		//카이트방패			
4	1	0	0	0	0	0	0	0	0	0	2000		//패드투구			
4	1	0	0	0	0	0	0	0	0	0	2000		//패드갑옷			
4	1	0	0	0	0	0	0	0	0	0	2000		//패드장갑			
4	1	0	0	0	0	0	0	0	0	0	2000		//패드바지			
4	1	0	0	0	0	0	0	0	0	0	2000		//패드부츠			
4	1	0	0	0	0	0	0	0	0	0	2000		//가죽헬멧			
4	1	0	0	0	0	0	0	0	0	0	2000		//가죽갑옷			
4	1	0	0	0	0	0	0	0	0	0	2000		//가죽장갑			
4	1	0	0	0	0	0	0	0	0	0	2000		//가죽바지			
4	1	0	0	0	0	0	0	0	0	0	2000		//가죽부츠			
4	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨헬멧			
4	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨갑옷			
4	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨장갑			
4	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨바지			
4	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨부츠			
4	1	0	0	0	0	0	0	0	0	0	2000		//청동부츠			
4	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트장갑			
4	1	0	0	0	0	0	0	0	0	0	2000		//소환구슬	고블린		
4	1	0	0	0	0	0	0	0	0	0	2000		//파이어볼 법서			
4	1	0	0	0	0	0	0	0	0	0	2000		//치료구슬			
4	1	0	0	0	0	0	0	0	0	0	8000		//파워웨이브법서			
4	1	0	0	0	0	0	0	0	0	0	10000		//작은치료물약			
4	1	0	0	0	0	0	0	0	0	0	10000		//작은마나물약			
4	1	0	0	0	0	0	0	0	0	0	400000		//해독물약			
4	1	0	0	0	0	0	0	0	0	0	500000		//마을귀환문서																			
//하운드																
