//////////////////////////////////////////////////////////////////////////////////////													
// [타르칸]	EachMonsterBag8												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//뮤턴트													170
62	-1	1	8	0	0	0	2	2	0	0	0	637	//반월도끼
62	-1	2	4	0	0	0	2	2	0	0	0	637	//크리스탈모닝스타
62	-1	4	5	0	0	0	2	2	0	0	0	637	//실버보우
62	-1	4	13	0	0	0	2	2	0	0	0	637	//블루윙석궁
62	-1	4	14	0	0	0	2	2	0	0	0	637	//아쿠아골드석궁
62	-1	0	12	0	0	0	2	2	0	0	0	637	//태양검
62	-1	0	14	0	0	0	2	2	0	0	0	637	//번개검
62	-1	2	5	0	0	0	2	2	0	0	0	637	//크리스탈검
62	-1	3	14	0	0	0	2	2	0	0	0	637	//콘모시온랜스
62	-1	3	18	0	0	0	2	2	0	0	0	637	//알라크란랜스
62	-1	3	8	0	0	0	2	2	0	0	0	637	//그레이트사이드
62	-1	3	9	0	0	0	2	2	0	0	0	637	//발록의낫
62	-1	5	5	0	0	0	2	2	0	0	0	637	//전설의지팡이
62	-1	5	6	0	0	0	2	2	0	0	0	637	//부활의지팡이
62	-1	5	16	0	0	0	2	2	0	0	0	637	//레드윙스틱
62	-1	5	22	0	0	0	2	2	0	0	0	637	//닐의서
62	-1	5	23	0	0	0	2	2	0	0	0	637	//라글의서
62	-1	2	8	0	0	0	2	2	0	0	0	637	//배틀셉터
62	-1	2	9	0	0	0	2	2	0	0	0	637	//마스터셉터
62	-1	6	12	0	0	0	2	2	0	0	0	637	//브론즈방패
62	-1	6	13	0	0	0	2	2	0	0	0	637	//드라곤방패
62	-1	6	16	0	0	0	2	2	0	0	0	637	//엘리멘탈방패
62	-1	6	21	0	0	0	2	2	0	0	0	637	//크로스실드
