//////////////////////////////////////////////////////////////////////////////////////													
// [칼루탄2]	EachMonsterBag81												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//오르커스 105													130
571	-1	2	7	0	0	0	2	2	0	0	0	3320	//엘리멘탈메이스
571	-1	4	17	0	0	0	2	2	0	0	0	3320	//홀리사이트보우
571	-1	4	19	0	0	0	2	2	0	0	0	3320	//그레이트레인석궁
571	-1	0	31	0	0	0	2	2	0	0	0	3320	//데스브로드
571	-1	0	17	0	0	0	2	2	0	0	0	3320	//다크브레이커
571	-1	0	18	0	0	0	2	2	0	0	0	3320	//선더블레이드
571	-1	0	34	0	0	0	2	2	0	0	0	3320	//피어싱블레이드글러브
571	-1	3	16	0	0	0	2	2	0	0	0	3320	//비스랜스
571	-1	3	10	0	0	0	2	2	0	0	0	3320	//드라곤스피어
571	-1	5	8	0	0	0	2	2	0	0	0	3320	//파멸의지팡이
571	-1	5	9	0	0	0	2	2	0	0	0	3320	//드래곤소울지팡이
571	-1	5	18	0	0	0	2	2	0	0	0	3320	//데모닉스틱
571	-1	2	11	0	0	0	2	2	0	0	0	3320	//로드셉터
571	-1	8	18	0	0	0	0	2	0	0	0	3320	//그랜드소울갑옷
571	-1	8	42	0	0	0	0	2	0	0	0	3320	//데모닉갑옷
571	-1	8	19	0	0	0	0	2	0	0	0	3320	//홀리스프릿갑옷
571	-1	9	19	0	0	0	0	2	0	0	0	3320	//홀리스프릿바지
571	-1	8	27	0	0	0	0	2	0	0	0	3320	//다크브리즌갑옷
571	-1	9	27	0	0	0	0	2	0	0	0	3320	//다크브리즌바지
571	-1	8	16	0	0	0	0	2	0	0	0	3320	//블랙드라곤갑옷
571	-1	8	94	0	0	0	0	2	0	0	0	3320	//히라트갑옷
571	-1	7	94	0	0	0	0	2	0	0	0	3320	//히라트헬멧
571	-1	9	94	0	0	0	0	2	0	0	0	3320	//히라트바지
571	-1	8	95	0	0	0	0	2	0	0	0	3320	//세이트갑옷
571	-1	7	95	0	0	0	0	2	0	0	0	3320	//세이트헬멧
571	-1	9	95	0	0	0	0	2	0	0	0	3320	//세이트바지
571	-1	8	61	0	0	0	0	2	0	0	0	3320	//피어싱그로브갑옷
571	-1	7	61	0	0	0	0	2	0	0	0	3320	//피어싱그로브투구
571	-1	9	61	0	0	0	0	2	0	0	0	3320	//피어싱그로브바지
571	-1	7	24	0	0	0	0	2	0	0	0	3320	//레드스프릿헬멧
571	-1	9	24	0	0	0	0	2	0	0	0	3320	//레드스프릿바지
571	-1	11	24	0	0	0	0	2	0	0	0	3320	//레드스프릿부츠
