//////////////////////////////////////////////////////////////////////////////////////													
// [악마의광장 1~4]	EachMonsterBag9												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
//참여 횟수	6												
//사냥 수	300												
//참여 횟수*사냥 수	1800												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//악마의광장 1 (50 ~ 179)													
//싸이크롭스													
17	-1	1	2	0	0	0	0	2	0	1	0	9	//양날도끼
17	-1	1	3	0	0	0	0	2	0	1	0	9	//토마호크
17	-1	2	1	0	0	0	0	2	0	1	0	9	//모닝스타
17	-1	2	2	0	0	0	0	2	0	1	0	9	//철퇴
17	-1	4	9	0	0	0	0	2	0	1	0	9	//황금석궁
17	-1	4	2	0	0	0	0	2	0	1	0	9	//요정활
17	-1	4	10	0	0	0	0	2	0	1	0	9	//아큐버스
17	-1	4	3	0	0	0	0	2	0	1	0	9	//전투활
17	-1	0	2	0	0	0	0	2	0	1	0	9	//레이피어
17	-1	0	4	0	0	0	0	2	0	1	0	9	//자객검
17	-1	0	3	0	0	0	0	2	0	1	0	9	//카타치
17	-1	0	6	0	0	0	0	2	0	1	0	9	//그라디우스
17	-1	0	7	0	0	0	0	2	0	1	0	9	//펄션
17	-1	3	5	0	0	0	0	2	0	1	0	9	//양날도끼창
17	-1	3	6	0	0	0	0	2	0	1	0	9	//도끼창
17	-1	3	2	0	0	0	0	2	0	1	0	9	//드래건랜스
17	-1	3	13	0	0	0	0	2	0	1	0	9	//라피드랜스
17	-1	5	2	0	0	0	0	2	0	1	0	9	//독사지팡이
17	-1	5	14	0	0	0	0	2	0	1	0	9	//미스터리스틱
17	-1	5	15	0	0	0	0	2	0	1	0	9	//바이올렌윈드스틱
17	-1	2	8	0	0	0	0	2	0	1	0	9	//배틀셉터
17	-1	6	1	0	0	0	0	2	0	1	0	9	//뿔방패
17	-1	6	2	0	0	0	0	2	0	1	0	9	//카이트방패
17	-1	6	29	0	0	0	0	2	0	1	0	9	//라피드실드
17	-1	6	6	0	0	0	0	2	0	1	0	9	//해골방패
17	-1	6	10	0	0	0	0	2	0	1	0	9	//큰원형방패
17	-1	6	3	0	0	0	0	2	0	1	0	9	//요정방패
17	-1	7	6	0	0	0	0	2	0	1	0	9	//비늘헬멧
17	-1	8	6	0	0	0	0	2	0	1	0	9	//비늘갑옷
17	-1	10	6	0	0	0	0	2	0	1	0	9	//비늘장갑
17	-1	9	6	0	0	0	0	2	0	1	0	9	//비늘바지
17	-1	11	6	0	0	0	0	2	0	1	0	9	//비늘부츠
17	-1	7	7	0	0	0	0	2	0	1	0	9	//스핑크스마스크
17	-1	8	7	0	0	0	0	2	0	1	0	9	//스핑크스갑옷
17	-1	10	7	0	0	0	0	2	0	1	0	9	//스핑크스장갑
17	-1	9	7	0	0	0	0	2	0	1	0	9	//스핑크스바지
17	-1	11	7	0	0	0	0	2	0	1	0	9	//스핑크스부츠
17	-1	7	39	0	0	0	0	2	0	1	0	9	//바이올렌윈드헬멧
17	-1	8	39	0	0	0	0	2	0	1	0	9	//바이올렌윈드갑옷
17	-1	10	39	0	0	0	0	2	0	1	0	9	//바이올렌윈드장갑
17	-1	9	39	0	0	0	0	2	0	1	0	9	//바이올렌윈드바지
17	-1	11	39	0	0	0	0	2	0	1	0	9	//바이올렌윈드부츠
17	-1	7	12	0	0	0	0	2	0	1	0	9	//바람의헬멧
17	-1	8	12	0	0	0	0	2	0	1	0	9	//바람의갑옷
17	-1	10	12	0	0	0	0	2	0	1	0	9	//바람의장갑
17	-1	9	12	0	0	0	0	2	0	1	0	9	//바람의바지
17	-1	11	12	0	0	0	0	2	0	1	0	9	//바람의부츠
17	-1	7	91	0	0	0	0	2	0	1	0	9	//로우버스트헬멧
17	-1	8	91	0	0	0	0	2	0	1	0	9	//로우버스트갑옷
17	-1	10	91	0	0	0	0	2	0	1	0	9	//로우버스트장갑
17	-1	9	91	0	0	0	0	2	0	1	0	9	//로우버스트바지
17	-1	11	91	0	0	0	0	2	0	1	0	9	//로우버스트부츠
//해골궁수													
15	-1	1	2	0	0	0	0	2	0	1	0	19	//양날도끼
15	-1	1	3	0	0	0	0	2	0	1	0	19	//토마호크
15	-1	2	1	0	0	0	0	2	0	1	0	19	//모닝스타
15	-1	2	2	0	0	0	0	2	0	1	0	19	//철퇴
15	-1	4	9	0	0	0	0	2	0	1	0	19	//황금석궁
15	-1	4	2	0	0	0	0	2	0	1	0	19	//요정활
15	-1	4	10	0	0	0	0	2	0	1	0	19	//아큐버스
15	-1	4	3	0	0	0	0	2	0	1	0	19	//전투활
15	-1	0	2	0	0	0	0	2	0	1	0	19	//레이피어
15	-1	0	4	0	0	0	0	2	0	1	0	19	//자객검
15	-1	0	3	0	0	0	0	2	0	1	0	19	//카타치
15	-1	0	6	0	0	0	0	2	0	1	0	19	//그라디우스
15	-1	0	7	0	0	0	0	2	0	1	0	19	//펄션
