//////////////////////////////////////////////////////////////////////////////////////													
// [우바이드, 알크마르]	EachMonsterBag91												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//데블페어리 88													160
586	-1	4	14	0	0	0	2	2	0	0	0	1038	//아쿠아골드석궁
586	-1	4	16	0	0	0	2	2	0	0	0	1038	//세인트크로스석궁
586	-1	2	5	0	0	0	2	2	0	0	0	1038	//크리스탈검
586	-1	0	16	0	0	0	2	2	0	0	0	1038	//파괴의검
586	-1	0	33	0	0	0	2	2	0	0	0	1038	//홀리스톰클로
586	-1	3	15	0	0	0	2	2	0	0	0	1038	//플루마랜스
586	-1	3	16	0	0	0	2	2	0	0	0	1038	//비스랜스
586	-1	5	6	0	0	0	2	2	0	0	0	1038	//부활의지팡이
586	-1	5	17	0	0	0	2	2	0	0	0	1038	//에이션트스틱
586	-1	2	9	0	0	0	2	2	0	0	0	1038	//마스터셉터
586	-1	2	10	0	0	0	2	2	0	0	0	1038	//그레이트셉터
586	-1	6	21	0	0	0	2	2	0	0	0	1038	//크로스실드
586	-1	6	30	0	0	0	2	2	0	0	0	1038	//플루마실드
586	-1	6	15	0	0	0	2	2	0	0	0	1038	//그랜드소울방패
586	-1	6	32	0	0	0	2	2	0	0	0	1038	//비스실드
586	-1	8	26	0	0	0	0	2	0	0	0	1038	//다크소울갑옷
586	-1	9	26	0	0	0	0	2	0	0	0	1038	//다크소울바지
586	-1	7	93	0	0	0	0	2	0	0	0	1038	//프린시헬멧
586	-1	8	93	0	0	0	0	2	0	0	0	1038	//프린시갑옷
586	-1	9	93	0	0	0	0	2	0	0	0	1038	//프린시바지
586	-1	8	34	0	0	0	0	2	0	0	0	1038	//애쉬크로우갑옷
586	-1	8	35	0	0	0	0	2	0	0	0	1038	//이클립스갑옷
586	-1	8	36	0	0	0	0	2	0	0	0	1038	//아이리스갑옷
586	-1	8	41	0	0	0	0	2	0	0	0	1038	//에이션트갑옷
586	-1	9	41	0	0	0	0	2	0	0	0	1038	//에이션트바지
586	-1	7	60	0	0	0	0	2	0	0	0	1038	//스톰자하드투구
586	-1	8	60	0	0	0	0	2	0	0	0	1038	//스톰자하드갑옷
586	-1	9	60	0	0	0	0	2	0	0	0	1038	//스톰자하드바지
586	-1	8	15	0	0	0	0	2	0	0	0	1038	//아틀란스갑옷
586	-1	10	15	0	0	0	0	2	0	0	0	1038	//아틀란스장갑
586	-1	9	15	0	0	0	0	2	0	0	0	1038	//아틀란스바지
586	-1	11	15	0	0	0	0	2	0	0	0	1038	//아틀란스부츠
586	-1	7	18	0	0	0	0	2	0	0	0	1038	//그랜드소울헬멧
586	-1	10	18	0	0	0	0	2	0	0	0	1038	//그랜드소울장갑
586	-1	9	18	0	0	0	0	2	0	0	0	1038	//그랜드소울바지
586	-1	11	18	0	0	0	0	2	0	0	0	1038	//그랜드소울부츠
586	-1	7	42	0	0	0	0	2	0	0	0	1038	//데모닉헬멧
586	-1	10	42	0	0	0	0	2	0	0	0	1038	//데모닉장갑
586	-1	9	42	0	0	0	0	2	0	0	0	1038	//데모닉바지
586	-1	11	42	0	0	0	0	2	0	0	0	1038	//데모닉부츠
586	-1	7	19	0	0	0	0	2	0	0	0	1038	//홀리스프릿헬멧
586	-1	10	19	0	0	0	0	2	0	0	0	1038	//홀리스프릿장갑
586	-1	9	19	0	0	0	0	2	0	0	0	1038	//홀리스프릿바지
586	-1	11	19	0	0	0	0	2	0	0	0	1038	//홀리스프릿부츠
586	-1	7	27	0	0	0	0	2	0	0	0	1038	//다크브리즌마스크
586	-1	10	27	0	0	0	0	2	0	0	0	1038	//다크브리즌장갑
586	-1	11	27	0	0	0	0	2	0	0	0	1038	//다크브리즌부츠
586	-1	7	16	0	0	0	0	2	0	0	0	1038	//블랙드라곤투구
586	-1	10	16	0	0	0	0	2	0	0	0	1038	//블랙드라곤장갑
586	-1	11	16	0	0	0	0	2	0	0	0	1038	//블랙드라곤부츠
586	-1	10	94	0	0	0	0	2	0	0	0	1038	//히라트장갑
586	-1	11	94	0	0	0	0	2	0	0	0	1038	//히라트부츠
586	-1	10	95	0	0	0	0	2	0	0	0	1038	//세이트장갑
586	-1	11	95	0	0	0	0	2	0	0	0	1038	//세이트부츠
586	-1	11	61	0	0	0	0	2	0	0	0	1038	//피어싱그로브부츠
586	-1	9	16	0	0	0	0	2	0	0	0	1038	//블랙드라곤바지
586	-1	10	24	0	0	0	0	2	0	0	0	1038	//레드스피릿장갑
586	-1	11	24	0	0	0	0	2	0	0	0	1038	//레드스피릿부츠
586	-1	10	17	0	0	0	0	2	0	0	0	1038	//다크피닉스장갑
586	-1	10	22	0	0	0	0	2	0	0	0	1038	//블랙소울장갑
586	-1	10	20	0	0	0	0	2	0	0	0	1038	//선더호크장갑
//속성 아이템													
586	-1	12	200	0	0	0	0	0	0	0	1	1000	//뮤렌의 마법서
586	-1	12	201	0	0	0	0	0	0	0	1	1000	//에트라무의 두루마리
586	-1	12	202	0	0	0	0	0	0	0	1	250	//로랜시아기사단철벽방패
586	-1	12	204	0	0	0	0	0	0	0	1	250	//영웅의 비약
586	-1	12	206	0	0	0	0	0	0	0	1	250	//검투사의 단도
586	-1	12	144	0	0	0	0	0	0	0	1	1200	//미스릴 조각
//데블페어리 엑설런트 													
586	-1	4	32	0	0	0	0	2	0	1	0	2	//전투화살통
586	-1	1	7	0	0	0	0	2	0	1	0	2	//라르칸도끼
586	-1	1	8	0	0	0	0	2	0	1	0	2	//반월도끼
586	-1	4	12	0	0	0	0	2	0	1	0	2	//서펜트석궁
586	-1	4	5	0	0	0	0	2	0	1	0	2	//실버보우
586	-1	0	13	0	0	0	0	2	0	1	0	2	//더블블레이드
586	-1	0	15	0	0	0	0	2	0	1	0	2	//거대한검
586	-1	0	32	0	0	0	0	2	0	1	0	2	//세크리드글러브
586	-1	0	12	0	0	0	0	2	0	1	0	2	//태양검
586	-1	0	14	0	0	0	0	2	0	1	0	2	//번개검
586	-1	3	4	0	0	0	0	2	0	1	0	2	//서펜트스피어
586	-1	3	9	0	0	0	0	2	0	1	0	2	//발록의낫
586	-1	3	8	0	0	0	0	2	0	1	0	2	//그레이트사이드
586	-1	5	4	0	0	0	0	2	0	1	0	2	//고르곤지팡이
586	-1	5	5	0	0	0	0	2	0	1	0	2	//전설의지팡이
586	-1	5	16	0	0	0	0	2	0	1	0	2	//레드윙스틱
586	-1	5	21	0	0	0	0	2	0	1	0	2	//사아무트의서
586	-1	5	22	0	0	0	0	2	0	1	0	2	//닐의서
586	-1	2	8	0	0	0	0	2	0	1	0	2	//배틀셉터
586	-1	6	11	0	0	0	0	2	0	1	0	2	//서펜트방패
586	-1	6	14	0	0	0	0	2	0	1	0	2	//전설의방패
586	-1	6	12	0	0	0	0	2	0	1	0	2	//브론즈방패
586	-1	6	13	0	0	0	0	2	0	1	0	2	//드라곤방패
586	-1	7	92	0	0	0	0	2	0	1	0	2	//그루힐헬멧
586	-1	8	92	0	0	0	0	2	0	1	0	2	//그루힐갑옷
586	-1	9	92	0	0	0	0	2	0	1	0	2	//그루힐바지
586	-1	7	9	0	0	0	0	2	0	1	0	2	//철판헬멧
586	-1	8	9	0	0	0	0	2	0	1	0	2	//철판갑옷
586	-1	9	9	0	0	0	0	2	0	1	0	2	//철판바지
586	-1	7	25	0	0	0	0	2	0	1	0	2	//라운드마스크
586	-1	8	25	0	0	0	0	2	0	1	0	2	//라운드갑옷
586	-1	9	25	0	0	0	0	2	0	1	0	2	//라운드바지
586	-1	11	25	0	0	0	0	2	0	1	0	2	//라운드부츠
586	-1	7	3	0	0	0	0	2	0	1	0	2	//전설의헬멧
586	-1	8	3	0	0	0	0	2	0	1	0	2	//전설의갑옷
586	-1	9	3	0	0	0	0	2	0	1	0	2	//전설의바지
586	-1	11	3	0	0	0	0	2	0	1	0	2	//전설의부츠
586	-1	7	40	0	0	0	0	2	0	1	0	2	//레드윙헬멧
586	-1	8	40	0	0	0	0	2	0	1	0	2	//레드윙갑옷
586	-1	9	40	0	0	0	0	2	0	1	0	2	//레드윙바지
586	-1	11	40	0	0	0	0	2	0	1	0	2	//레드윙부츠
586	-1	7	59	0	0	0	0	2	0	1	0	2	//세크리드파이어투구
586	-1	9	59	0	0	0	0	2	0	1	0	2	//세크리드파이어바지
586	-1	11	59	0	0	0	0	2	0	1	0	2	//세크리드파이어부츠
586	-1	7	14	0	0	0	0	2	0	1	0	2	//수호헬멧
586	-1	8	14	0	0	0	0	2	0	1	0	2	//수호갑옷
586	-1	10	14	0	0	0	0	2	0	1	0	2	//수호장갑
586	-1	9	14	0	0	0	0	2	0	1	0	2	//수호바지
586	-1	11	14	0	0	0	0	2	0	1	0	2	//수호부츠
586	-1	7	1	0	0	0	0	2	0	1	0	2	//드라곤투구
586	-1	8	1	0	0	0	0	2	0	1	0	2	//드라곤갑옷
586	-1	10	1	0	0	0	0	2	0	1	0	2	//드라곤장갑
586	-1	9	1	0	0	0	0	2	0	1	0	2	//드라곤바지
586	-1	11	1	0	0	0	0	2	0	1	0	2	//드라곤부츠
586	-1	10	26	0	0	0	0	2	0	1	0	2	//다크소울장갑
586	-1	11	26	0	0	0	0	2	0	1	0	2	//다크소울부츠
586	-1	10	93	0	0	0	0	2	0	1	0	2	//프린시장갑
586	-1	10	34	0	0	0	0	2	0	1	0	2	//애쉬크로우장갑
586	-1	10	35	0	0	0	0	2	0	1	0	2	//이클립스장갑
586	-1	10	36	0	0	0	0	2	0	1	0	2	//아이리스장갑
586	-1	10	41	0	0	0	0	2	0	1	0	2	//에이션트장갑
586	-1	11	60	0	0	0	0	2	0	1	0	2	//스톰자하드부츠
//엘리맨탈 비스트 91													160
587	-1	4	16	0	0	0	2	2	0	0	0	854	//세인트크로스석궁
587	-1	0	16	0	0	0	2	2	0	0	0	854	//파괴의검
587	-1	0	33	0	0	0	2	2	0	0	0	854	//홀리스톰클로
587	-1	3	15	0	0	0	2	2	0	0	0	854	//플루마랜스
587	-1	3	16	0	0	0	2	2	0	0	0	854	//비스랜스
587	-1	5	8	0	0	0	2	2	0	0	0	854	//파멸의지팡이
587	-1	5	17	0	0	0	2	2	0	0	0	854	//에이션트스틱
587	-1	2	10	0	0	0	2	2	0	0	0	854	//그레이트셉터
587	-1	2	7	0	0	0	2	2	0	0	0	854	//엘리멘탈메이스
587	-1	6	15	0	0	0	2	2	0	0	0	854	//그랜드소울방패
587	-1	6	32	0	0	0	2	2	0	0	0	854	//비스실드
587	-1	8	26	0	0	0	0	2	0	0	0	854	//다크소울갑옷
587	-1	8	93	0	0	0	0	2	0	0	0	854	//프린시갑옷
587	-1	9	93	0	0	0	0	2	0	0	0	854	//프린시바지
587	-1	8	34	0	0	0	0	2	0	0	0	854	//애쉬크로우갑옷
587	-1	8	35	0	0	0	0	2	0	0	0	854	//이클립스갑옷
587	-1	8	36	0	0	0	0	2	0	0	0	854	//아이리스갑옷
587	-1	8	41	0	0	0	0	2	0	0	0	854	//에이션트갑옷
587	-1	8	60	0	0	0	0	2	0	0	0	854	//스톰자하드갑옷
587	-1	9	60	0	0	0	0	2	0	0	0	854	//스톰자하드바지
587	-1	8	15	0	0	0	0	2	0	0	0	854	//아틀란스갑옷
587	-1	9	15	0	0	0	0	2	0	0	0	854	//아틀란스바지
587	-1	7	18	0	0	0	0	2	0	0	0	854	//그랜드소울헬멧
587	-1	8	18	0	0	0	0	2	0	0	0	854	//그랜드소울갑옷
587	-1	9	18	0	0	0	0	2	0	0	0	854	//그랜드소울바지
587	-1	11	18	0	0	0	0	2	0	0	0	854	//그랜드소울부츠
587	-1	7	42	0	0	0	0	2	0	0	0	854	//데모닉헬멧
587	-1	8	42	0	0	0	0	2	0	0	0	854	//데모닉갑옷
587	-1	9	42	0	0	0	0	2	0	0	0	854	//데모닉바지
587	-1	11	42	0	0	0	0	2	0	0	0	854	//데모닉부츠
587	-1	7	19	0	0	0	0	2	0	0	0	854	//홀리스프릿헬멧
587	-1	9	19	0	0	0	0	2	0	0	0	854	//홀리스프릿바지
587	-1	11	19	0	0	0	0	2	0	0	0	854	//홀리스프릿부츠
