//////////////////////////////////////////////////////////////////////////////////////												
// [데벤테르]	EachMonsterBag95											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//데벤테르 데블 페어리 105												
608	-1	2	7	0	0	0	2	2	0	0	0	2672
608	-1	4	17	0	0	0	2	2	0	0	0	2672
608	-1	4	19	0	0	0	2	2	0	0	0	2672
608	-1	0	31	0	0	0	2	2	0	0	0	2672
608	-1	0	17	0	0	0	2	2	0	0	0	2672
608	-1	0	18	0	0	0	2	2	0	0	0	2672
608	-1	0	34	0	0	0	2	2	0	0	0	2672
608	-1	3	16	0	0	0	2	2	0	0	0	2672
608	-1	3	10	0	0	0	2	2	0	0	0	2672
608	-1	5	8	0	0	0	2	2	0	0	0	2672
608	-1	5	9	0	0	0	2	2	0	0	0	2672
608	-1	5	18	0	0	0	2	2	0	0	0	2672
608	-1	2	11	0	0	0	2	2	0	0	0	2672
608	-1	8	18	0	0	0	0	2	0	0	0	2672
608	-1	8	42	0	0	0	0	2	0	0	0	2672
608	-1	8	19	0	0	0	0	2	0	0	0	2672
608	-1	9	19	0	0	0	0	2	0	0	0	2672
608	-1	8	27	0	0	0	0	2	0	0	0	2672
608	-1	9	27	0	0	0	0	2	0	0	0	2672
608	-1	8	16	0	0	0	0	2	0	0	0	2672
608	-1	8	94	0	0	0	0	2	0	0	0	2672
608	-1	7	94	0	0	0	0	2	0	0	0	2672
608	-1	9	94	0	0	0	0	2	0	0	0	2672
608	-1	8	95	0	0	0	0	2	0	0	0	2672
608	-1	7	95	0	0	0	0	2	0	0	0	2672
608	-1	9	95	0	0	0	0	2	0	0	0	2672
608	-1	8	61	0	0	0	0	2	0	0	0	2672
608	-1	7	61	0	0	0	0	2	0	0	0	2672
608	-1	9	61	0	0	0	0	2	0	0	0	2672
608	-1	7	24	0	0	0	0	2	0	0	0	2672
608	-1	9	24	0	0	0	0	2	0	0	0	2672
608	-1	11	24	0	0	0	0	2	0	0	0	2672
608	-1	7	17	0	0	0	0	2	0	0	0	2672
608	-1	8	17	0	0	0	0	2	0	0	0	2672
608	-1	9	17	0	0	0	0	2	0	0	0	2672
608	-1	11	17	0	0	0	0	2	0	0	0	2672
608	-1	10	22	0	0	0	0	2	0	0	0	2672
608	-1	11	22	0	0	0	0	2	0	0	0	2672
608	-1	10	20	0	0	0	0	2	0	0	0	2672
608	-1	9	20	0	0	0	0	2	0	0	0	2672
608	-1	11	20	0	0	0	0	2	0	0	0	2672
608	-1	10	28	0	0	0	0	2	0	0	0	2672
608	-1	11	28	0	0	0	0	2	0	0	0	2672
608	-1	8	37	0	0	0	0	2	0	0	0	2672
608	-1	10	37	0	0	0	0	2	0	0	0	2672
608	-1	9	37	0	0	0	0	2	0	0	0	2672
608	-1	11	37	0	0	0	0	2	0	0	0	2672
608	-1	7	38	0	0	0	0	2	0	0	0	2672
608	-1	8	38	0	0	0	0	2	0	0	0	2672
608	-1	10	38	0	0	0	0	2	0	0	0	2672
608	-1	9	38	0	0	0	0	2	0	0	0	2672
608	-1	11	38	0	0	0	0	2	0	0	0	2672
608	-1	7	21	0	0	0	0	2	0	0	0	2672
608	-1	10	21	0	0	0	0	2	0	0	0	2672
608	-1	11	21	0	0	0	0	2	0	0	0	2672
608	-1	10	23	0	0	0	0	2	0	0	0	2672
//티어 일반 아이템 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------												
608	-1	11	98	0	0	0	0	0	0	0	0	25
608	-1	11	99	0	0	0	0	0	0	0	0	25
608	-1	11	100	0	0	0	0	0	0	0	0	25
608	-1	11	101	0	0	0	0	0	0	0	0	25
608	-1	11	102	0	0	0	0	0	0	0	0	25
608	-1	11	103	0	0	0	0	0	0	0	0	25
608	-1	11	104	0	0	0	0	0	0	0	0	25
