//////////////////////////////////////////////////////////////////////////////////////									
// 									
//	[ Start  ] 	2015-02-12							
//	[ Latest ]	2015-02-12 06:09 PM							
//	[ Author ]	사재일							
//	[ Version ]	0.0.0.1							
//	[ Text ]	저장 시 반드시 MonsterItemDropRate.dat 로 저장							
//	[ Desc ]	점핑서버적용							
//////////////////////////////////////////////////////////////////////////////////////									
//상수값지점칼럼									
//확률지정 컬럼									
//	7.00 	4.80 	6.00 	7.00 	4.80 	1.20 			
									
//몬스터레벨	법서	축복의보석	영혼의보석	혼돈의보석	생명의보석	창조의보석	그외 아이템	//	총합
0	0	0	0	0	0	0	0	//	0
1	0	0	0	0	0	0	1	//	1
2	0	0	0	0	0	0	1	//	1
3	0	0	0	0	0	0	1	//	1
4	0	0	0	0	0	0	1	//	1
5	0.1118747	0	0	0	0	0	0.8881253	//	1
6	0.0871199	0	0	0	0	0	0.9128801	//	1
7	0	0	0	0	0	0	1	//	1
8	0.0707476	0	0	0	0	0	0.9292524	//	1
9	0.1271417	0	0	0	0	0	0.8728583	//	1
10	0.1184421	0	0	0	0	0	0.8815579	//	1
11	0	0	0	0	0	0	1	//	1
12	0.1040627	0	0	0	0	0	0.8959373	//	1
13	0.133476	0	0	0.016429	0	0	0.850095	//	1
14	0.1210328	0	0	0.0155064	0	0	0.8634608	//	1
15	0.1063923	0	0	0.0131684	0	0	0.8804393	//	1
16	0.0991536	0	0	0.0122493	0	0	0.8885971	//	1
17	0.1322447	0	0	0.0122787	0	0	0.8554766	//	1
18	0.1144507	0	0	0.0111517	0	0	0.8743976	//	1
19	0.112546	0	0	0.0108381	0	0	0.8766159	//	1
20	0.1099938	0	0	0.0099883	0	0	0.8800179	//	1
21	0.2085587	0	0	0.0155162	0	0	0.7759251	//	1
22	0.1342075	0	0	0.0102956	0	0	0.8554969	//	1
23	0	0	0	0	0	0	1	//	1
24	0.1161874	0	0	0.0111573	0	0	0.8726553	//	1
25	0.1490097	0	0	0.0108241	0	0	0.8401662	//	1
26	0.1390144	0.00138672	0	0.0105532	0	0	0.84904568	//	1
27	0	0	0	0	0	0	1	//	1
28	0.1133013	0.00145728	0	0.0101325	0	0	0.87510892	//	1
29	0	0	0	0	0	0	1	//	1
30	0.1243536	0.00122208	0	0.0095095	0	0	0.86491482	//	1
31	0	0	0	0	0	0	1	//	1
32	0.1088353	0.00127536	0.001614	0.0104083	0	0	0.87786704	//	1
33	0.1949927	0.0023784	0.0030642	0.01848	0	0	0.7810847	//	1
34	0.1163309	0.00139536	0.0018714	0.0115157	0	0	0.86888664	//	1
35	0	0	0	0	0	0	1	//	1
36	0.1465317	0.00148608	0.001917	0.0118237	0	0	0.83824152	//	1
37	0.2392054	0.00240192	0.0028854	0.0172221	0	0	0.73828518	//	1
38	0.1586487	0.00169968	0.0019494	0.0121254	0	0	0.82557682	//	1
39	0	0	0	0	0	0	1	//	1
40	0.1906394	0.00155616	0.0021474	0.0117754	0	0	0.79388164	//	1
41	0.3121454	0.00291792	0.0033792	0.0194383	0	0	0.66211918	//	1
42	0.2318078	0.00206544	0.0024948	0.0149695	0	0	0.74866246	//	1
43	0.3307283	0.0030264	0.0037416	0.0216433	0	0	0.6408604	//	1
44	0.290318	0.00294672	0.0039054	0.022715	0	0	0.68011488	//	1
45	0.2697037	0.00280992	0.0037218	0.0206486	0	0	0.70311598	//	1
46	0.2454515	0.00246768	0.0030324	0.0186347	0	0	0.73041372	//	1
47	0.2470251	0.00270192	0.0030336	0.0191877	0	0	0.72805168	//	1
48	0.2345686	0.0022776	0.0030654	0.0181902	0	0	0.7418982	//	1
49	0.2042082	0.00256512	0.0033522	0.0187565	0	0	0.77111798	//	1
50	0.259903	0.00245472	0.0033924	0.0198009	0	0	0.71444898	//	1
51	0.2226973	0.0022128	0.0027336	0.0163996	0	0	0.7559567	//	1
52	0.2674476	0.0031392	0.003054	0.0200466	0	0	0.7063126	//	1
53	0.2525152	0.00263088	0.0030702	0.0195888	0	0	0.72219492	//	1
54	0.1412397	0.0023592	0.0031266	0.0176141	0	0	0.8356604	//	1
55	0.1398152	0.0026328	0.0029976	0.0170646	0	0	0.8374898	//	1
56	0.1386952	0.00250128	0.0030882	0.0168385	0	0	0.83887682	//	1
57	0.1408428	0.00219216	0.0029538	0.017843	0	0	0.83616824	//	1
58	0.1810522	0.00316992	0.0038934	0.0228907	0	0	0.78899378	//	1
59	0	0	0	0	0	0	1	//	1
60	0.111454	0.00296208	0.0036162	0.0212163	0	0	0.86075142	//	1
61	0.1056986	0.00258144	0.0031404	0.0200039	0	0	0.86857566	//	1
62	0.1116815	0.0025704	0.0034116	0.0209671	0	0	0.8613694	//	1
63	0.1033361	0.00268752	0.0036342	0.0193907	0	0	0.87095148	//	1
64	0.1153061	0.00291168	0.0036498	0.0214858	0	0	0.85664662	//	1
65	0.1142645	0.00302928	0.0037506	0.0220283	0	0	0.85692732	//	1
66	0.1456469	0.00359376	0.0047568	0.0276976	0	0	0.81830494	//	1
67	0.1385475	0.00380688	0.0044592	0	0	0	0.85318642	//	1
68	0.138243	0.00355872	0.0043446	0	0	0	0.85385368	//	1
69	0.0571907	0.00281616	0.0037926	0	0	0	0.93620054	//	1
70	0.0596211	0.00307728	0.0038238	0	0	0	0.93347782	//	1
71	0	0	0	0	0	0	1	//	1
72	0.0607523	0.00307536	0.004011	0	0	0	0.93216134	//	1
73	0	0	0	0	0	0	1	//	1
74	0.1216446	0.00288912	0.0037794	0	0.00311616	0	0.86857072	//	1
75	0.1778084	0.00316704	0.0040146	0	0.00287136	0	0.8121386	//	1
76	0.1722714	0.00284016	0.0040374	0	0.00310032	0	0.81775072	//	1
77	0.2373329	0.00302688	0.0038724	0	0.00316464	0	0.75260318	//	1
78	0.2446388	0.00305616	0.0039954	0	0.00308352	0	0.74522612	//	1
79	0.1608355	0.00280656	0.0036996	0	0.00264144	0.00074304	0.82927386	//	1
80	0.3617446	0.00385776	0.0044238	0	0.0036048	0.00093504	0.625434	//	1
81	0.3538332	0.00359664	0.0043056	0	0.00391632	0.000903	0.63344524	//	1
82	0.3669337	0.00375408	0.0045696	0	0.00355824	0.000891	0.62029338	//	1
83	0.4905817	0.00345264	0.0046002	0	0.00354768	0.00090936	0.49690842	//	1
84	0.5877123	0.00436944	0.0053214	0	0.00397488	0.00106572	0.39755626	//	1
85	0.5721667	0.00426336	0.0053958	0	0.0044304	0.00103056	0.41271318	//	1
86	0.5828984	0.00419568	0.0050706	0	0.0042768	0.0010506	0.40250792	//	1
87	0.6129557	0.0045384	0.0055734	0	0.00456576	0.00109572	0.37127102	//	1
88	0.5307918	0.00311424	0.0041154	0	0.00331776	0.00080844	0.45785236	//	1
89	0	0	0	0	0	0	1	//	1
90	0.6788936	0.00432336	0.0054726	0	0.00432336	0.00111624	0.30587084	//	1
91	0	0	0	0	0	0	1	//	1
92	0.4754022	0.00302592	0.0037518	0	0.0032832	0.0007614	0.51377548	//	1
93	0.5995759	0.0031464	0.0038796	0	0.0028224	0.0007452	0.3898305	//	1
94	0.5778731	0.0033024	0.0041322	0	0.00344592	0.00075468	0.4104917	//	1
95	0.5465313	0.00318624	0.003942	0	0.00302496	0.000789	0.4425265	//	1
96	0.5570425	0.00309312	0.0041358	0	0.00324192	0.00077028	0.43171638	//	1
97	0.5256433	0.00293616	0.003732	0	0.0030168	0.00077784	0.4638939	//	1
98	0.4923709	0.00291072	0.003729	0	0.0028488	0.00072768	0.4974129	//	1
99	0.3327275	0.00263904	0.0028884	0	0.00232512	0.00058956	0.65883038	//	1
100	0.4250302	0.00224592	0.002553	0	0.00205824	0.0005256	0.56758704	//	1
101	0.4056598	0.00194496	0.0024798	0	0.00207024	0.000507	0.5873382	//	1
102	0.2995104	0.00182256	0.0022482	0	0.00195312	0.00041856	0.69404716	//	1
103	0	0	0	0	0	0	1	//	1
104	0.3871049	0.002532	0.0032628	0	0.00239904	0.00059208	0.60410918	//	1
105	0.2945852	0.00182592	0.0024096	0	0.00192816	0.0004704	0.69878072	//	1
106	0.3807412	0.0023424	0.0031818	0	0.00252912	0.0006594	0.61054608	//	1
107	0.3420228	0.00260304	0.0030246	0	0.00251952	0.00061908	0.64921096	//	1
108	0.3119494	0.00234384	0.0029208	0	0.002412	0.00055128	0.67982268	//	1
109	0.3687684	0.00260736	0.0033036	0	0.00272304	0.00066396	0.62193364	//	1
110	0.3403666	0.00230256	0.0030312	0	0.00246288	0.00059532	0.65124144	//	1
111	0.3844652	0.00239712	0.0031692	0	0.0023784	0.0006084	0.60698168	//	1
112	0.3220581	0.00319344	0.0041382	0	0.00330048	0.00085068	0.6664591	//	1
113	0.3393894	0.00355968	0.004182	0	0.00325488	0.000801	0.64881304	//	1
114	0.3590314	0.0034848	0.0046344	0	0.00342624	0.00100608	0.62841708	//	1
115	0.145103	0.00181584	0.0022932	0	0.00185184	0.0004734	0.84846272	//	1
116	0	0	0	0	0	0	1	//	1
117	0.2323216	0.0029112	0.003606	0	0.00300672	0.0007974	0.75735708	//	1
118	0.3089695	0.00405216	0.004929	0	0.00384048	0.00098292	0.67722594	//	1
119	0.0635033	0.0033288	0.0041268	0	0.00355344	0.0008592	0.92462846	//	1
120	0.0779478	0.0039048	0.0046758	0	0.0037056	0.00096588	0.90880012	//	1
121	0.0774431	0.003984	0.0046548	0	0.0038448	0.00096252	0.90911078	//	1
122	0.0972524	0.0048264	0.0067212	0	0.00479472	0.0012342	0.88517108	//	1
123	0.1151808	0.00605088	0.0074988	0	0.00572016	0.00144996	0.8640994	//	1
124	0.1207682	0.0058584	0.0080394	0	0.0062232	0.001572	0.8575388	//	1
125	0.1251796	0.0064008	0.0074946	0	0.00636912	0.00165768	0.8528982	//	1
126	0.1216425	0.00662352	0.0075966	0	0.00633504	0.00151308	0.85628926	//	1
127	0.1386056	0.00649776	0.0088452	0	0.007488	0.0017814	0.83678204	//	1
128	0.1011647	0.00542112	0.0064272	0	0.0052632	0.00121812	0.88050566	//	1
129	0.1012781	0.005076	0.0067758	0	0.00535488	0.00130752	0.8802077	//	1
130	0	0.00730992	0.0092916	0	0.0070464	0.0018246	0.97452748	//	1
131	0	0.00771264	0.0095112	0	0.00744096	0.0019452	0.97339	//	1
132	0	0.0069336	0.0088104	0	0.00691632	0.00171432	0.97562536	//	1
133	0	0.00721488	0.0095208	0	0.0077016	0.00195924	0.97360348	//	1
134	0	0.00762	0.0100644	0	0.00788784	0.00196356	0.9724642	//	1
135	0	0.0044424	0.0052998	0	0.0045984	0.0011094	0.98455	//	1
136	0	0	0	0	0	0	1	//	1
137	0	0.00522432	0.006426	0	0.00519456	0.00129096	0.98186416	//	1
138	0	0	0	0	0	0	1	//	1
139	0	0	0	0	0	0	1	//	1
140	0	0.00334464	0.0048336	0	0.00355344	0.0009456	0.98732272	//	1
141	0	0.0046176	0.0055098	0	0.0044088	0.00115008	0.98431372	//	1
142	0	0.0051072	0.0062982	0	0.00484752	0.00125544	0.98249164	//	1
