////////////////////////////////////////////////////////																															
// text ver. 1.0.0.2																															
// version 1.01  - T서버																															
// version 1.01  - M서버																															
// 최종작업자 - 이민정																															
// 최종작업일 - 2006-09-18  2:53:18 PM																															
// 내용 - 가중치 변경																															
////////////////////////////////////////////////////////																															
// 주의 - 최소레벨 및 lv0~lv13 값의 범위는 0~255																															
// 주의2 - 방어구류의 생명력 자동 증가량 상승은 반드시 강화옵션 이외의 기본 옵션으로 자생옵이 있어야 발동됨																															
																															
// 옵션 타입	옵션 이름	가중치	최소레벨	lv0	rzen0	lv1	rzen1	lv2	rzen2	lv3	rzen3	lv4	rzen4	lv5	rzen5	lv6	rzen6	lv7	rzen7	lv8	rzen8	lv9	rzen9	lv10	rzen10	lv11	rzen11	lv12	rzen12	lv13	rzen13
1	// 무기류																														
1	"최소 공격력 상승"	49	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
2	"최대 공격력 상승"	49	0	3	100000	4	110000	5	120000	6	130000	7	140000	8	150000	10	200000	12	220000	14	240000	17	280000	20	320000	23	360000	26	400000	29	500000
3	"필요 힘 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
4	"필요 민첩 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
5	"공격력 상승(최소, 최대)"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	7	200000	8	220000	9	240000	11	280000	12	320000	14	360000	16	400000	19	500000
6	"크리티컬 데미지 상승"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	12	200000	14	220000	16	240000	18	280000	20	320000	22	360000	24	400000	30	500000
7	"스킬 공격력 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	280000	14	320000	16	360000	18	400000	22	500000
8	"공격 성공률 상승(PVP)"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	280000	7	320000	9	360000	11	400000	14	500000
9	"SD 감소율 상승"	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	280000	5	320000	7	360000	9	400000	10	500000
10	"공격시 SD 무시 확률 상승"	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	500000
11	"신규 조화의보석 옵션11"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
12	"신규 조화의보석 옵션12"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
13	"신규 조화의보석 옵션13"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
14	"신규 조화의보석 옵션14"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
15	"신규 조화의보석 옵션15"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
16	"신규 조화의보석 옵션16"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
17	"신규 조화의보석 옵션17"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
18	"신규 조화의보석 옵션18"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
19	"신규 조화의보석 옵션19"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
20	"신규 조화의보석 옵션20"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
21	"신규 조화의보석 옵션21"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
22	"신규 조화의보석 옵션22"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
23	"신규 조화의보석 옵션23"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
24	"신규 조화의보석 옵션24"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
25	"신규 조화의보석 옵션25"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
26	"신규 조화의보석 옵션26"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
27	"신규 조화의보석 옵션27"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
28	"신규 조화의보석 옵션28"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
29	"신규 조화의보석 옵션29"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
30	"신규 조화의보석 옵션30"	20	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
