// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
0	0	78	226	93	237	//로랜시아														
1	3	72	36	87	47	//노리아														
2	4	19	101	34	112	//로스트타워														
3	8	149	208	164	219	//타르칸														
4	112	25	108	40	117	//페리아														
5	112	111	12	126	23	//페리아														
6	33	131	15	146	26	//아이다														
7	37	165	158	180	169	//칸투르 폐허														
8	80	34	79	49	88	//칼루탄1														
9	80	213	167	228	176	//칼루탄1														
10	81	57	135	72	144	//칼루탄2														
11	57	76	24	91	35	// 라클리온(필드)														
12	58	138	25	153	36	// 라클리온 부화장(보스존)														
13	56	224	195	239	206	//평온의늪														
14	56	226	72	241	83	//평온의늪														
15	56	212	25	226	36	//평온의늪														
16	56	24	178	39	189	//평온의늪														
17	91	71	27	86	38	//아케론														
18	91	217	14	232	25	//아케론														
19	95	74	25	89	36	//데벤테르														
20	100	89	65	104	76	//우르크산														
21	100	86	24	101	35	//우르크산														
22	63	38	11	53	22	//불카누스														
23	63	138	207	153	218	//불카누스														
24	31	205	17	220	28	//시련의땅(공성전 사냥터)														
25	113	181	132	198	143	//닉시스호수														
26	112	108	187	123	199	//페리아														
27	0	47	146	62	157	//로랜시아														
28	0	24	21	39	32	//로랜시아														
29	0	205	48	220	59	//로랜시아														
30	1	1	101	16	112	//던전														
31	1	27	114	42	125	//던전														
32	2	158	8	171	19	//데비아스														
33	2	48	8	63	19	//데비아스														
34	6	81	80	96	91	//경기장														
35	9	65	93	80	104	//악마의광장 1~4														
36	31	46	50	61	61	//시련의땅(공성전 사냥터)														
37	31	53	218	68	229	//시련의땅(공성전 사냥터)														
end																				
//몬스터 능력치 상수																				
1																				
//미궁 단계	HP	damagemin	damagemax	defence	Monster Exp Level	축복의 보석														
1	1	1.1	1.1	1	1	0.001														
2	1.1	1.2	1.2	1.3	1.1	0.0035														
3	1.3	1.4	1.4	1.5	1.2	0.004														
4	1.5	1.6	1.6	1.7	1.3	0.005														
5	1.7	1.8	1.8	1.9	1.4	0.0065														
6	1.9	2.2	2.2	2.5	1.5	0.007														
7	2.5	2.7	2.7	3	1.6	0.0075														
end																				
																				
//지역 설정																				
2																				
//지역 타입 	지역 인덱스	사냥 미션 종류1	사냥 미션 값1	사냥 미션 종류2	사냥 미션 값2	사냥 미션 종류3	사냥 미션 값3	사냥 미션 종류4	사냥 미션 값4	사냥 미션 종류5	사냥 미션 값5	사냥 미션 종류6	사냥 미션 값6	몬스터 인덱스	개체 수	몬스터 인덱스	개체 수	몬스터 인덱스	개체 수	
//이동 불가 지역																				
0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//입구 지역																				
1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//일반 지역																				
2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//함정 지역																				
3	0	1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//몬스터 목표 마리 수 처치
3	1	2	65000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//젠 수집
3	2	3	8000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//누적데미지 달성
3	3	4	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//획득경험치 달성
3	4	5	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//누적 피격 데미지 달성
3	5	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//도우미 사용 시간 (분)
3	6	7	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//치료물약 없이 몬스터 목표 마리 수 처치
3	7	8	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//마나물약 없이 몬스터 목표 마리 수 처치
//미션 지역																				
4	0	1	3400	2	3500000	3	384000000	4	14400000	5	400000	6	144	754	2	755	2	756	2	
end																				
																				
//맵 구성 설정																				
3																				
// 맵 구성 번호	단계	행 개수	열 개수																	
1	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	8	3	2	0	0	0	2	//정상											
