//////////////////////////////////////////////////////////////////////////////////////															
// LuckyItem02															
//	[ Start  ] 	2010-09-06													
//	[ Latest ]	2010-09-06 2010-09-06													
//	[ Author ]	이기수													
//	[ Version ]	0.0.0.1													
//	[ Text ]	럭키아이템 스크립트 시작													
//	[ Desc ]	럭키아이템 스크립트 시작													
//////////////////////////////////////////////////////////////////////////////////////															
//CLASS_법사	0														
//CLASS_기사	1														
//CLASS_요정	2														
//CLASS_마검사	3														
//CLASS_다크로드	4														
//CLASS_소환술사	5														
//CLASS_레이지파이터	6														
//CLASS_그로우랜서	7														
0															
	// Type	Index	아이템 종류												
	13	142	2	//투구											
	13	140	3	//갑옷											
	13	141	4	//바지											
	13	143	5	//장갑											
	13	144	6	//부츠											
end															
//아이템 리스트															
	// Type	Index	Skill	LuckOption	AddOption	종족									
	//투구														
2															
	7	66	0	1	1	4	//메테르의 다크소울헬멧								
	7	67	0	1	1	1	//헤카톤의 드라곤헬멧								
	7	68	0	1	1	2	//카스톨의 수호헬멧								
	7	69	0	1	1	0	//타로스의 전설헬멧								
	7	70	0	1	1	5	//네메시스의 레드윙헬멧								
	7	72	0	1	1	6	//트리테의 스톰자하드헬멧								
	7	97	0	1	1	7	//멜롱이의 프린시헬멧								
end															
	//갑옷														
3															
	8	66	0	1	1	4	//메테르의 다크소울갑옷								
	8	67	0	1	1	1	//헤카톤의 드라곤갑옷								
	8	68	0	1	1	2	//카스톨의 수호갑옷								
	8	69	0	1	1	0	//타로스의 전설갑옷								
	8	70	0	1	1	5	//네메시스의 레드윙갑옷								
	8	71	0	1	1	3	//아미스의 아틀란스갑옷								
	8	72	0	1	1	6	//트리테의 스톰자하드갑옷								
	8	97	0	1	1	7	//멜롱이의 프린시갑옷								
end															
	//바지														
4															
	9	66	0	1	1	4	//메테르의 다크소울바지								
	9	67	0	1	1	1	//헤카톤의 드라곤바지								
	9	68	0	1	1	2	//카스톨의 수호바지								
	9	69	0	1	1	0	//타로스의 전설바지								
	9	70	0	1	1	5	//네메시스의 레드윙바지								
	9	71	0	1	1	3	//아미스의 아틀란스바지								
	9	72	0	1	1	6	//트리테의 스톰자하드바지								
	9	97	0	1	1	7	//멜롱이의 프린시바지								
end															
	//장갑														
5															
	10	66	0	1	1	4	//메테르의 다크소울장갑								
	10	67	0	1	1	1	//헤카톤의 드라곤장갑								
	10	68	0	1	1	2	//카스톨의 수호장갑								
	10	69	0	1	1	0	//타로스의 전설장갑								
	10	70	0	1	1	5	//네메시스의 레드윙장갑								
	10	71	0	1	1	3	//아미스의 아틀란스장갑								
	10	97	0	1	1	7	//멜롱이의 프린시장갑								
end															
	//부츠														
6															
	11	66	0	1	1	4	//메테르의 다크소울부츠								
	11	67	0	1	1	1	//헤카톤의 드라곤부츠								
	11	68	0	1	1	2	//카스톨의 수호부츠								
	11	69	0	1	1	0	//타로스의 전설부츠								
	11	70	0	1	1	5	//네메시스의 레드윙부츠								
	11	71	0	1	1	3	//아미스의 아틀란스부츠								
	11	72	0	1	1	6	//트리테의 스톰자하드부츠								
	11	97	0	1	1	7	//멜롱이의 프린시부츠								
end															
	//아이템 레벨확률 총합은 1000000이 되야함														
	// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel		// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel	확률
20															
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2	//투구	3	//갑옷	4	//바지	5	//장갑	6	//부츠					
0	0	34286	0	34286	0	34286	0	34286	0	34286					
1	1	68571	1	68571	1	68571	1	68571	1	68571					
2	2	102857	2	102857	2	102857	2	102857	2	102857					
3	3	205714	3	205714	3	205714	3	205714	3	205714					
4	4	171429	4	171429	4	171429	4	171429	4	171429					
5	5	137143	5	137143	5	137143	5	137143	5	137143					
6	6	117188	6	117188	6	117188	6	117188	6	117188					
7	7	78125	7	78125	7	78125	7	78125	7	78125					
8	8	54688	8	54688	8	54688	8	54688	8	54688					
9	9	9412	9	9412	9	9412	9	9412	9	9412					
10	10	7059	10	7059	10	7059	10	7059	10	7059					
11	11	4706	11	4706	11	4706	11	4706	11	4706					
12	12	3529	12	3529	12	3529	12	3529	12	3529					
13	13	2353	13	2353	13	2353	13	2353	13	2353					
14	14	1765	14	1765	14	1765	14	1765	14	1765					
15	15	1175	15	1175	15	1175	15	1175	15	1175					
//		1000000		1000000		1000000		1000000		1000000					
end															
21	// 각 추가 옵션이 붙을 확률 ( 총합은 1000000이 되야함) AddOption														
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2:투구	3:갑옷	4:바지	5:장갑	6:부츠										
0	600000	600000	500000	400000	300000	// +0									
1	200000	200000	200000	200000	200000	// +4									
2	100000	100000	100000	100000	100000	// +8									
3	100000	100000	200000	300000	400000	// +12									
end															
22	// 각 추가 옵션이 붙을 확률 ( 총합은 1000000이 되야함) SetOpt														
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2:투구	3:갑옷	4:바지	5:장갑	6:부츠										
0	700000	700000	700000	700000	700000	//									
1	300000	300000	300000	300000	300000	//									
end															
23															
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2	//투구	3	//갑옷	4	//바지	5	//장갑	6	//부츠					
0	0	255	0	0	255	0	0	255	0	0	255	0	0	255	0
1	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
2	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
3	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
4	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
5	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
6	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
7	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
8	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
