/////////////////////////////////////////////////////////////////////////////////////////							
//	[Text Ver]	0.0.2.1					
//	[작업자]	사재일					
//	[작업일]	2015-05-13 14:55					
//	[작업 내용]	아드니엘 엘베란트 추가					
//	새롭게 작업되는 NPC 관련 내용이 있을 경우 spMapTag(특성화서버)에도 추가 해야 한다						
/////////////////////////////////////////////////////////////////////////////////////////							
							
// NPC							
//Index	MapIndex	NpcIndex	X위치	Y위치	tag	visible	NAME
0							
//로랜시장							
0	79	240	45	75	5	1	"창고"
1	79	240	77	45	5	1	"창고"
2	79	546	60	39	4	1	"보석상인 라울"
3	79	545	43	46	4	1	"잡화상인 크리스틴"
4	79	547	53	72	2	1	"줄리아"
5	79	651	38	64	2	1	"로랜시장 개인상점 게시판"
6	79	651	68	73	2	1	"로랜시장 개인상점 게시판"
8	79	540	14	59	2	1	"루가드"
9	79	385	24	67	2	1	"미라쥬"
10	79	669	44	62	2	1	"엘린"
11	79	719	186	93	2	1	"대천사의 전령(블러드캐슬)"
12	79	720	221	95	2	1	"카론(악마의광장)"
13	79	721	234	30	2	1	"보좌관 제린트(제국수호군)"
14	79	723	168	57	2	1	"루가드(도플갱어)"
15	79	240	197	66	5	1	"세이프티 가디언"
16	79	240	169	51	5	1	""
17	79	240	232	97	5	1	""
18	79	240	185	87	5	1	""
19	79	240	190	14	5	1	""
20	79	240	234	23	5	1	""
21	79	725	215	56	4	1	"사제 제임스"
22	79	238	217	62	2	1	"카오스 고블린"
23	79	255	208	62	4	1	"리아먼"
24	79	238	194	95	2	1	"카오스 고블린"
25	79	255	190	95	4	1	""
26	79	238	228	95	2	1	"카오스 고블린"
27	79	255	228	93	4	1	""
28	79	238	230	31	2	1	"카오스 고블린"
29	79	255	231	23	4	1	""
30	79	255	194	13	4	1	""
31	79	255	169	53	4	1	""
32	79	722	188	21	2	1	"미라쥬(환영의사원)"
33	79	547	198	49	2	1	"줄리아"
34	79	758	236	59	2	1	"차원의 문(차원의미궁)"
//인스턴스 광장							
