//////////////////////////////////////////////////////////////////////////////////////																			
// MixMasteryItem																			
// [ 파일 생성 ]	2016-08-16																		
// [ 수정 일자 ]	2016-08-16 04:22 PM																		
// [ 수  정  자 ]	사재일																		
// [ 버       전 ]	0.0.0.1																		
// [ 수정 내용 ]	최초등록																		
// [ 참       조 ]	서버전용 스크립트																		
//////////////////////////////////////////////////////////////////////////////////////																			
// Season12 P.1업데이트 이후의 마스터리 아이템 조합에 사용가능한 스크립트 입니다. (아래 조합설정 이후로 적용)																			
// 조합 아이템 추가 등록 시 아래 기재																			
// 1차 마스터리 무기 - 블러드엔젤무기 아이템 조합 -> 다크엔젤무기 아이템 업그레이드																			
// 2차 마스터리 방어구 - 다크엔젤방어구 아이템 조합 -> 홀리엔젤방어구 아이템으로 업그레이드																			
// 신규 조건 추가 : 0번 테이블 - OPTION (명령어 : /만들기 0 42 0 0 0 0 4)  - 빨간색 텍스트가 추가옵션값 들어가는 위치 입니다. 들어갈 수 있는 값은 1, 2, 3 4 값 입니다.)																			
// 신규 조건 추가 : 1번 테이블 - Rate : 조합확률을 설정합니다. (1/100) 설정으로 100 값을 등록하면 100% 입니다.																			
// 신규 조건 추가 : 1번 테이블 - ZEN : 조합 시 필요한 젠을 설정합니다. 조합에 필요한 최대 젠은 1억젠 입니다.																			
// 신규 조건 추가 : 조합재료로 사용될 아이템의 속성을 설정합니다. ( 0 : 기타 아이템 / 1 : 엑설런트아이템 / 2 : 세트아이템)																			
// 0번 테이블 - 조합재료아이템 리스트 등록 및 인덱스 부여																			
// 아이템에 조합 인덱스 부여하고 해당 인덱스를 이용하여 1번 테이블의 조합설정을 작성할 수 있습니다 : 100개의 인덱스를 부여할 수 있으며 확장 가능																			
//index	type	index	MinLevel	MaxLevel		Dur (내구개수)	Item Name												
0																			
// 기본 보석재료																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
0	14	13	0	0	0	0	0	"축복의보석"	// 일반보석										
1	14	14	0	0	0	0	0	"영혼의보석"	// 일반보석										
2	14	16	0	0	0	0	0	"생명의보석"	// 일반보석										
3	14	22	0	0	0	0	0	"창조의보석"	// 일반보석										
4	14	31	0	0	0	0	0	"수호보석"	// 일반보석										
5	14	42	0	0	0	0	0	"조화의보석"	// 일반보석										
6	12	15	0	0	0	0	0	"혼돈의보석"	// 일반보석										
7	12	30	0	0	0	0	0	"축복의보석묶음"	// 10개 묶음										
8	12	31	0	0	0	0	0	"영혼의보석묶음"	// 10개 묶음										
9	12	136	0	0	0	0	0	"생명의보석묶음"	// 10개 묶음										
10	12	137	0	0	0	0	0	"창조의보석묶음"	// 10개 묶음										
11	12	138	0	0	0	0	0	"수호보석묶음"	// 10개 묶음										
12	12	140	0	0	0	0	0	"조화의보석묶음"	// 10개 묶음										
13	12	141	0	0	0	0	0	"혼돈의보석묶음"	// 10개 묶음										
14	12	30	1	1	0	0	0	"축복의보석묶음"	// 20개 묶음										
15	12	31	1	1	0	0	0	"영혼의보석묶음"	// 20개 묶음										
16	12	136	1	1	0	0	0	"생명의보석묶음"	// 20개 묶음										
17	12	137	1	1	0	0	0	"창조의보석묶음"	// 20개 묶음										
18	12	138	1	1	0	0	0	"수호보석묶음"	// 20개 묶음										
19	12	140	1	1	0	0	0	"조화의보석묶음"	// 20개 묶음										
20	12	141	1	1	0	0	0	"혼돈의보석묶음"	// 20개 묶음										
21	12	30	2	2	0	0	0	"축복의보석묶음"	// 30개 묶음										
22	12	31	2	2	0	0	0	"영혼의보석묶음"	// 30개 묶음										
23	12	136	2	2	0	0	0	"생명의보석묶음"	// 30개 묶음										
24	12	137	2	2	0	0	0	"창조의보석묶음"	// 30개 묶음										
25	12	138	2	2	0	0	0	"수호보석묶음"	// 30개 묶음										
26	12	140	2	2	0	0	0	"조화의보석묶음"	// 30개 묶음										
27	12	141	2	2	0	0	0	"혼돈의보석묶음"	// 30개 묶음										
// 2차 마스터리 무기 업그레이드 조합재료																			
