//////////////////////////////////////////////////////////////////////////////////////									
// EventItemBag62									
//	[ Start  ] 	2009.07.							
//	[ Latest ]	2013-03-14 05:30 PM							
//	[ Author ]	이기수							
//	[ Version ]	0.0.0.3							
//	[ Text ]	저장 시 반드시 MonsterItemDropRate.dat 로 저장							
//	[ Desc ]	레드/블루 0.1 수치 하향(아이스,레나,테스트 제외)							
//////////////////////////////////////////////////////////////////////////////////////									
//상수값지점칼럼									
//확률지정 컬럼									
//	0.80 	0.80 	0.80 	1.30 	0.80 	0.80 			
									
//몬스터레벨	법서	축복의보석	영혼의보석	혼돈의보석	생명의보석	창조의보석	그외 아이템	//	총합
0	0	0	0	0	0	0	0	//	0
1	0	0	0	0	0	0	1	//	1
2	0	0	0	0	0	0	1	//	1
3	0	0	0	0	0	0	1	//	1
4	0	0	0	0	0	0	1	//	1
5	0.01278568	0	0	0	0	0	0.98721432	//	1
6	0.00995656	0	0	0	0	0	0.99004344	//	1
7	0	0	0	0	0	0	1	//	1
8	0.00808544	0	0	0	0	0	0.99191456	//	1
9	0.01453048	0	0	0	0	0	0.98546952	//	1
10	0.01353624	0	0	0	0	0	0.98646376	//	1
11	0	0	0	0	0	0	1	//	1
12	0.01189288	0	0	0	0	0	0.98810712	//	1
13	0.0152544	0	0	0.0030511	0	0	0.9816945	//	1
14	0.01383232	0	0	0.00287976	0	0	0.98328792	//	1
15	0.01215912	0	0	0.00244556	0	0	0.98539532	//	1
16	0.01133184	0	0	0.00227487	0	0	0.98639329	//	1
17	0.01511368	0	0	0.00228033	0	0	0.98260599	//	1
18	0.01308008	0	0	0.00207103	0	0	0.98484889	//	1
19	0.0128624	0	0	0.00201279	0	0	0.98512481	//	1
20	0.01257072	0	0	0.00185497	0	0	0.98557431	//	1
21	0.02383528	0	0	0.00288158	0	0	0.97328314	//	1
22	0.015338	0	0	0.00191204	0	0	0.98274996	//	1
23	0	0	0	0	0	0	1	//	1
24	0.01327856	0	0	0.00207207	0	0	0.98464937	//	1
25	0.01702968	0	0	0.00201019	0	0	0.98096013	//	1
26	0.01588736	0.00023112	0	0.00195988	0	0	0.98192164	//	1
27	0	0	0	0	0	0	1	//	1
28	0.01294872	0.00024288	0	0.00188175	0	0	0.98492665	//	1
29	0	0	0	0	0	0	1	//	1
30	0.01421184	0.00020368	0	0.00176605	0	0	0.98381843	//	1
31	0	0	0	0	0	0	1	//	1
32	0.01243832	0.00021256	0.0002152	0.00193297	0	0	0.98520095	//	1
33	0.02228488	0.0003964	0.00040856	0.003432	0	0	0.97347816	//	1
34	0.01329496	0.00023256	0.00024952	0.00213863	0	0	0.98408433	//	1
35	0	0	0	0	0	0	1	//	1
36	0.01674648	0.00024768	0.0002556	0.00219583	0	0	0.98055441	//	1
37	0.02733776	0.00040032	0.00038472	0.00319839	0	0	0.96867881	//	1
38	0.01813128	0.00028328	0.00025992	0.00225186	0	0	0.97907366	//	1
39	0	0	0	0	0	0	1	//	1
40	0.02178736	0.00025936	0.00028632	0.00218686	0	0	0.9754801	//	1
41	0.03567376	0.00048632	0.00045056	0.00360997	0	0	0.95977939	//	1
42	0.02649232	0.00034424	0.00033264	0.00278005	0	0	0.97005075	//	1
43	0.03779752	0.0005044	0.00049888	0.00401947	0	0	0.95717973	//	1
44	0.0331792	0.00049112	0.00052072	0.0042185	0	0	0.96159046	//	1
45	0.03082328	0.00046832	0.00049624	0.00383474	0	0	0.96437742	//	1
46	0.0280516	0.00041128	0.00040432	0.00346073	0	0	0.96767207	//	1
47	0.02823144	0.00045032	0.00040448	0.00356343	0	0	0.96735033	//	1
48	0.02680784	0.0003796	0.00040872	0.00337818	0	0	0.96902566	//	1
49	0.02333808	0.00042752	0.00044696	0.00348335	0	0	0.97230409	//	1
50	0.0297032	0.00040912	0.00045232	0.00367731	0	0	0.96575805	//	1
51	0.02545112	0.0003688	0.00036448	0.00304564	0	0	0.97076996	//	1
52	0.03056544	0.0005232	0.0004072	0.00372294	0	0	0.96478122	//	1
53	0.02885888	0.00043848	0.00040936	0.00363792	0	0	0.96665536	//	1
54	0.01614168	0.0003932	0.00041688	0.00327119	0	0	0.97977705	//	1
55	0.01597888	0.0004388	0.00039968	0.00316914	0	0	0.9800135	//	1
56	0.01585088	0.00041688	0.00041176	0.00312715	0	0	0.98019333	//	1
57	0.01609632	0.00036536	0.00039384	0.0033137	0	0	0.97983078	//	1
58	0.02069168	0.00052832	0.00051912	0.00425113	0	0	0.97400975	//	1
59	0	0	0	0	0	0	1	//	1
60	0.0127376	0.00049368	0.00048216	0.00394017	0	0	0.98234639	//	1
61	0.01207984	0.00043024	0.00041872	0.00371501	0	0	0.98335619	//	1
62	0.0127636	0.0004284	0.00045488	0.00389389	0	0	0.98245923	//	1
63	0.01180984	0.00044792	0.00048456	0.00360113	0	0	0.98365655	//	1
64	0.01317784	0.00048528	0.00048664	0.00399022	0	0	0.98186002	//	1
65	0.0130588	0.00050488	0.00050008	0.00409097	0	0	0.98184527	//	1
66	0.01664536	0.00059896	0.00063424	0.00514384	0	0	0.9769776	//	1
67	0.015834	0.00063448	0.00059456	0	0	0	0.98293696	//	1
68	0.0157992	0.00059312	0.00057928	0	0	0	0.9830284	//	1
69	0.00653608	0.00046936	0.00050568	0	0	0	0.99248888	//	1
70	0.00681384	0.00051288	0.00050984	0	0	0	0.99216344	//	1
71	0	0	0	0	0	0	1	//	1
72	0.00694312	0.00051256	0.0005348	0	0	0	0.99200952	//	1
73	0	0	0	0	0	0	1	//	1
74	0.01390224	0.00048152	0.00050392	0	0.00051936	0	0.98459296	//	1
75	0.02032096	0.00052784	0.00053528	0	0.00047856	0	0.97813736	//	1
76	0.01968816	0.00047336	0.00053832	0	0.00051672	0	0.97878344	//	1
77	0.02712376	0.00050448	0.00051632	0	0.00052744	0	0.971328	//	1
78	0.02795872	0.00050936	0.00053272	0	0.00051392	0	0.97048528	//	1
79	0.0183812	0.00046776	0.00049328	0	0.00044024	0.00049536	0.97972216	//	1
80	0.04134224	0.00064296	0.00058984	0	0.0006008	0.00062336	0.9562008	//	1
81	0.04043808	0.00059944	0.00057408	0	0.00065272	0.000602	0.95713368	//	1
82	0.04193528	0.00062568	0.00060928	0	0.00059304	0.000594	0.95564272	//	1
83	0.05606648	0.00057544	0.00061336	0	0.00059128	0.00060624	0.9415472	//	1
84	0.06716712	0.00072824	0.00070952	0	0.00066248	0.00071048	0.93002216	//	1
85	0.06539048	0.00071056	0.00071944	0	0.0007384	0.00068704	0.93175408	//	1
86	0.06661696	0.00069928	0.00067608	0	0.0007128	0.0007004	0.93059448	//	1
87	0.07005208	0.0007564	0.00074312	0	0.00076096	0.00073048	0.92695696	//	1
88	0.06066192	0.00051904	0.00054872	0	0.00055296	0.00053896	0.9371784	//	1
89	0	0	0	0	0	0	1	//	1
90	0.07758784	0.00072056	0.00072968	0	0.00072056	0.00074416	0.9194972	//	1
91	0	0	0	0	0	0	1	//	1
92	0.05433168	0.00050432	0.00050024	0	0.0005472	0.0005076	0.94360896	//	1
93	0.06852296	0.0005244	0.00051728	0	0.0004704	0.0004968	0.92946816	//	1
94	0.06604264	0.0005504	0.00055096	0	0.00057432	0.00050312	0.93177856	//	1
95	0.06246072	0.00053104	0.0005256	0	0.00050416	0.000526	0.93545248	//	1
96	0.063662	0.00051552	0.00055144	0	0.00054032	0.00051352	0.9342172	//	1
97	0.06007352	0.00048936	0.0004976	0	0.0005028	0.00051856	0.93791816	//	1
98	0.05627096	0.00048512	0.0004972	0	0.0004748	0.00048512	0.9417868	//	1
99	0.038026	0.00043984	0.00038512	0	0.00038752	0.00039304	0.96036848	//	1
100	0.04857488	0.00037432	0.0003404	0	0.00034304	0.0003504	0.95001696	//	1
101	0.04636112	0.00032416	0.00033064	0	0.00034504	0.000338	0.95230104	//	1
102	0.03422976	0.00030376	0.00029976	0	0.00032552	0.00027904	0.96456216	//	1
103	0	0	0	0	0	0	1	//	1
104	0.04424056	0.000422	0.00043504	0	0.00039984	0.00039472	0.95410784	//	1
105	0.03366688	0.00030432	0.00032128	0	0.00032136	0.0003136	0.96507256	//	1
106	0.04351328	0.0003904	0.00042424	0	0.00042152	0.0004396	0.95481096	//	1
107	0.03908832	0.00043384	0.00040328	0	0.00041992	0.00041272	0.95924192	//	1
108	0.03565136	0.00039064	0.00038944	0	0.000402	0.00036752	0.96279904	//	1
109	0.04214496	0.00043456	0.00044048	0	0.00045384	0.00044264	0.95608352	//	1
110	0.03889904	0.00038376	0.00040416	0	0.00041048	0.00039688	0.95950568	//	1
111	0.04393888	0.00039952	0.00042256	0	0.0003964	0.0004056	0.95443704	//	1
112	0.03680664	0.00053224	0.00055176	0	0.00055008	0.00056712	0.96099216	//	1
113	0.03878736	0.00059328	0.0005576	0	0.00054248	0.000534	0.95898528	//	1
114	0.04103216	0.0005808	0.00061792	0	0.00057104	0.00067072	0.95652736	//	1
115	0.0165832	0.00030264	0.00030576	0	0.00030864	0.0003156	0.98218416	//	1
116	0	0	0	0	0	0	1	//	1
117	0.02655104	0.0004852	0.0004808	0	0.00050112	0.0005316	0.97145024	//	1
118	0.0353108	0.00067536	0.0006572	0	0.00064008	0.00065528	0.96206128	//	1
119	0.00725752	0.0005548	0.00055024	0	0.00059224	0.0005728	0.9904724	//	1
120	0.00890832	0.0006508	0.00062344	0	0.0006176	0.00064392	0.98855592	//	1
121	0.00885064	0.000664	0.00062064	0	0.0006408	0.00064168	0.98858224	//	1
122	0.01111456	0.0008044	0.00089616	0	0.00079912	0.0008228	0.98556296	//	1
123	0.01316352	0.00100848	0.00099984	0	0.00095336	0.00096664	0.98290816	//	1
124	0.01380208	0.0009764	0.00107192	0	0.0010372	0.001048	0.9820644	//	1
125	0.01430624	0.0010668	0.00099928	0	0.00106152	0.00110512	0.98146104	//	1
126	0.013902	0.00110392	0.00101288	0	0.00105584	0.00100872	0.98191664	//	1
127	0.01584064	0.00108296	0.00117936	0	0.001248	0.0011876	0.97946144	//	1
128	0.01156168	0.00090352	0.00085696	0	0.0008772	0.00081208	0.98498856	//	1
129	0.01157464	0.000846	0.00090344	0	0.00089248	0.00087168	0.98491176	//	1
130	0	0.00121832	0.00123888	0	0.0011744	0.0012164	0.995152	//	1
131	0	0.00128544	0.00126816	0	0.00124016	0.0012968	0.99490944	//	1
132	0	0.0011556	0.00117472	0	0.00115272	0.00114288	0.99537408	//	1
133	0	0.00120248	0.00126944	0	0.0012836	0.00130616	0.99493832	//	1
134	0	0.00127	0.00134192	0	0.00131464	0.00130904	0.9947644	//	1
135	0	0.0007404	0.00070664	0	0.0007664	0.0007396	0.99704696	//	1
136	0	0	0	0	0	0	1	//	1
137	0	0.00087072	0.0008568	0	0.00086576	0.00086064	0.99654608	//	1
138	0	0	0	0	0	0	1	//	1
139	0	0	0	0	0	0	1	//	1
140	0	0.00055744	0.00064448	0	0.00059224	0.0006304	0.99757544	//	1
141	0	0.0007696	0.00073464	0	0.0007348	0.00076672	0.99699424	//	1
