//////////////////////////////////////////////////////////////////////////////////////									
// EventItemBag62									
//	[ Start  ] 	2009.07.							
//	[ Latest ]	2013-12-23 10:45 AM							
//	[ Author ]	김의건							
//	[ Version ]	0.0.0.1							
//	[ Text ]	저장 시 반드시 MonsterItemDropRate.dat 로 저장							
//	[ Desc ]	신규서버(칼트) 드랍율 추가							
//////////////////////////////////////////////////////////////////////////////////////									
//상수값지점칼럼									
//확률지정 컬럼									
//	0.70 	0.40 	0.50 	0.50 	0.40 	0.40 			
									
//몬스터레벨	법서	축복의보석	영혼의보석	혼돈의보석	생명의보석	창조의보석	그외 아이템	//	총합
0	0	0	0	0	0	0	0	//	0
1	0	0	0	0	0	0	1	//	1
2	0	0	0	0	0	0	1	//	1
3	0	0	0	0	0	0	1	//	1
4	0	0	0	0	0	0	1	//	1
5	0.01118747	0	0	0	0	0	0.98881253	//	1
6	0.00871199	0	0	0	0	0	0.99128801	//	1
7	0	0	0	0	0	0	1	//	1
8	0.00707476	0	0	0	0	0	0.99292524	//	1
9	0.01271417	0	0	0	0	0	0.98728583	//	1
10	0.01184421	0	0	0	0	0	0.98815579	//	1
11	0	0	0	0	0	0	1	//	1
12	0.01040627	0	0	0	0	0	0.98959373	//	1
13	0.0133476	0	0	0.0011735	0	0	0.9854789	//	1
14	0.01210328	0	0	0.0011076	0	0	0.98678912	//	1
15	0.01063923	0	0	0.0009406	0	0	0.98842017	//	1
16	0.00991536	0	0	0.00087495	0	0	0.98920969	//	1
17	0.01322447	0	0	0.00087705	0	0	0.98589848	//	1
18	0.01144507	0	0	0.00079655	0	0	0.98775838	//	1
19	0.0112546	0	0	0.00077415	0	0	0.98797125	//	1
20	0.01099938	0	0	0.00071345	0	0	0.98828717	//	1
21	0.02085587	0	0	0.0011083	0	0	0.97803583	//	1
22	0.01342075	0	0	0.0007354	0	0	0.98584385	//	1
23	0	0	0	0	0	0	1	//	1
24	0.01161874	0	0	0.00079695	0	0	0.98758431	//	1
25	0.01490097	0	0	0.00077315	0	0	0.98432588	//	1
26	0.01390144	0.00011556	0	0.0007538	0	0	0.9852292	//	1
27	0	0	0	0	0	0	1	//	1
28	0.01133013	0.00012144	0	0.00072375	0	0	0.98782468	//	1
29	0	0	0	0	0	0	1	//	1
30	0.01243536	0.00010184	0	0.00067925	0	0	0.98678355	//	1
31	0	0	0	0	0	0	1	//	1
32	0.01088353	0.00010628	0.0001345	0.00074345	0	0	0.98813224	//	1
33	0.01949927	0.0001982	0.00025535	0.00132	0	0	0.97872718	//	1
34	0.01163309	0.00011628	0.00015595	0.00082255	0	0	0.98727213	//	1
35	0	0	0	0	0	0	1	//	1
36	0.01465317	0.00012384	0.00015975	0.00084455	0	0	0.98421869	//	1
37	0.02392054	0.00020016	0.00024045	0.00123015	0	0	0.9744087	//	1
38	0.01586487	0.00014164	0.00016245	0.0008661	0	0	0.98296494	//	1
39	0	0	0	0	0	0	1	//	1
40	0.01906394	0.00012968	0.00017895	0.0008411	0	0	0.97978633	//	1
41	0.03121454	0.00024316	0.0002816	0.00138845	0	0	0.96687225	//	1
42	0.02318078	0.00017212	0.0002079	0.00106925	0	0	0.97536995	//	1
43	0.03307283	0.0002522	0.0003118	0.00154595	0	0	0.96481722	//	1
44	0.0290318	0.00024556	0.00032545	0.0016225	0	0	0.96877469	//	1
45	0.02697037	0.00023416	0.00031015	0.0014749	0	0	0.97101042	//	1
46	0.02454515	0.00020564	0.0002527	0.00133105	0	0	0.97366546	//	1
47	0.02470251	0.00022516	0.0002528	0.00137055	0	0	0.97344898	//	1
48	0.02345686	0.0001898	0.00025545	0.0012993	0	0	0.97479859	//	1
49	0.02042082	0.00021376	0.00027935	0.00133975	0	0	0.97774632	//	1
50	0.0259903	0.00020456	0.0002827	0.00141435	0	0	0.97210809	//	1
51	0.02226973	0.0001844	0.0002278	0.0011714	0	0	0.97614667	//	1
52	0.02674476	0.0002616	0.0002545	0.0014319	0	0	0.97130724	//	1
53	0.02525152	0.00021924	0.00025585	0.0013992	0	0	0.97287419	//	1
54	0.01412397	0.0001966	0.00026055	0.00125815	0	0	0.98416073	//	1
55	0.01398152	0.0002194	0.0002498	0.0012189	0	0	0.98433038	//	1
56	0.01386952	0.00020844	0.00025735	0.00120275	0	0	0.98446194	//	1
57	0.01408428	0.00018268	0.00024615	0.0012745	0	0	0.98421239	//	1
58	0.01810522	0.00026416	0.00032445	0.00163505	0	0	0.97967112	//	1
59	0	0	0	0	0	0	1	//	1
60	0.0111454	0.00024684	0.00030135	0.00151545	0	0	0.98679096	//	1
61	0.01056986	0.00021512	0.0002617	0.00142885	0	0	0.98752447	//	1
62	0.01116815	0.0002142	0.0002843	0.00149765	0	0	0.9868357	//	1
63	0.01033361	0.00022396	0.00030285	0.00138505	0	0	0.98775453	//	1
64	0.01153061	0.00024264	0.00030415	0.0015347	0	0	0.9863879	//	1
65	0.01142645	0.00025244	0.00031255	0.00157345	0	0	0.98643511	//	1
66	0.01456469	0.00029948	0.0003964	0.0019784	0	0	0.98276103	//	1
67	0.01385475	0.00031724	0.0003716	0	0	0	0.98545641	//	1
68	0.0138243	0.00029656	0.00036205	0	0	0	0.98551709	//	1
69	0.00571907	0.00023468	0.00031605	0	0	0	0.9937302	//	1
70	0.00596211	0.00025644	0.00031865	0	0	0	0.9934628	//	1
71	0	0	0	0	0	0	1	//	1
72	0.00607523	0.00025628	0.00033425	0	0	0	0.99333424	//	1
73	0	0	0	0	0	0	1	//	1
74	0.01216446	0.00024076	0.00031495	0	0.00025968	0	0.98702015	//	1
75	0.01778084	0.00026392	0.00033455	0	0.00023928	0	0.98138141	//	1
76	0.01722714	0.00023668	0.00033645	0	0.00025836	0	0.98194137	//	1
77	0.02373329	0.00025224	0.0003227	0	0.00026372	0	0.97542805	//	1
78	0.02446388	0.00025468	0.00033295	0	0.00025696	0	0.97469153	//	1
79	0.01608355	0.00023388	0.0003083	0	0.00022012	0.00024768	0.98290647	//	1
80	0.03617446	0.00032148	0.00036865	0	0.0003004	0.00031168	0.96252333	//	1
81	0.03538332	0.00029972	0.0003588	0	0.00032636	0.000301	0.9633308	//	1
82	0.03669337	0.00031284	0.0003808	0	0.00029652	0.000297	0.96201947	//	1
83	0.04905817	0.00028772	0.00038335	0	0.00029564	0.00030312	0.949672	//	1
84	0.05877123	0.00036412	0.00044345	0	0.00033124	0.00035524	0.93973472	//	1
85	0.05721667	0.00035528	0.00044965	0	0.0003692	0.00034352	0.94126568	//	1
86	0.05828984	0.00034964	0.00042255	0	0.0003564	0.0003502	0.94023137	//	1
87	0.06129557	0.0003782	0.00046445	0	0.00038048	0.00036524	0.93711606	//	1
88	0.05307918	0.00025952	0.00034295	0	0.00027648	0.00026948	0.94577239	//	1
89	0	0	0	0	0	0	1	//	1
90	0.06788936	0.00036028	0.00045605	0	0.00036028	0.00037208	0.93056195	//	1
91	0	0	0	0	0	0	1	//	1
92	0.04754022	0.00025216	0.00031265	0	0.0002736	0.0002538	0.95136757	//	1
93	0.05995759	0.0002622	0.0003233	0	0.0002352	0.0002484	0.93897331	//	1
94	0.05778731	0.0002752	0.00034435	0	0.00028716	0.00025156	0.94105442	//	1
95	0.05465313	0.00026552	0.0003285	0	0.00025208	0.000263	0.94423777	//	1
96	0.05570425	0.00025776	0.00034465	0	0.00027016	0.00025676	0.94316642	//	1
97	0.05256433	0.00024468	0.000311	0	0.0002514	0.00025928	0.94636931	//	1
98	0.04923709	0.00024256	0.00031075	0	0.0002374	0.00024256	0.94972964	//	1
99	0.03327275	0.00021992	0.0002407	0	0.00019376	0.00019652	0.96587635	//	1
100	0.04250302	0.00018716	0.00021275	0	0.00017152	0.0001752	0.95675035	//	1
101	0.04056598	0.00016208	0.00020665	0	0.00017252	0.000169	0.95872377	//	1
102	0.02995104	0.00015188	0.00018735	0	0.00016276	0.00013952	0.96940745	//	1
103	0	0	0	0	0	0	1	//	1
104	0.03871049	0.000211	0.0002719	0	0.00019992	0.00019736	0.96040933	//	1
105	0.02945852	0.00015216	0.0002008	0	0.00016068	0.0001568	0.96987104	//	1
106	0.03807412	0.0001952	0.00026515	0	0.00021076	0.0002198	0.96103497	//	1
107	0.03420228	0.00021692	0.00025205	0	0.00020996	0.00020636	0.96491243	//	1
108	0.03119494	0.00019532	0.0002434	0	0.000201	0.00018376	0.96798158	//	1
109	0.03687684	0.00021728	0.0002753	0	0.00022692	0.00022132	0.96218234	//	1
110	0.03403666	0.00019188	0.0002526	0	0.00020524	0.00019844	0.96511518	//	1
111	0.03844652	0.00019976	0.0002641	0	0.0001982	0.0002028	0.96068862	//	1
112	0.03220581	0.00026612	0.00034485	0	0.00027504	0.00028356	0.96662462	//	1
113	0.03393894	0.00029664	0.0003485	0	0.00027124	0.000267	0.96487768	//	1
114	0.03590314	0.0002904	0.0003862	0	0.00028552	0.00033536	0.96279938	//	1
115	0.0145103	0.00015132	0.0001911	0	0.00015432	0.0001578	0.98483516	//	1
116	0	0	0	0	0	0	1	//	1
117	0.02323216	0.0002426	0.0003005	0	0.00025056	0.0002658	0.97570838	//	1
118	0.03089695	0.00033768	0.00041075	0	0.00032004	0.00032764	0.96770694	//	1
119	0.00635033	0.0002774	0.0003439	0	0.00029612	0.0002864	0.99244585	//	1
120	0.00779478	0.0003254	0.00038965	0	0.0003088	0.00032196	0.99085941	//	1
121	0.00774431	0.000332	0.0003879	0	0.0003204	0.00032084	0.99089455	//	1
122	0.00972524	0.0004022	0.0005601	0	0.00039956	0.0004114	0.9885015	//	1
123	0.01151808	0.00050424	0.0006249	0	0.00047668	0.00048332	0.98639278	//	1
124	0.01207682	0.0004882	0.00066995	0	0.0005186	0.000524	0.98572243	//	1
125	0.01251796	0.0005334	0.00062455	0	0.00053076	0.00055256	0.98524077	//	1
126	0.01216425	0.00055196	0.00063305	0	0.00052792	0.00050436	0.98561846	//	1
127	0.01386056	0.00054148	0.0007371	0	0.000624	0.0005938	0.98364306	//	1
128	0.01011647	0.00045176	0.0005356	0	0.0004386	0.00040604	0.98805153	//	1
129	0.01012781	0.000423	0.00056465	0	0.00044624	0.00043584	0.98800246	//	1
130	0	0.00060916	0.0007743	0	0.0005872	0.0006082	0.99742114	//	1
131	0	0.00064272	0.0007926	0	0.00062008	0.0006484	0.9972962	//	1
132	0	0.0005778	0.0007342	0	0.00057636	0.00057144	0.9975402	//	1
133	0	0.00060124	0.0007934	0	0.0006418	0.00065308	0.99731048	//	1
134	0	0.000635	0.0008387	0	0.00065732	0.00065452	0.99721446	//	1
135	0	0.0003702	0.00044165	0	0.0003832	0.0003698	0.99843515	//	1
136	0	0	0	0	0	0	1	//	1
137	0	0.00043536	0.0005355	0	0.00043288	0.00043032	0.99816594	//	1
138	0	0	0	0	0	0	1	//	1
139	0	0	0	0	0	0	1	//	1
140	0	0.00027872	0.0004028	0	0.00029612	0.0003152	0.99870716	//	1
141	0	0.0003848	0.00045915	0	0.0003674	0.00038336	0.99840529	//	1
