////////////////////////////////////////////////////////////////////////////////							
// 	[Text Ver]	0.0.2.2					
//	[작업자]	박혜진					
//	[작업일]	2016-07-27 05:25 pm					
//	[작업 내용]	닉시스 호수 무브 이동 등록					
////////////////////////////////////////////////////////////////////////////////							
							
							
//	Level	Map	x	y	x	y	
	0	0	1	1	255	255	//로랜시아
	15	2	1	1	255	255	//데비아스
	0	3	1	1	255	255	//노리아
	130	8	1	1	255	255	//타르칸
	60	7	1	1	255	255	//아틀란스
	160	10	1	1	255	255	//이카루스
	20	1	1	137	255	255	//던전1층
	20	1	1	1	255	40	//던전2층
	20	1	60	43	255	133	//던전2층
	20	1	1	46	50	131	//던전3층
	40	4	153	14	255	145	//로스트타워1층
	40	4	158	159	250	249	//로스트타워2층
	40	4	78	161	139	251	//로스트타워3층
	50	4	78	81	139	142	//로스트타워4층
	50	4	79	2	138	61	//로스트타워5층
	50	4	1	2	60	61	//로스트타워6층
	50	4	1	82	61	250	//로스트타워7층
	130	33	1	1	255	255	//아이다
	0	34	9	10	242	244	//크라이울프 1차
	10	30	1	1	255	255	//로렌협곡
	150	37	1	1	255	255	//칸투르 폐허
	220	38	1	1	255	255	//칸투르 유적
	220	45	1	1	255	255	//제1신규이벤트맵
	271	46	1	1	255	255	//제2신규이벤트맵
	321	47	1	1	255	255	//제3신규이벤트맵
	351	48	1	1	255	255	//제4신규이벤트맵
	381	49	1	1	255	255	//제5신규이벤트맵
	400	50	1	1	255	255	//제6신규이벤트맵
	350	41	1	1	1	1	//발가스의병영 (셔먼 불가)
	350	42	1	1	1	1	//발가스의안식처(셔먼 불가)
	0	51	1	1	255	255	//엘베란드
	400	56	1	1	255	255	//평온의늪
	280	57	1	1	255	255	// 라클리온
	280	58	1	1	255	255	// 라클리온 부화장(입구 폐쇄상태는 셔먼 불가)
	20	63	1	1	255	255	//불카누스 안전지대
	30	64	1	1	1	1	//불카누스 결투장
	1	79	1	1	1	1	//로랜시장
	160	80	1	1	255	255	//칼루탄 1지역
	160	81	1	1	255	255	//칼루탄 2지역
	400	112	112	236	152	237	// 페리아
	700	113	1	1	255	255	//닉시스 호수
							
