//////////////////////////////////////////////////////////////////////////////////////														
// MuunInfo														
//	[ Start  ] 	2013-06-05												
//	[ Latest ]	2015-05-26 11:34												
//	[ Author ]	박혜진												
//	[ Version ]	0.0.2.3												
//	[ Text ]	2015년 6월 라클리온 뮨추가												
//	[ 사용부서 ]	서버, 클라이언트							만료일의 시간정보를 알려줌 (종료 날짜)					
//////////////////////////////////////////////////////////////////////////////////////														
														
														
//Number	Item Type	Item Index	뮨 타입	등급	Option Number	추가옵션 번호	값	기간 구분	추가옵션 시작	추가옵션 종료	진화될 뮨 타입	진화될 뮨 인덱스	delay(1/1000)	
0	16	212	1	3	0	1	10	1	"2013-8-1"	"2013-9-14"	16	213	0	//루키
1	16	213	1	3	0	1	10	1	"2013-8-1"	"2013-9-14"	-1	-1	0	//루키 진화
2	16	216	1	2	1	1	5	1	"2013-8-1"	"2013-9-14"	16	217	0	//루루
3	16	217	1	2	1	1	5	1	"2013-8-1"	"2013-9-14"	-1	-1	0	//루루 진화
4	16	218	1	1	2	1	5	1	"2013-8-1"	"2013-9-14"	16	219	0	//사피
5	16	219	1	1	2	1	5	1	"2013-8-1"	"2013-9-14"	-1	-1	0	//사피 진화
6	16	223	1	4	3	1	20	1	"2013-9-12"	"2013-10-19"	16	224	0	//윌리엄
7	16	224	1	4	3	1	20	1	"2013-9-12"	"2013-10-19"	-1	-1	0	//윌리엄 진화
8	16	225	1	2	4	1	5	1	"2013-9-12"	"2013-10-19"	16	226	0	//폴
9	16	226	1	2	4	1	5	1	"2013-9-12"	"2013-10-19"	-1	-1	0	//폴 진화
10	16	227	1	2	5	1	5	1	"2013-9-12"	"2013-10-19"	16	228	0	//키론
11	16	228	1	2	5	1	5	1	"2013-9-12"	"2013-10-19"	-1	-1	0	//키론 진화
//12														
//13														
14	16	231	4	3	11	1	15	2	30	-1	16	232	0	//티베톤
15	16	232	4	3	11	1	15	2	30	-1	-1	-1	0	//티베톤 진화
16	16	233	1	4	6	1	20	1	"2013-10-17"	"2013-11-16"	16	234	0	//위치
17	16	234	1	4	6	1	20	1	"2013-10-17"	"2013-11-16"	-1	-1	0	//위치 진화
18	16	235	1	2	7	1	5	1	"2013-10-17"	"2013-11-16"	16	236	0	//스컬
19	16	236	1	2	7	1	5	1	"2013-10-17"	"2013-11-16"	-1	-1	0	//스컬 진화
20	16	237	1	2	8	1	5	2	7	-1	16	238	0	//펌피
21	16	238	1	2	8	1	5	2	7	-1	-1	-1	0	//펌피 진화
22	16	241	1	4	10	1	20	1	"2013-12-10"	"2014-01-11"	16	242	0	//사바트
23	16	242	1	4	10	1	20	1	"2013-12-10"	"2014-01-11"	-1	-1	0	//사바트 진화
24	16	243	1	2	13	3	2	1	"2013-12-10"	"2014-01-11"	16	244	10000	//라이칸
25	16	244	1	2	13	3	2	1	"2013-12-10"	"2014-01-11"	-1	-1	10000	//라이칸 진화
26	16	245	1	2	12	1	5	1	"2013-12-10"	"2014-01-11"	16	246	0	//토비
27	16	246	1	2	12	1	5	1	"2013-12-10"	"2014-01-11"	-1	-1	0	//토비 진화
28	16	214	1	3	9	1	15	1	"2013-12-10"	"2014-01-11"	16	215	0	//토니
29	16	215	1	3	9	1	15	1	"2013-12-10"	"2014-01-11"	-1	-1	0	//토니 진화
30	16	229	1	4	14	1	20	1	"2014-1-9"	"2014-2-9"	16	230	0	//우파루
31	16	230	1	4	14	1	20	1	"2014-1-9"	"2014-2-9"	-1	-1	0	//우파루 진화
32	16	252	1	2	15	1	5	1	"2014-1-9"	"2014-2-9"	16	253	0	//세이렌
33	16	253	1	2	15	1	5	1	"2014-1-9"	"2014-2-9"	-1	-1	0	//세이렌 진화
34	16	254	1	2	16	3	2	1	"2014-1-9"	"2014-2-9"	16	255	10000	//베헤모스
35	16	255	1	2	16	3	2	1	"2014-1-9"	"2014-2-9"	-1	-1	10000	//베헤모스 진화
36	16	256	1	4	24	1	20	1	"2014-4-3"	"2014-5-4"	16	257	0	//로글
37	16	257	1	4	24	1	20	1	"2014-4-3"	"2014-5-4"	-1	-1	0	//로글 진화
38	16	258	1	2	23	1	5	1	"2014-4-3"	"2014-5-4"	16	259	0	//미노
39	16	259	1	2	23	1	5	1	"2014-4-3"	"2014-5-4"	-1	-1	0	//미노 진화
40	16	260	1	2	25	3	2	1	"2014-4-3"	"2014-5-4"	16	261	10000	//하운드
41	16	261	1	2	25	3	2	1	"2014-4-3"	"2014-5-4"	-1	-1	10000	//하운드 진화
42	16	262	1	4	17	1	20	1	"2014-2-6"	"2014-3-9"	16	263	0	//트라이브
43	16	263	1	4	17	1	20	1	"2014-2-6"	"2014-3-9"	-1	-1	0	//트라이브 진화
44	16	264	1	2	19	1	5	1	"2014-2-6"	"2014-3-9"	16	265	0	//보건
45	16	265	1	2	19	1	5	1	"2014-2-6"	"2014-3-9"	-1	-1	0	//보건 진화
46	16	266	1	2	18	3	2	1	"2014-2-6"	"2014-3-9"	16	267	10000	//키클로프
47	16	267	1	2	18	3	2	1	"2014-2-6"	"2014-3-9"	-1	-1	10000	//키클로프 진화
48	16	270	1	4	20	1	20	1	"2014-3-6"	"2014-4-6"	16	271	0	//본프
49	16	271	1	4	20	1	20	1	"2014-3-6"	"2014-4-6"	-1	-1	0	//본프 진화
50	16	272	1	2	21	1	5	1	"2014-3-6"	"2014-4-6"	16	273	0	//호크
51	16	273	1	2	21	1	5	1	"2014-3-6"	"2014-4-6"	-1	-1	0	//호크 진화
52	16	274	1	2	22	3	2	1	"2014-3-6"	"2014-4-6"	16	275	10000	//뮤티
53	16	275	1	2	22	3	2	1	"2014-3-6"	"2014-4-6"	-1	-1	10000	//뮤티 진화
54	16	278	1	4	26	1	20	1	"2014-5-8"	"2014-6-8"	16	279	0	//멘티스
55	16	279	1	4	26	1	20	1	"2014-5-8"	"2014-6-8"	-1	-1	0	//멘티스 진화
56	16	280	1	2	27	1	5	1	"2014-5-8"	"2014-6-8"	16	281	0	//스콜피
57	16	281	1	2	27	1	5	1	"2014-5-8"	"2014-6-8"	-1	-1	0	//스콜피 진화
58	16	282	1	2	28	3	2	1	"2014-5-8"	"2014-6-8"	16	283	10000	//체이퍼
