// 결과값																						
// 1000이하 - 현 NPC에서 대화 상태값																						
// 1001이상 - 901: 퀘스트 요청, 902: 공방업, 903: 겐스가입(듀프리언), 904: 겐스가입(바네르트), 905: 겐스탈퇴																						
//NPC 번호	대화 상태	NPC대사	선택문1	결과1	선택문2	결과2	선택문3	결과3	 선택문4	결과4	선택문5	결과5	선택문6	결과6	선택문7	결과7	선택문8	결과8	 선택문9	결과9	선택문10	결과10
543	0	1000	1001	1	1002	2	1003	3	1004	4	1005	901	0	0	0	0	0	0	0	0	0	0
543	1	1006	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	2	1008	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	3	1009	1010	903	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	4	1012	1013	905	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	5	1014	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	6	1015	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	7	1016	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	8	1017	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	9	1018	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	10	1019	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	11	1020	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	12	1021	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	13	1022	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	14	1023	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	15	1024	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	16	1025	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	17	1026	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	18	1027	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	999	1500	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	0	1050	1051	1	1052	2	1053	3	1054	4	1055	901	0	0	0	0	0	0	0	0	0	0
544	1	1056	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	2	1057	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	3	1058	1010	904	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	4	1012	1013	905	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	5	1059	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	6	1015	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	7	1016	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	8	1017	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	9	1018	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	10	1019	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	11	1020	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	12	1021	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	13	1022	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	14	1023	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	15	1024	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	16	1025	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	17	1026	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	18	1027	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	999	1500	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257	0	1	297	902	298	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
