////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																			
//	[ Text  Version ]		1.0.1.5																
//	[ 최종 작업자 ]		박혜진																
//	[ 최종 작업일 ]		2014-11-19 18:11																
//	[ 작 업 내 용 ]		나르스 일반 몬스터 추가																
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																			
																			
// 서버당 드랍 아이템 속성 적용 확률																			
// Server Index : 뮤에서 서비스 중인 서버 목록, 레드/블루 모두																			
// 드랍아이템의 속성 결정 시, 해당 속성이 결정될 확률이다. 전체 10000을 기준한다.																			
// Fire(불), water(물), wind(바람), earth(땅), dark(암흑) 속성																			
// 서버 인덱스가 없는 서버들은 균등확률로 정해짐																			
//Index	Server Index	 fire	 water	earth	wind	dark													
0	 	 	 	 	 	 													
1	540	2000	1000	3000	3000	1000	 												
2	560	1000	3000	2000	1000	3000													
5	600	3000	2000	1000	1000	3000													
6	620	1000	1000	1000	3000	4000													
10	640	2000	3000	1000	1000	3000													
11	660	1000	1000	3000	3000	2000													
12	0	2000	1000	3000	3000	1000													
13	240	2000	1000	3000	3000	1000													
14	700	1000	3000	2000	1000	3000													
15	720	3000	2000	1000	1000	3000													
16	740	1000	1000	1000	3000	4000													
17	760	1000	1000	1000	3000	4000													
18	780	2000	3000	1000	1000	3000													
19	800	1000	1000	3000	3000	2000													
20	580	2000	1000	3000	3000	1000													
end							 												
																			
// 일반 등급 펜타그램 드랍 시 소켓 뚫릴 확률 스크립트 (레어, 유니크 등급 펜타그램의 소켓 뚫릴 확률은 PentagramOption스크립트에서 지정한다.)																			
// 서버 전용 스크립트																			
// 펜타그램 아이템 드랍시, 펜타그램 아이템의 소켓 개수와 어떤 소켓이 열릴지를 결정한다.																			
// 현재(2011.12.05) 펜타그램 5소켓 짜리 아이템은 eX700 -2 패치를 위해 스크립트 상에서 막아둔 상태다.																			
// 현재(2011.12.05) 5소켓 광휘의 슬롯은 eX700 -2 패치를 위해 스크립트 상에서 막아둔 상태다.																			
// 동일 소켓 숫자 중 한가지 묶음 종류만 묶음별 열릴 확률에 따라 선택된다.																			
//소켓 개수	소켓 열릴 확률	슬롯 묶음별 열릴 확률	분노의 슬롯 	가호의 슬롯 	고결한 슬롯 	신성의 슬롯 	광휘의 슬롯 	 											
1																			
5	0	0	0	0	0	0	0												
4	10	10000	10000	10000	10000	10000	0												
4	10	0	0	0	0	0	0												
4	10	0	0	0	0	0	0												
4	10	0	0	0	0	0	0												
4	10	0	0	0	0	0	0												
4	10	0	0	0	0	0	0												
3	50	5000	10000	10000	6000	4000	0												
3	50	3000	10000	6000	10000	4000	0												
3	50	2000	10000	6000	4000	10000	0												
3	50	0	0	0	0	0	0												
2	9940	10000	10000	10000	0	0	0												
1	0	0	0	0	0	0	0												
end																			
																			
//Seanson10-3 아이템 드롭 시스템 개선 업데이트 이후 아래의 확률 테이블은 사용하지 않습니다.																			
//아래의 드롭 내용은 EachMonsterBag 스크립트에 설정되어 있습니다.																			
// 몬스터당 드랍 아이템 드랍 확률																			
//Index : 실제 몬스터 인덱스																			
