////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
//	[ Text  Version ]		1.0.0.8																													
//	[ 최종 작업자 ]		설희원																													
//	[ 최종 작업일 ]		2011-10-13 21:53 PM																													
//	[ 작 업 내 용 ]		스크립트 확률 수정																													
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
																																
// 보석 아이템 옵션 인덱스																																
// 각 아이템은 뒤에 추가 아이템 공간을 남겨두고 10 단위로 Index 표시																																
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~																																
// Item Index : Item 스크립트 상의 실제 아이템 																																
//Rank : 속성 보석 아이템의 랭크																																
//Option : 속성 보석 아이템의 랭크에 종속된 옵션																																
//0~10 강화 단계, 강화 단계별 옵션 수치 밸런싱																																
//Rate : 각 레벨업 단계 레벨업 강화 성공 확률.. 각 보석/ 각 랭크 단위로 계열 확률 동일하게 기록할 것.. 안그러면 오류남.																																
//Option Rate : 해당 랭크업 업그레이드 시, 해당 옵션이 붙을 확률																																
//각 레벨업 단계 레벨업 성공 확률. 10000율 기준																																
//Index	Type	Item Index	Rank Level	Option	Acpuisition_Rate	RON	0	Rate	1	Rate	2	Rate	3	Rate	4	Rate	5	Rate	6	Rate	7	Rate	8	Rate	9	Rate	10	Rate	옵션명	변수종류		
0																																
// 분노의 에르텔 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// 1랭크																																
0	12	221	1	1	10000	101	30	0	33	9000	38	8500	45	8000	54	7500	65	7000	78	6500	93	6000	113	5500	138	5000	168	5000	"속성 공격력 상승+%d"	0	//	"분노의에르텔"
// 2랭크																																
10	12	221	2	1	2000	111	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"불 속성 공격 상성 증가 %d%%"	1	//	"분노의에르텔" 2랭크
11	12	221	2	2	2000	112	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"물 속성 공격 상성 증가 %d%%"	1	//	"분노의에르텔" 2랭크
12	12	221	2	3	2000	113	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"땅 속성 공격 상성 증가 %d%%"	1	//	"분노의에르텔" 2랭크
13	12	221	2	4	2000	114	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"바람 속성 공격 상성 증가 %d%%"	1	//	"분노의에르텔" 2랭크
14	12	221	2	5	2000	115	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"암흑 속성 공격 상성 증가 %d%%"	1	//	"분노의에르텔" 2랭크
// 3랭크																																
20	12	221	3	1	5000	121	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"PVP 시 속성공격력 상승+%d"	0	//	"분노의에르텔" 3랭크
21	12	221	3	2	5000	122	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"몬스터 사냥 시 속성공격력 상승+%d"	0	//	"분노의에르텔" 3랭크
// 미 사용 랭크 옵션																																
//30	12	221	4	1	5000	131	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"속성 공격력 상승(PVP시 원거리직업 결투에만 적용)+%d"	0	//	"분노의에르텔" 4랭크
//31	12	221	4	2	5000	132	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"속성 공격력 상승(PVP시 근접직업 결투에만 적용)+%d"	0	//	"분노의에르텔" 4랭크
//40	12	221	5	1	5000	141	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"PVP시 속성공격 크리티컬 확률 증가 %d%%"	1	//	"분노의에르텔" 5랭크
//41	12	221	5	2	5000	142	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"몬스터 사냥시 속성공격 크리티컬 확률 증가 %d%%"	1	//	"분노의에르텔" 5랭크
// 시즌10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// 4랭크																																
30	12	221	4	1	5000	133	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"PVP 시 속성 데미지 %d%%증가"	1	//	"분노의에르텔" 4랭크
31	12	221	4	2	5000	134	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"몬스터 사냥 시 속성 데미지 %d%%증가"	1	//	"분노의에르텔" 4랭크
// 5랭크																																
40	12	221	5	1	10000	143	3	0	4	7000	5	6500	6	6000	8	5500	10	5000	12	4500	15	4000	18	3500	21	3000	25	3000	"속성 데미지 %d%%증가"	1	//	"분노의에르텔" 5랭크
// 시즌11-2 초보자용 에르텔 추가 (2016-02-23) 박혜진																																
250	12	222	1	14	10000	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"속성 공격력 상승+%d"	0	//	"초보자용 분노의에르텔"
// 가호의 에르텔 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// 1랭크																																
50	12	231	1	1	10000	201	10	0	13	9000	17	8500	22	8000	28	7500	35	7000	43	6500	52	6000	62	5500	73	5000	85	5000	"추가 속성 방어력+%d"	0	//	"가호의에르텔"
// 2랭크																																
60	12	231	2	1	2000	211	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"불 속성 방어 상성 증가 %d%%"	1	//	"가호의에르텔" 2랭크
