////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																					
//	[ Text  Version ]		0.0.0.0																		
//	[ 최종 작업자 ]		사재일																		
//	[ 최종 작업일 ]		2015-04-23 17:28																		
//	[ 작 업 내 용 ]		season10 P.3																		
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																					
																					
//정제(조합) 종류 테이블(0)																					
//각 속성 원석 정제별 필요 재료 아이템과 성공 확률																					
// Success_Rate : 정제(조합) 시 성공 확률, 10000 기준																					
// Item Type1+Item Index1 = 첫 번째 재료, Item Type2+Item Index2 = 두 번째 재료 (Item Script 기준, 참조)																					
// 속성이 들어간 아이템이 여러 개 필요한 조합은 동일한 속성으로만 조합이 가능하다.																					
// index3은 속성 에르텔 조합																					
// Type 101 값은 광휘의에르텔을 제외한 속성관련 아이템을 말한다.																					
//Index	Success_Rate	Item Type1	Item Index1	Item Number1	Item Type2	Item Index2	Item Number2	Item Type3	Item Index3	Item Number3	Item Type4	Item Index4	Item Number4	Zen							
0																					
1	5000	12	145	1	14	13	1	-1	-1	0	-1	-1	0	100000	// 속성 에르텔 조합 재료						
2	10000	14	309	1	14	310	1	14	311	1	14	312	1	100000000	// 광휘슬롯확장서 조합						
3	10000	101	-1	1	14	317	1	-1	-1	0	-1	-1	0	100000	// 속성변환 조합						
//4	10000	14	301	1	14	302	1	14	303	1	14	304	1	100000000							
//5	10000	14	305	1	14	306	1	14	307	1	14	308	1	100000000							
end																					
																					
// 정제 성공 테이블(1)																					
// 확률 계산 규칙										32875											
// 여러 개의 아이템이 나올 경우 전체 확률의 합이 10000여야 한다.																					
// 1개의 아이템에 대한 결과물이 나온 후 나머지 결과물에 대한 확률을 개별확률로 설정하여 나머지 결과물을 출력한다.																					
// index3은 속성 에르텔 조합, 속성 원석과 동일한 속성의 속성 에르텔이 나온다.																					
