////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																			
//	[ Text  Version ]	1.0.0.4																																	
//	[ 최종 작업자 ]	설희원																																	
//	[ 최종 작업일 ]	2011-07-29 21:53 PM																																	
//	[ 작 업 내 용 ]	스크립트 수정																																	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																			
																																			
// 세트효과 : 펜타그램에 박히는 속성 보석이 특정 조건을 만족하게 되면 세트 효과가 발동된다.																																			
// 세트 효과 발동 조건은 PentagramJewelOptionValue 시트에 있는 옵션 넘버이다.																																			
// Option Index상에 없는 옵션은 300번부터 리스트화한다.(동일한게 존재하면 안된다.)																																			
//옵션넘버 현재 308까지 사용																																			
																																			
// 랭크 세트 효과																																			
// 펜타그램 아이템의 소켓에 모두 동일 랭크 보석이 박힐 경우 셋트 효과 발동																																			
//Index	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option Index	Set Effet 1	수치	Option Index	Set Effet 2	수치	Option Index	Set Effet 3	수치	Option Index	Set Effet 4	수치																	
0																																			
1	2	3	0	0	0	0	0	"속성 공격력+%d"	10	-1	""	0	-1	""	0	-1	""	0																	
2	2	4	0	0	0	0	0	"속성 공격력+%d"	10	50	"추가 속성 방어력+%d"	10	-1	""	0	-1	""	0																	
3	2	5	0	0	0	0	0	"속성 공격력+%d"	10	50	"추가 속성 방어력+%d"	10	300	"몬스터 사망시 젠증가 %d%%"	30	-1	""	0																	
4	3	3	0	0	0	0	0	"속성 공격력+%d"	20	-1	""	0	-1	""	0	-1	""	0																	
5	3	4	0	0	0	0	0	"속성 공격력+%d"	20	50	"추가 속성 방어력+%d"	20	301	"방패 방어력 증가+%d"	10	-1	""	0																	
6	3	5	0	0	0	0	0	"속성 공격력+%d"	20	50	"추가 속성 방어력+%d"	20	302	"스킬 공격력 증가+%d"	20	-1	""	0																	
7	4	3	0	0	0	0	0	"속성 공격력+%d"	30	-1	""	0	-1	""	0	-1	""	0																	
8	4	4	0	0	0	0	0	"속성 공격력+%d"	30	50	"추가 속성 방어력+%d"	30	302	"스킬 공격력 증가+%d"	20	-1	""	0																	
9	4	5	0	0	0	0	0	"속성 공격력+%d"	30	50	"추가 속성 방어력+%d"	30	302	"스킬 공격력 증가+%d"	20	303	"더블데미지 확률 증가 %d%%"	5																	
