// UI 타잎 - 0 : NPC용 퀘스트 진행창, 1: 기타 퀘스트 진행창											
//EP	 QS 	UI타잎	NPC대사	플래이어 대사	대답1	대답2	대답3	 대답4	대답5	제목	요약
//NPC 기본 기능 퀘스트 스크립트 추가. 2009.07.07 By kaisa2(이채선)											
0	1	0	0	0	0	0	0	0	0	297	0
1	0	1	1	0	2	0	0	0	0	0	0
1	1	1	3	0	4	5	0	0	0	203	204
1	2	1	9	0	0	0	0	0	0	203	205
1	3	1	6	0	7	8	0	0	0	203	206
1	4	1	10	0	0	0	0	0	0	203	207
1	5	0	11	12	15	16	0	0	0	203	208
1	6	0	17	18	19	0	0	0	0	203	209
1	7	0	20	21	22	0	0	0	0	203	210
1	8	0	23	24	25	0	0	0	0	203	211
1	9	0	26	0	0	0	0	0	0	203	212
1	10	0	27	28	29	30	0	0	0	203	213
1	11	0	31	32	33	34	35	0	0	203	214
1	12	0	36	37	38	39	40	0	0	203	215
1	13	0	41	37	33	39	40	0	0	203	216
1	14	0	42	37	33	34	40	0	0	203	217
1	15	0	43	0	0	0	0	0	0	203	218
1	16	0	44	45	46	0	0	0	0	203	219
1	17	0	47	48	49	50	0	0	0	203	220
1	18	0	51	52	53	0	0	0	0	203	221
1	19	0	54	55	56	0	0	0	0	203	222
1	20	0	57	0	0	0	0	0	0	203	223
1	21	0	58	59	60	0	0	0	0	203	224
1	22	0	61	62	63	64	0	0	0	203	225
1	23	0	65	0	0	0	0	0	0	203	226
1	24	0	66	0	0	0	0	0	0	203	227
1	25	0	67	0	0	0	0	0	0	203	228
1	26	0	68	69	70	71	0	0	0	203	229
1	27	0	72	73	74	75	0	0	0	203	230
1	28	0	76	77	78	0	0	0	0	203	231
1	29	0	79	0	0	0	0	0	0	203	232
1	30	0	80	81	82	0	0	0	0	203	233
1	31	0	83	0	0	0	0	0	0	203	234
1	32	0	84	85	86	0	0	0	0	203	235
1	33	0	87	0	0	0	0	0	0	203	236
1	34	0	88	0	0	0	0	0	0	203	237
1	35	0	89	0	0	0	0	0	0	203	238
1	36	0	90	91	92	93	0	0	0	203	239
1	37	0	0	0	0	0	0	0	0	203	240
1	38	0	0	0	0	0	0	0	0	203	241
1	39	0	94	95	96	97	98	0	0	203	242
1	40	0	99	0	0	0	0	0	0	203	243
1	41	0	100	0	0	0	0	0	0	203	244
1	42	0	104	0	0	0	0	0	0	203	245
1	43	0	105	0	0	0	0	0	0	203	246
1	44	0	108	111	112	0	0	0	0	203	247
1	45	0	109	111	112	0	0	0	0	203	248
