// 애니회수 - 0 : 무한 반복	
// 대사내용 - ""안에 대사 내용 입력, ""안에 " 금지, ; 는 줄 바꿈	
//대사번호	대사내용
//튜토리얼용 대사 스크립트 추가. 2009.07.01. By kaisa2(이채선)	
1	"뮤 세계에 오신 것을 환영합니다.;뮤 제국을 혼돈으로 몰아 넣은 쿤둔을 제지할 당신같은 영웅이 나타나기를 기다리고 있었습니다."
2	"계속 듣는다."
3	"하지만 모험은 것은 언제나 힘든 일이지요.;필요하시다면 저희들이 간단히 안내를 해 드리겠습니다. 어떠십니까?"
4	"도움이라고?;튜토리얼이라면 환영이다!"
5	"도움은 애송이 모험가에게나 필요한 거다. 거절하자."
6	"거창한 건 아닙니다. 간단한 조작법과 사냥 법을 설명해 드립니다.;정말 저희들의 도움은 필요치 않은 건가요?"
7	"이미 숙련자다.;모험은 스스로의 힘으로!"
8	"저렇게 까지 말하는데…;좋다, 수락하자!"
9	"도움을 드릴 수 있어서 기쁩니다. 저희를 찾는 건 힘들지 않을 겁니다.;각 마을에 있는 '쉐도우 팬텀 부대원'을 찾아 말을 걸어 주세요."
10	"도움을 드리지 못해 아쉽네요.;이 선물이라도 받아주세요. 훌륭한 전사가 된 당신을 다시 뵙길 기다리겠습니다.;즐거운 뮤 되세요~!"
11	"모험을 택한 당신에게 경의를 표합니다.;간단하지만 뮤 세계를 모험하기 위해 꼭 알아야 할 사항들을 제가 가르쳐 드리도록 하겠습니다."
12	"… 이곳이 요정들의 왕국 노리아! 내가 모험을 시작할 곳이구나.;좀 두근두근한걸?"
13	"… 이곳이 흑마법사와 흑기사의 왕국 로랜시아! 내가 모험을 시작할 곳이구나.;좋아! 이제 시작이다!"
14	"… 이곳이 소환술사들의 왕국 엘베란드! 내가 모험을 시작할 곳이구나.;좀 두근두근한걸?"
15	"반갑습니다.;그런데 당신은 누구죠?"
16	"자! 어서 훈련을 시작해요."
17	"아, 인사가 늦었군요. 저는 노리아의 여왕이신 에린 구스티브 님을 모시고 있는 '쉐도우 팬텀 수호대'의 부대원 '올가(Olga)'라고 합니다.;만나뵙게 되어 반갑습니다."
18	"… 쉐도우 팬텀?;여왕님의 수호부대라고?"
19	"여왕님의 수호대가 어째서 이곳에 있는 거지요?"
20	"여왕님께서 모험을 시작하는 전사들이 쿤둔의 세력에 대항할 수 있는 최소한의 힘을 키울 때까지 도우라는 명을 내리셨습니다."
21	"…여왕님께서 친히 그런 명을 내렸다니 감동인걸?"
22	"어떻게 도와주실 건가요?"
23	"간단한 훈련을 통해 사냥법과 조작법을 설명해 드리지요.;어렵지 않으니 쉽게 완수하실 수 있을 거에요."
24	"좋아! 훈련 따위 내가 훌륭히 완수해 주겠어!"
25	"좋아요! 어서 훈련을 시작해요."
26	"간단한 것부터 시작하도록 하죠.;퀘스트 창을 닫고 C을 누르거나 게임 화면 오른쪽 하단의 캐릭터(C) 버튼을 눌러 '캐릭터 정보창'을 열어 보세요."
27	"캐릭터 정보창을 열어 보셨나요?;캐릭터 정보창을 통해 캐릭터의 이름과 레벨, 접속한 서버, 각 스테이터스를 확인할 수 있습니다."
28	"…이 정도 쯤이야. 하지만 좀 더 자세히 알고 싶기도 한데…."
29	"좀더 자세히 설명해 주실 수 있나요?"
30	"할 일도 많은데 다음 훈련으로 넘어가죠."
31	"좀더 자세히 설명해 드리지요. 무엇에 대해 더 알고 싶으신가요?"
32	"…내가 더 알고 싶은 건…."
33	"경험치와 레벨 업"
34	"캐릭터와 서버 선택"
35	"포인트와 스테이터스"
36	"경험치가 쌓이면 레벨 업을 할 수 있습니다.;캐릭터 정보 창에 있는 경험치의 숫자를 통해 확인할 수 있고, 하단의 경험치 바를 통해서도 확인할 수 있습니다.;경험치 바는 총 0부터 9까지 총 10단계로 나뉘어져 있으며, 10단계의 경험치 바를 모두 채우면 레벨을 1업 할 수 있습니다."
37	"…그렇구나! 그럼 다음엔…."
38	"캐릭터와 서버 선택"
39	"포인트와 스테이터스"
40	"설명은 이제 그만. 훈련을 계속하자."
41	"캐릭터 정보창을 통해 캐릭터의 이름과 내가 접속한 서버, 그리고 종족을 확인할 수 있습니다. 같은 이름을 지니고 있는 서버 내에서는 같은 캐릭터로 접속할 수 있습니다.;기본은 요정, 흑기사, 흑마법사, 소환술사 4개의 기본 클래스가 있으며, 일반 클래스의 캐릭터를 220까지 키우면 마검사를 250까지 키우면 다크로드를 생성할 수 있습니다."
42	"레벨 업을 하게 되면 포인트를 습득할 수 있습니다. 습득한 포인트는 힘, 민첩성, 체력, 에너지에 투자할 수 있으며, 각각 공격력, 방어력, HP, MP에 영향을 미칩니다.;스테이터스는 캐릭터의 전투 특성을 결정짓고, 무기를 장착하거나 스킬을 배우기 위해서는 필수적이므로 적절한 포인트의 투자가 필요합니다."
43	"그럼 이번엔 I를 누르거나 게임 화면 오른쪽 하단의 장비(I, V) 버튼을 눌러 '장비창'을 열어 보세요."
44	"'장비창'에서는 소지하고 있는 아이템들과 착용하고 있는 장비들을 확인할 수 있습니다.;아이템을 클릭하여 위치를 옮길 수 있으며, 소비 아이템일 경우 마우스 오른쪽 버튼을 이용해 사용할 수 있습니다. 모두 이해 되셨나요?"
45	"이 정도 쯤이야 당연하지."
46	"어서 다음 훈련으로!"
