////////////////////////////////////////////////////////////////////////////////////////		
// 스크립트 적용	Season10 P.2 (2014년 12월 9일)	
// 스크립트 이름	RuudShopSales	
// 대상서버	본서버 (레드/블루)	
// 패치 대상	서버	
// 최종작업자	사재일	
// 최종작업일	2014-11-03 21:35	
// 작업 내용	최초 등록	
////////////////////////////////////////////////////////////////////////////////////////		
// 루드샵 전용 스크립트		
// 아이템코드별 실제 판매 루드액 값을 설정한다.		
//Type	Index	판매액
13	351	50000
13	352	50000
13	353	50000
13	354	50000
13	355	50000
13	356	50000
13	357	50000
13	358	50000
13	359	50000
13	360	50000
13	361	50000
13	362	50000
13	363	50000
13	364	50000
13	365	50000
13	366	50000
13	367	30000
13	368	30000
13	369	30000
13	370	30000
13	371	50000
13	372	50000
13	373	50000
13	374	50000
13	375	30000
13	376	30000
13	377	30000
13	378	30000
13	379	50000
13	380	50000
13	381	50000
13	382	50000
13	383	50000
13	384	50000
13	385	50000
13	386	50000
13	387	50000
13	388	50000
13	389	50000
13	390	50000
13	391	50000
13	392	50000
13	393	50000
13	394	50000
13	395	50000
13	396	50000
13	397	50000
13	398	50000
13	399	50000
13	400	50000
13	401	50000
13	402	50000
13	403	50000
13	404	50000
13	405	50000
13	406	50000
0	42	100000
0	44	100000
0	46	100000
2	22	100000
3	19	100000
4	28	100000
5	41	100000
5	43	100000
14	341	50000
12	289	1000
12	290	1000
12	291	1000
12	292	1000
12	293	1000
12	294	1000
12	295	1000
12	296	1000
12	297	1000
12	298	1000
12	299	1000
12	300	1000
12	301	1000
12	302	1000
12	303	1000
12	304	1000
12	305	1000
14	384	1000
14	364	5000
14	386	100000
14	389	50000
14	390	2500
4	34	100000
14	399	300000
14	394	30000
14	395	10000
14	396	30000
14	397	10000
16	42	75000
end		
