// Text Ver. 0.0.0.1					
// Version 1.03i  - T서버					
// Version 1.03i  - M서버					
// 최종 작업자 - 최현준					
// 최종 작업일 - 오전 11:23 2006-11-23					
// 내용: 성주 특별 아이템 조합					
// 최종수정내용 : 성주 조합 아이템 리스트 변경					

//드롭가능맵 설정					
0					
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel	
	0	0	0	1000	//로랜시아
	1	0	0	1000	//던전
	2	0	0	1000	//데비아스
	3	0	0	1000	//노리아
	4	0	0	1000	//로스트타워
	5	0	0	1000	//빈공간			
	6	0	0	1000	//경기장(배틀사커)			
	7	0	0	1000	//아틀란스			
	8	0	0	1000	//타르칸			
	9	0	0	1000	//악마의광장			
	10	0	0	1000	//이카루스			
end								

//드롭젠 및 아이템드롭 확률								
//이벤트아이템 드롭 확률은 EventItemDropRate/1000								
//아이템드롭 확률은 ItemDropRate/100, ExItemDropRate/1000								
1								
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate
	none	1000000	0	0	0	0	100	1
end								

//skill, luck, addtoption 의 값이 1이면 랜덤으로 적용, 0이면 적용안함 									
2									
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag	
//									
//	minlevel 을 확률 대용								
// 희귀 엑설런트 무기									
	0	20	5	0	1	1	0	1	//나이트블레이드
	0	21	5	0	1	1	0	1	//데쓰블레이드
	3	12	5	0	1	1	0	1	//그레이트로드셉터
	4	20	5	0	1	1	0	1	//에로우바이퍼보우
	0	24	5	0	1	1	0	1	//데이브레이크
	5	13	5	0	1	1	0	1	//플라티나윙스태프
	4	22	5	0	1	1	0	1	//알바트로스보우
	2	15	5	0	1	1	0	1	//샤이닝셉터
	0	25	5	0	1	1	0	1	//소드댄서

// 희귀엑셀방어구									
	8	21	50	0	0	1	0	1	//그레이트드라곤갑옷
	9	21	50	0	0	1	0	1	//그레이트드라곤바지
	8	24	50	0	0	1	0	1	//레드스프릿갑옷
	9	24	50	0	0	1	0	1	//레드스프릿바지
	8	22	50	0	0	1	0	1	//블랙소울갑옷
	9	22	50	0	0	1	0	1	//블랙소울바지
	8	28	50	0	0	1	0	1	//다크마스터갑옷
	9	28	50	0	0	1	0	1	//다크마스터바지
	8	23	50	0	0	1	0	1	//아스릴갑옷
	9	23	50	0	0	1	0	1	//아스릴바지

// 엑셀무기									
	0	16	45	0	1	1	0	1	//파괴의검
	0	31	45	0	1	1	0	1	//데쓰브로드
	2	11	45	0	1	1	0	1	//로드셉터
	3	10	45	0	1	1	0	1	//드라곤스피어
	4	19	45	0	1	1	0	1	//그레이트레인석궁
	5	6	45	0	1	1	0	1	//부활의지팡이
	5	9	45	0	1	1	0	1	//드래곤소울지팡이
	4	17	45	0	1	1	0	1	//홀리사이트보우
	0	18	45	0	1	1	0	1	//선더블레이드

// 엑셀방어구									
	7	21	50	0	0	1	0	1	//그레이트드라곤투구
	10	21	50	0	0	1	0	1	//그레이트드라곤장갑
	11	21	50	0	0	1	0	1	//그레이트드라곤부츠
	7	24	50	0	0	1	0	1	//레드스피릿헬멧
	10	24	50	0	0	1	0	1	//레드스피릿장갑
	11	24	50	0	0	1	0	1	//레드스피릿부츠
	7	22	50	0	0	1	0	1	//블랙소울헬멧
	10	22	50	0	0	1	0	1	//블랙소울장갑
	11	22	50	0	0	1	0	1	//블랙소울부츠
	7	28	50	0	0	1	0	1	//다크마스터마스크
	10	28	50	0	0	1	0	1	//다크마스터장갑
	11	28	50	0	0	1	0	1	//다크마스터부츠
	10	23	50	0	0	1	0	1	//아스릴장갑
	11	23	50	0	0	1	0	1	//아스릴부츠
	8	34	50	0	0	1	0	1	//애쉬크로우갑옷
	9	34	50	0	0	1	0	1	//애쉬크로우바지
	8	35	50	0	0	1	0	1	//이클립스갑옷
	9	35	50	0	0	1	0	1	//이클립스바지
	8	36	50	0	0	1	0	1	//아이리스갑옷
	9	36	50	0	0	1	0	1	//아이리스바지
	8	37	50	0	0	1	0	1	//발리언트갑옷
	9	37	50	0	0	1	0	1	//발리언트바지
	8	38	50	0	0	1	0	1	//글로리어스갑옷
	9	38	50	0	0	1	0	1	//글로리어스바지
	6	13	50	0	1	1	0	1	//드라곤방패
	6	14	50	0	1	1	0	1	//전설의방패
	6	15	50	0	1	1	0	1	//그랜드소울방패
	6	16	50	0	1	1	0	1	//엘리멘탈방패

// 일반아이템									
	5	11	45	0	0	1	0	0	//쿤둔의지팡이
end									
