////////////////////////////////////////////////////////////////////////////////																																															
// Text Ver. 0.0.1.9	0.0.2.5																																														
// Version - T서버																																															
// Version - M서버																																															
// 최종 작업자	사재일																																														
// 최종 작업일 - 	2016-07-13 14:31																																														
// 내용	마스터리 3차 등록																																														
////////////////////////////////////////////////////////////////////////////////																																															
// Link Index 254 까지 사용 가능																																															
																																															
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서
	// 흑기사 or 마검사 or 레이지파이터																																														
1	"무도가의"	0	10	-1	-1	19	10	-1	-1	13	20	-1	-1	14	5	-1	-1	10	20	-1	-1	1	10	-1	-1	-1	-1	-1	-1	15	5	17	5	0	25	-1	-1	-1	-1	0	0	0	0	0	0	0	0
2	"무명의"	11	50	-1	-1	1	50	-1	-1	22	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
3	"하이페리온의"	2	15	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	20	12	30	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
4	"미스트의"	3	20	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	10	1	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
5	"이플리트의"	19	15	-1	-1	9	50	-1	-1	7	5	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	30	15	10	17	10	-1	-1	-1	-1	0	0	0	0	0	0	0	0
6	"버서커의"	6	10	-1	-1	6	20	-1	-1	6	30	-1	-1	6	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	40	0	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
7	"가루다의"	13	30	-1	-1	20	5	-1	-1	2	15	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	7	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
8	"클라우드의"	15	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	50	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
9	"칸타타의"	2	15	-1	-1	3	30	-1	-1	7	10	-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	17	10	18	20	-1	-1	-1	-1	0	0	0	0	0	0	0	0
