////////////////////////////////////////////////////////////////////////////////												SkilluseType																																						
//	[ Text  Version ]	1.2.7.1_2																																			데미지 구분													
//	[ 최종 작업자 ]	김승태																																																
//	[ 최종 작업일 ]	2015-08-25 2:09 PM																																																
//	[ 작 업 내 용 ]	수호방패 <> 방패막기 스킬명 치환																																																
////////////////////////////////////////////////////////////////////////////////																																																		
//속성1 - 펜타그램 속성과 동일 [0(없음). 1(불). 2(물). 3(땅). 4(바람). 5(암흑)]																																																		
//속성2 [-1(없음). 0(물리). 1(마법)]																																																		
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																																		
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브), 5(이벤트 맵 스킬/스킬각인UI에서 표시되지 않음), 6(캐릭터 사용불가스킬/스킬각인UI에서 표시되지 않음)]																																																		
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																																		
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성1	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입	무기 스킬	데미지 구분	버프 인덱스	타겟 대상	타겟 영역	사거리 내 장애물	타겟 쫓기	탈것 체크	장비 체크	데미지 스탯1	스탯 나눔값2	데미지 스탯2	스탯 나눔값2	속성 각인 가중치	추가 데미지 효과
17	"에너지볼"	2	3	1	0	6	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	200	0
4	"파이어볼"	5	8	3	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	197	0
11	"파워웨이브"	9	14	5	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	195	0
3	"번개"	13	17	15	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	3	40	-1	-1	180	0
6	"순간이동"	17	0	30	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	1	0	0	-1	-1	-1	-1	100	0
2	"운석"	21	21	12	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	190	0
7	"얼음"	25	10	38	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	150	0
1	"포이즌"	30	12	42	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	50	-1	-1	150	0
5	"불기둥"	35	25	50	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	3	100	-1	-1	120	0
8	"회오리"	40	35	60	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	3	90	-1	-1	140	0
9	"악령"	50	45	90	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	1	0	0	0	0	0	3	150	-1	-1	110	0
10	"헬파이어"	60	120	160	0	0	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	1	1	0	1	0	0	3	200	-1	-1	130	0
12	"아쿠아플래쉬"	74	80	140	0	6	0	110	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	1	0	0	0	0	0	3	200	-1	-1	140	0
16	"소울바리어"	77	0	70	22	6	0	126	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	4	3	0	0	0	0	0	-1	-1	-1	-1	100	0
13	"블래스트"	80	70	150	0	6	0	150	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	3	150	-1	-1	130	0
15	"텔레키네시스"	83	0	90	25	6	0	188	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	2	0	0	0	-1	-1	-1	-1	100	0
14	"인페르노"	88	100	200	0	0	0	200	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	1	1	0	1	0	0	3	90	-1	-1	110	0
39	"서든아이스"	93	80	100	5	6	0	223	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	2	0	1	0	0	0	0	0	3	90	-1	-1	115	0
38	"데쓰포이즌"	96	95	110	7	6	0	243	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	2	0	1	0	0	0	0	0	3	100	-1	-1	110	0
40	"헬버스트"	100	0	180	45	6	0	258	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	2	0	1	1	0	1	0	0	-1	-1	-1	-1	160	0
45	"표창"	0	90	150	10	6	0	0	0	0	-1	0	75	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
																																																		
18	"방어"	0	0	30	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	18	0	1	0	0	1	1	0	1	2	1	-1	-1	-1	-1	100	0
19	"내려찍기"	0	0	9	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	19	0	1	1	0	0	0	0	0	2	1	1	30	-1	-1	180	0
