//////////////////////////////////////////////////////////////////////////////////////															
// LuckyItem02															
//	[ Start  ] 	2013-11-22													
//	[ Latest ]	2013-11-22 03:24 PM													
//	[ Author ]	사재일													
//	[ Version ]	0.0.0.1													
//	[ Text ]	럭키아이템 스크립트 시작													
//	[ Desc ]	럭키아이템 스크립트 시작													
//////////////////////////////////////////////////////////////////////////////////////															
//CLASS_법사	0														
//CLASS_기사	1														
//CLASS_요정	2														
//CLASS_마검사	3														
//CLASS_다크로드	4														
//CLASS_소환술사	5														
//CLASS_레이지파이터	6														
0															
	// Type	Index	아이템 종류												
	13	249	2	//투구											
	13	247	3	//갑옷											
	13	248	4	//바지											
	13	250	5	//장갑											
	13	251	6	//부츠											
end															
//아이템 리스트															
	// Type	Index	Skill	LuckOption	AddOption	종족									
	//투구														
2															
	7	85	0	1	1	1									
	7	86	0	1	1	0									
	7	87	0	1	1	2									
	7	88	0	1	1	4									
	7	89	0	1	1	5									
	7	90	0	1	1	6									
end															
	//갑옷														
3															
	8	84	0	1	1	3									
	8	85	0	1	1	1									
	8	86	0	1	1	0									
	8	87	0	1	1	2									
	8	88	0	1	1	4									
	8	89	0	1	1	5									
	8	90	0	1	1	6									
end															
	//바지														
4															
	9	84	0	1	1	3									
	9	85	0	1	1	1									
	9	86	0	1	1	0									
	9	87	0	1	1	2									
	9	88	0	1	1	4									
	9	89	0	1	1	5									
	9	90	0	1	1	6									
end															
	//장갑														
5															
	10	84	0	1	1	3									
	10	85	0	1	1	1									
	10	86	0	1	1	0									
	10	87	0	1	1	2									
	10	88	0	1	1	4									
	10	89	0	1	1	5									
end															
	//부츠														
6															
	11	84	0	1	1	3									
	11	85	0	1	1	1									
	11	86	0	1	1	0									
	11	87	0	1	1	2									
	11	88	0	1	1	4									
	11	89	0	1	1	5									
	11	90	0	1	1	6									
end															
	//아이템 레벨확률 총합은 1000000이 되야함														
	// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel		// MinLevel	MaxLevel	확률	// MinLevel	MaxLevel	확률
20															
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2	//투구	3	//갑옷	4	//바지	5	//장갑	6	//부츠					
0	0	1000	0	1000	0	1000	0	1000	0	1000					
1	1	30000	1	30000	1	30000	1	30000	1	30000					
2	2	70000	2	70000	2	70000	2	70000	2	70000					
3	3	120000	3	120000	3	120000	3	120000	3	120000					
4	4	170000	4	170000	4	170000	4	170000	4	170000					
5	5	230000	5	230000	5	230000	5	230000	5	230000					
6	6	140000	6	140000	6	140000	6	140000	6	140000					
7	7	100000	7	100000	7	100000	7	100000	7	100000					
8	8	50000	8	50000	8	50000	8	50000	8	50000					
9	9	30000	9	30000	9	30000	9	30000	9	30000					
10	10	25000	10	25000	10	25000	10	25000	10	25000					
11	11	15000	11	15000	11	15000	11	15000	11	15000					
12	12	10000	12	10000	12	10000	12	10000	12	10000					
13	13	5000	13	5000	13	5000	13	5000	13	5000					
14	14	3000	14	3000	14	3000	14	3000	14	3000					
15	15	1000	15	1000	15	1000	15	1000	15	1000					
//		1000000		1000000		1000000		1000000		1000000					
end															
21	// 각 추가 옵션이 붙을 확률 ( 총합은 1000000이 되야함) AddOption														
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2:투구	3:갑옷	4:바지	5:장갑	6:부츠										
0	600000	600000	500000	400000	300000	// +0									
1	200000	200000	200000	200000	200000	// +4									
2	100000	100000	100000	100000	100000	// +8									
3	100000	100000	200000	300000	400000	// +12									
end															
22	// 각 추가 옵션이 붙을 확률 ( 총합은 1000000이 되야함) SetOpt														
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2:투구	3:갑옷	4:바지	5:장갑	6:부츠										
0	700000	700000	700000	700000	700000	//									
1	300000	300000	300000	300000	300000	//									
end															
23															
// 컬럼을 럭키아이템과 개수를 맞춘다.															
//Index	2	//투구	3	//갑옷	4	//바지	5	//장갑	6	//부츠					
0	0	255	0	0	255	0	0	255	0	0	255	0	0	255	0
1	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
2	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
3	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
4	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
5	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
6	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
7	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
8	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
9	1	254	10	1	254	10	1	254	10	1	254	10	1	254	10
end															
end															
